,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
1,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
2,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
3,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
4,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
5,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
6,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
7,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
8,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
9,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
10,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
11,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
12,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
13,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
14,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
15,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
16,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
17,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
18,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
19,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
20,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
21,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
22,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
23,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
24,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
25,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
26,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
27,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
28,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
29,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
30,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
31,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
32,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
33,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
34,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
35,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
36,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
37,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
38,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
39,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
40,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
41,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
42,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
43,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
44,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
45,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
46,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
47,0.0,-0.011,-0.019,0.129,-0.972,0.068,0.364,-0.183,-0.477
