,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.026,0.025,-0.029,0.154,0.057,1.006,0.312,0.123,-0.7
1,-0.026,0.025,-0.029,0.154,0.057,1.006,0.312,0.123,-0.7
2,-0.026,0.025,-0.029,0.154,0.057,1.006,0.312,0.123,-0.7
3,-0.034,0.039,-0.029,0.154,0.057,1.006,0.324,0.151,-0.684
4,-0.023,0.058,-0.037,0.151,0.062,0.996,0.288,0.127,-0.69
5,-0.001,0.058,-0.05,0.146,0.061,0.99,0.288,0.127,-0.69
6,0.0,0.038,-0.048,0.12,0.045,0.983,0.297,0.133,-0.694
7,-0.021,0.023,-0.031,0.115,0.043,0.98,0.306,0.142,-0.684
8,-0.021,0.002,-0.021,0.115,0.043,0.98,0.316,0.147,-0.702
9,-0.032,-0.002,-0.018,0.119,0.048,0.984,0.306,0.141,-0.672
10,-0.032,-0.008,-0.02,0.129,0.042,0.992,0.318,0.139,-0.675
11,-0.026,0.015,-0.032,0.133,0.045,0.993,0.319,0.135,-0.693
12,-0.012,0.021,-0.045,0.135,0.059,0.987,0.316,0.126,-0.688
13,-0.027,0.01,-0.038,0.133,0.059,0.987,0.303,0.135,-0.675
14,-0.029,0.007,-0.04,0.127,0.055,0.982,0.324,0.133,-0.685
15,-0.022,-0.011,-0.029,0.123,0.066,0.971,0.313,0.138,-0.687
16,-0.031,-0.02,0.0,0.126,0.072,0.975,0.301,0.126,-0.673
17,0.018,0.014,-0.053,0.122,0.076,0.975,0.304,0.133,-0.688
18,0.028,0.033,-0.079,0.121,0.073,0.988,0.304,0.133,-0.688
19,-0.005,0.002,-0.042,0.128,0.058,1.017,0.295,0.126,-0.681
20,-0.038,-0.023,0.006,0.127,0.046,1.023,0.315,0.133,-0.697
21,-0.021,-0.003,-0.007,0.122,0.048,1.007,0.301,0.118,-0.696
22,-0.002,0.004,-0.017,0.113,0.069,0.983,0.294,0.153,-0.682
23,-0.016,-0.023,0.008,0.106,0.073,0.977,0.31,0.13,-0.691
24,-0.021,-0.018,0.013,0.097,0.072,0.972,0.298,0.133,-0.69
25,0.006,0.027,-0.037,0.099,0.074,0.979,0.309,0.15,-0.702
26,0.006,0.023,-0.035,0.099,0.074,0.979,0.304,0.13,-0.688
27,-0.004,0.001,-0.013,0.103,0.064,0.995,0.3,0.133,-0.7
28,-0.01,-0.011,-0.004,0.097,0.064,0.987,0.309,0.139,-0.7
29,-0.005,-0.025,0.009,0.098,0.063,0.988,0.298,0.133,-0.681
30,-0.027,-0.034,0.039,0.106,0.061,1.0,0.31,0.142,-0.702
31,-0.028,-0.015,0.028,0.114,0.057,1.011,0.328,0.147,-0.699
32,-0.004,0.009,0.011,0.117,0.061,1.014,0.328,0.147,-0.699
33,-0.001,0.019,0.0,0.125,0.067,1.019,0.309,0.151,-0.697
34,-0.016,0.011,0.011,0.129,0.06,1.021,0.291,0.123,-0.705
35,-0.026,0.01,0.018,0.123,0.05,1.011,0.288,0.147,-0.673
36,-0.025,0.006,0.008,0.121,0.056,0.993,0.288,0.147,-0.673
37,-0.025,-0.011,0.019,0.125,0.069,0.976,0.307,0.138,-0.708
38,-0.023,-0.032,0.059,0.122,0.075,0.961,0.322,0.135,-0.7
39,-0.003,-0.021,0.037,0.117,0.085,0.951,0.31,0.147,-0.684
40,0.0,-0.022,0.032,0.122,0.083,0.961,0.324,0.132,-0.694
41,-0.026,-0.037,0.076,0.13,0.072,0.975,0.321,0.135,-0.702
42,0.009,-0.002,0.035,0.138,0.079,0.984,0.3,0.151,-0.675
43,0.062,0.037,-0.014,0.138,0.079,0.984,0.292,0.148,-0.688
44,0.044,0.025,0.013,0.142,0.088,0.987,0.318,0.139,-0.702
45,0.007,0.0,0.065,0.143,0.075,1.001,0.309,0.133,-0.687
46,0.03,-0.005,0.076,0.139,0.066,0.997,0.298,0.145,-0.702
47,0.037,0.0,0.077,0.134,0.079,0.99,0.298,0.145,-0.702
48,0.03,0.014,0.074,0.134,0.072,0.998,0.309,0.159,-0.693
49,0.032,0.056,0.034,0.129,0.062,0.993,0.322,0.136,-0.7
50,0.013,0.058,0.035,0.122,0.058,0.987,0.291,0.142,-0.69
51,-0.003,0.037,0.051,0.121,0.04,0.999,0.301,0.145,-0.685
52,0.001,0.028,0.032,0.116,0.04,0.996,0.327,0.159,-0.711
53,-0.005,0.002,0.051,0.113,0.052,0.98,0.306,0.142,-0.696
54,-0.007,-0.013,0.095,0.117,0.058,0.975,0.28,0.156,-0.694
55,0.028,0.015,0.054,0.123,0.075,0.98,0.298,0.162,-0.675
56,0.042,0.03,0.038,0.135,0.083,0.99,0.307,0.138,-0.706
57,0.008,0.014,0.086,0.137,0.07,0.997,0.312,0.154,-0.69
58,0.06,0.042,0.049,0.13,0.062,1.0,0.321,0.145,-0.672
59,0.088,0.089,-0.009,0.134,0.07,0.999,0.321,0.145,-0.672
60,0.042,0.064,0.014,0.11,0.044,1.005,0.322,0.166,-0.685
61,-0.001,0.034,0.04,0.11,0.044,1.005,0.319,0.142,-0.693
62,0.008,0.04,0.028,0.098,0.049,0.99,0.298,0.156,-0.676
63,-0.002,0.049,0.035,0.108,0.067,0.981,0.307,0.148,-0.696
64,0.008,0.103,-0.014,0.12,0.069,0.991,0.315,0.15,-0.696
65,0.002,0.154,-0.049,0.106,0.075,0.979,0.313,0.163,-0.706
66,-0.021,0.123,-0.028,0.102,0.073,0.984,0.325,0.157,-0.712
67,-0.037,0.079,0.009,0.109,0.064,1.009,0.315,0.157,-0.697
68,-0.037,0.053,0.028,0.108,0.068,1.009,0.337,0.156,-0.714
69,-0.032,0.027,0.042,0.109,0.071,1.009,0.315,0.16,-0.712
70,-0.023,0.019,0.048,0.113,0.074,1.011,0.316,0.153,-0.708
71,-0.006,0.025,0.033,0.111,0.079,0.999,0.327,0.159,-0.699
72,0.004,0.043,0.018,0.103,0.08,0.977,0.313,0.162,-0.705
73,-0.008,0.03,0.03,0.098,0.077,0.964,0.336,0.151,-0.714
74,-0.009,0.013,0.039,0.098,0.069,0.971,0.324,0.16,-0.711
75,0.004,0.006,0.043,0.092,0.071,0.969,0.331,0.159,-0.696
76,0.004,-0.017,0.058,0.089,0.075,0.969,0.33,0.16,-0.712
77,0.016,-0.021,0.046,0.085,0.071,0.98,0.324,0.135,-0.717
78,0.035,0.005,0.007,0.085,0.071,0.98,0.321,0.156,-0.705
79,0.023,-0.006,0.004,0.081,0.068,0.982,0.321,0.156,-0.705
80,-0.004,-0.025,0.016,0.089,0.058,1.009,0.315,0.172,-0.714
81,-0.014,-0.032,0.016,0.096,0.058,1.024,0.328,0.147,-0.705
82,-0.011,-0.022,0.004,0.094,0.074,1.011,0.319,0.156,-0.715
83,-0.007,-0.026,0.004,0.095,0.087,1.003,0.33,0.144,-0.718
84,-0.026,-0.035,0.038,0.101,0.096,1.001,0.327,0.172,-0.717
85,-0.021,-0.008,0.032,0.102,0.104,0.998,0.319,0.144,-0.709
86,0.025,0.014,-0.007,0.1,0.111,1.0,0.331,0.175,-0.717
87,0.032,0.025,-0.011,0.102,0.118,1.003,0.321,0.172,-0.69
88,0.0,0.006,0.016,0.103,0.098,1.02,0.331,0.16,-0.715
89,-0.025,-0.001,0.04,0.099,0.074,1.027,0.295,0.181,-0.708
90,-0.017,0.013,0.017,0.096,0.076,1.017,0.319,0.171,-0.706
91,-0.033,0.006,0.037,0.094,0.083,1.005,0.3,0.163,-0.712
92,-0.062,-0.003,0.063,0.094,0.075,1.002,0.316,0.16,-0.703
93,-0.048,0.014,0.039,0.091,0.073,0.998,0.321,0.162,-0.7
94,-0.041,0.011,0.032,0.091,0.079,0.985,0.319,0.177,-0.706
95,-0.058,-0.016,0.045,0.093,0.068,0.979,0.328,0.159,-0.705
96,-0.022,-0.026,0.041,0.093,0.068,0.979,0.325,0.154,-0.708
97,0.039,0.002,0.002,0.097,0.085,0.962,0.325,0.154,-0.708
98,0.044,-0.002,0.007,0.099,0.095,0.958,0.325,0.153,-0.697
99,0.011,-0.018,0.038,0.092,0.071,0.971,0.322,0.162,-0.714
100,0.019,-0.012,0.007,0.08,0.065,0.981,0.325,0.184,-0.703
101,0.015,-0.007,0.008,0.087,0.076,0.983,0.334,0.171,-0.7
102,-0.018,-0.026,0.03,0.099,0.077,0.993,0.319,0.18,-0.703
103,0.015,-0.031,0.016,0.089,0.081,0.987,0.321,0.172,-0.706
104,0.023,-0.022,0.023,0.083,0.093,0.972,0.31,0.175,-0.706
105,-0.002,-0.028,0.041,0.094,0.089,0.992,0.342,0.157,-0.702
106,0.028,-0.002,0.007,0.089,0.082,0.999,0.313,0.157,-0.694
107,0.004,0.02,-0.046,0.081,0.097,1.008,0.345,0.171,-0.714
