gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
127,-40,-24,258,195,82,-4,11,-1011,14:34.8
127,-40,-24,258,195,82,-4,11,-1011,14:34.8
127,-40,-24,258,195,82,-4,11,-1011,14:34.8
28,-13,-9,258,195,82,-3,11,-1011,14:34.8
2,-3,-7,268,184,88,-3,11,-1011,14:34.8
2,-1,-7,255,195,79,-3,11,-1011,14:34.9
2,-1,-7,252,193,79,-4,10,-1011,14:34.9
2,-6,-7,253,177,90,-3,10,-1011,14:34.9
2,-2,-7,261,192,85,-4,10,-1010,14:34.9
2,-1,-7,271,180,87,-4,10,-1010,14:34.9
2,0,-7,253,184,84,-3,11,-1010,14:35.0
2,0,-7,255,181,82,-3,10,-1010,14:35.0
2,0,-7,261,187,78,-3,10,-1010,14:35.0
2,-1,-7,256,183,79,-3,11,-1010,14:35.0
2,0,-7,258,190,99,-3,11,-1009,14:35.0
2,-1,-7,265,178,84,-3,11,-1010,14:35.0
2,0,-7,265,178,84,-3,11,-1010,14:35.1
2,0,-7,255,190,85,-3,11,-1010,14:35.1
2,-2,-7,265,181,87,-3,10,-1010,14:35.1
2,-1,-7,259,175,81,-4,10,-1010,14:35.1
2,0,-7,267,187,84,-4,10,-1009,14:35.2
2,0,-7,252,189,78,-4,10,-1009,14:35.2
2,0,-7,247,181,81,-4,10,-1009,14:35.2
2,0,-7,259,190,84,-4,11,-1009,14:35.2
2,-1,-7,259,195,81,-4,11,-1009,14:35.2
2,-1,-7,264,190,88,-4,11,-1009,14:35.2
2,-1,-7,259,195,85,-3,11,-1009,14:35.3
2,0,-7,259,178,81,-4,10,-1009,14:35.3
2,-1,-7,253,196,82,-4,11,-1009,14:35.3
2,0,-7,264,181,78,-4,11,-1009,14:35.3
2,-1,-7,256,178,85,-4,10,-1009,14:35.3
2,0,-7,258,184,91,-4,10,-1009,14:35.4
2,-1,-7,259,187,76,-4,11,-1009,14:35.4
2,0,-7,259,187,76,-4,10,-1009,14:35.4
2,0,-7,264,189,81,-4,10,-1009,14:35.4
2,-1,-7,258,184,85,-3,11,-1009,14:35.4
2,-1,-7,255,190,85,-3,10,-1009,14:35.5
2,-1,-7,261,184,84,-4,10,-1009,14:35.5
2,-1,-7,265,184,84,-4,11,-1009,14:35.5
2,-2,-7,264,187,73,-4,10,-1009,14:35.5
2,-1,-7,262,183,84,-4,10,-1009,14:35.5
2,-1,-7,259,183,84,-4,10,-1009,14:35.6
2,0,-7,261,183,81,-4,11,-1009,14:35.6
2,0,-7,267,178,85,-4,11,-1009,14:35.6
2,-1,-7,255,181,91,-4,11,-1009,14:35.6
2,-1,-7,258,189,87,-4,10,-1009,14:35.6
2,0,-7,255,177,88,-3,11,-1008,14:35.7
2,-1,-7,252,183,82,-3,11,-1009,14:35.7
2,0,-7,252,183,82,-4,11,-1009,14:35.7
2,0,-7,265,184,76,-4,10,-1009,14:35.7
2,0,-7,264,187,88,-3,10,-1009,14:35.7
2,-1,-7,259,181,87,-4,11,-1009,14:35.8
2,0,-7,273,186,85,-4,11,-1009,14:35.8
2,0,-7,264,187,85,-4,11,-1009,14:35.8
2,-1,-7,271,183,82,-4,11,-1009,14:35.8
2,-1,-7,262,184,84,-4,10,-1009,14:35.8
2,-2,-7,261,187,85,-3,11,-1009,14:35.9
2,-1,-7,258,192,88,-3,11,-1009,14:35.9
2,0,-7,259,181,84,-4,10,-1008,14:35.9
2,-1,-7,262,183,93,-4,10,-1008,14:35.9
2,0,-7,262,183,93,-4,10,-1009,14:35.9
2,0,-7,258,187,90,-4,10,-1009,14:36.0
2,0,-7,255,177,81,-4,10,-1009,14:36.0
2,0,-7,261,178,96,-3,10,-1008,14:36.0
2,0,-7,259,193,88,-3,10,-1008,14:36.0
2,-1,-7,255,184,79,-4,10,-1008,14:36.0
2,-1,-7,270,189,84,-4,10,-1009,14:36.1
2,-1,-7,259,186,90,-4,11,-1008,14:36.1
2,-1,-7,259,190,84,-4,11,-1008,14:36.1
2,0,-7,259,186,85,-4,10,-1008,14:36.1
2,0,-7,261,186,85,-4,10,-1008,14:36.1
2,0,-7,262,181,85,-4,10,-1008,14:36.2
2,-1,-7,250,186,85,-4,10,-1009,14:36.2
2,0,-7,259,187,79,-4,10,-1008,14:36.2
2,-2,-7,259,187,79,-4,10,-1009,14:36.2
2,0,-7,253,178,81,-4,10,-1009,14:36.2
2,0,-7,253,178,81,-4,10,-1008,14:36.3
2,-1,-7,267,187,88,-4,10,-1008,14:36.3
2,-2,-7,259,184,91,-4,10,-1008,14:36.3
2,-1,-7,258,187,88,-3,10,-1008,14:36.3
2,0,-7,258,174,88,-3,10,-1008,14:36.3
2,0,-7,262,184,93,-4,10,-1008,14:36.4
2,0,-7,258,189,84,-4,10,-1008,14:36.4
2,0,-7,270,186,90,-4,10,-1008,14:36.4
2,0,-7,261,183,94,-4,11,-1009,14:36.4
2,-1,-7,259,177,93,-5,11,-1008,14:36.4
2,0,-7,265,192,97,-4,11,-1008,14:36.5
2,-1,-7,264,186,91,-3,11,-1008,14:36.5
3,0,-7,253,186,99,-4,10,-1008,14:36.5
2,0,-7,253,186,99,-4,10,-1008,14:36.5
2,0,-7,255,184,93,-4,11,-1008,14:36.5
2,-1,-7,250,189,102,-4,10,-1008,14:36.6
2,-1,-7,250,189,102,-4,10,-1008,14:36.6
3,0,-7,249,180,85,-4,10,-1008,14:36.6
2,0,-7,259,189,91,-4,10,-1008,14:36.6
2,0,-7,256,183,91,-4,10,-1008,14:36.6
2,-1,-7,246,181,103,-4,10,-1009,14:36.7
2,-1,-7,258,181,81,-4,10,-1009,14:36.7
3,0,-7,250,181,93,-4,10,-1009,14:36.7
2,0,-7,265,189,87,-4,10,-1008,14:36.7
2,0,-7,262,187,91,-4,10,-1008,14:36.7
2,0,-7,253,186,91,-4,11,-1008,14:36.8
2,0,-7,255,193,84,-4,11,-1008,14:36.8
2,0,-7,249,190,85,-4,10,-1008,14:36.8
2,-1,-7,262,187,82,-4,10,-1008,14:36.8
2,0,-7,255,186,90,-4,10,-1008,14:36.8
2,-1,-7,256,184,82,-4,10,-1008,14:36.8
2,0,-7,255,186,87,-4,11,-1008,14:36.9
2,0,-7,255,186,87,-4,11,-1008,14:36.9
2,-1,-7,256,181,88,-4,10,-1008,14:36.9
2,0,-7,262,181,81,-4,10,-1008,14:36.9
2,0,-7,261,187,85,-4,10,-1008,14:37.0
2,0,-7,261,183,84,-4,10,-1008,14:37.0
2,0,-7,252,187,87,-4,10,-1009,14:37.0
2,-1,-7,265,183,91,-4,10,-1009,14:37.0
2,-1,-7,259,190,78,-4,10,-1008,14:37.0
2,0,-7,252,186,91,-4,10,-1007,14:37.0
2,-1,-7,253,187,90,-3,10,-1009,14:37.1
2,0,-7,261,180,82,-4,11,-1009,14:37.1
2,0,-7,255,181,90,-4,10,-1008,14:37.1
2,-1,-7,261,187,79,-4,10,-1008,14:37.1
2,-1,-7,256,181,82,-4,10,-1008,14:37.1
2,0,-7,273,174,81,-4,10,-1008,14:37.2
2,-1,-7,249,181,85,-4,10,-1008,14:37.2
2,-1,-7,267,187,91,-4,11,-1008,14:37.2
2,-1,-7,267,187,91,-4,11,-1008,14:37.2
2,0,-7,273,192,91,-3,10,-1009,14:37.2
2,0,-7,264,184,87,-4,10,-1009,14:37.3
2,0,-7,264,181,84,-4,10,-1009,14:37.3
2,0,-7,264,184,88,-4,10,-1008,14:37.3
2,-1,-7,267,183,85,-4,11,-1008,14:37.3
2,-1,-7,261,184,78,-4,11,-1009,14:37.3
2,0,-7,259,186,81,-4,10,-1008,14:37.4
2,-4,-7,264,184,85,-3,10,-1008,14:37.4
2,-3,-7,264,184,85,-4,10,-1008,14:37.4
2,-1,-7,264,181,81,-4,10,-1008,14:37.4
2,0,-7,256,184,82,-4,10,-1008,14:37.4
2,0,-7,255,186,91,-3,10,-1008,14:37.5
2,-1,-7,261,175,91,-4,10,-1008,14:37.5
2,-1,-7,265,189,85,-3,10,-1008,14:37.5
2,0,-7,262,186,90,-3,10,-1008,14:37.5
2,-2,-7,262,186,90,-4,10,-1008,14:37.5
2,0,-7,264,186,88,-4,10,-1008,14:37.6
2,-1,-7,258,192,87,-4,10,-1009,14:37.6
2,0,-7,262,192,84,-4,10,-1008,14:37.6
2,-1,-7,261,181,96,-4,11,-1008,14:37.6
2,-1,-7,268,181,88,-4,11,-1008,14:37.6
2,0,-7,264,184,94,-4,11,-1008,14:37.7
2,-2,-7,265,190,82,-4,10,-1008,14:37.7
2,0,-7,265,178,81,-4,10,-1008,14:37.7
2,0,-7,262,184,94,-4,10,-1008,14:37.7
3,0,-7,258,183,93,-4,10,-1008,14:37.7
2,-1,-7,264,189,87,-4,11,-1008,14:37.8
2,0,-7,258,180,84,-4,11,-1008,14:37.8
2,0,-7,258,180,96,-3,10,-1008,14:37.8
2,0,-7,262,189,87,-3,10,-1009,14:37.8
2,0,-7,262,189,87,-4,10,-1008,14:37.8
2,-1,-7,259,187,72,-4,11,-1008,14:37.9
2,0,-7,255,190,88,-4,11,-1009,14:37.9
2,0,-7,261,180,82,-4,10,-1008,14:37.9
2,-1,-7,261,180,88,-4,10,-1008,14:37.9
2,0,-7,262,180,82,-4,10,-1008,14:37.9
2,0,-7,255,189,79,-4,10,-1008,14:38.0
2,-1,-7,258,187,87,-4,10,-1008,14:38.0
2,-1,-7,249,187,84,-4,10,-1008,14:38.0
2,-1,-7,261,183,91,-3,10,-1008,14:38.0
2,-1,-7,255,190,84,-4,11,-1008,14:38.0
2,0,-7,261,192,90,-4,11,-1008,14:38.1
2,-1,-7,258,187,91,-4,10,-1008,14:38.1
2,0,-7,258,186,91,-4,10,-1008,14:38.1
2,-1,-7,258,186,91,-4,11,-1008,14:38.1
2,0,-7,250,187,87,-4,11,-1008,14:38.1
2,0,-7,267,190,81,-4,10,-1008,14:38.2
2,-1,-7,265,184,90,-4,10,-1008,14:38.2
2,-1,-7,265,190,82,-4,10,-1008,14:38.2
2,-1,-7,265,187,96,-4,11,-1008,14:38.2
2,0,-7,255,178,85,-4,10,-1008,14:38.2
2,-1,-7,265,192,91,-4,10,-1008,14:38.2
2,-1,-7,261,187,90,-4,11,-1008,14:38.3
2,-1,-7,258,183,105,-4,10,-1008,14:38.3
2,0,-7,259,184,90,-4,11,-1008,14:38.3
2,0,-7,256,184,78,-4,11,-1008,14:38.3
2,0,-7,261,186,93,-4,11,-1008,14:38.3
2,-2,-7,255,187,79,-4,10,-1008,14:38.4
2,-1,-7,268,184,82,-4,10,-1008,14:38.4
