Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
01/07/2021 11:43:40.297,1955449,BM2V220 @313548,53119,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:40.357,1955485,BM2V220 @313548,53125,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:40.386,1955513,BM2V220 @313548,53132,F0FFE9FF0A00,-1.6,-2.3,1
01/07/2021 11:43:40.447,1955574,BM2V220 @313548,53138,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:40.507,1955634,BM2V220 @313548,53144,F0FFEAFF0A00,-1.6,-2.2,1
01/07/2021 11:43:40.537,1955663,BM2V220 @313548,53150,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:40.597,1955725,BM2V220 @313548,53157,F1FFE9FF0B00,-1.5,-2.3,1.1
01/07/2021 11:43:40.657,1955784,BM2V220 @313548,53163,F0FFE9FF0A00,-1.6,-2.3,1
01/07/2021 11:43:40.686,1955813,BM2V220 @313548,53169,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:40.747,1955874,BM2V220 @313548,53175,F0FFEAFF0B00,-1.6,-2.2,1.1
01/07/2021 11:43:40.807,1955934,BM2V220 @313548,53182,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:40.837,1955964,BM2V220 @313548,53188,F0FFE9FF0A00,-1.6,-2.3,1
01/07/2021 11:43:40.897,1956024,BM2V220 @313548,53194,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:40.956,1956084,BM2V220 @313548,53200,F0FFEAFF0A00,-1.6,-2.2,1
01/07/2021 11:43:40.986,1956113,BM2V220 @313548,53207,F0FFE9FF0A00,-1.6,-2.3,1
01/07/2021 11:43:41.046,1956173,BM2V220 @313548,53213,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:41.107,1956234,BM2V220 @313548,53219,F0FFE9FF0A00,-1.6,-2.3,1
01/07/2021 11:43:41.137,1956263,BM2V220 @313548,53225,F0FFE9FF0A00,-1.6,-2.3,1
01/07/2021 11:43:41.197,1956324,BM2V220 @313548,53232,F0FFE9FF0B00,-1.6,-2.3,1.1
01/07/2021 11:43:41.257,1956384,BM2V220 @313548,53238,F0FFE9FF0A00,-1.6,-2.3,1
01/07/2021 11:43:41.286,1956413,BM2V220 @313548,53244,F1FFE9FF0A00,-1.5,-2.3,1
01/07/2021 11:43:41.347,1956473,BM2V220 @313548,53250,F0FFE9FF0600,-1.6,-2.3,0.6
01/07/2021 11:43:41.407,1956535,BM2V220 @313548,53257,F5FFE7FF8700,-1.1,-2.5,13.5
01/07/2021 11:43:41.437,1956575,BM2V220 @313548,53263,ECFFECFFDBFF,-2,-2,-3.7
01/07/2021 11:43:41.497,1956625,BM2V220 @313548,53269,5600F0FF3600,8.6,-1.6,5.4
