Logged started on,30/06/2021 13:58:34
Feature,Gyroscope
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
30/06/2021 13:59:13.910,39408,BM2V220 @313548,5788,F0FFDFFF0700,-1.6,-3.3,0.7
30/06/2021 13:59:13.967,39438,BM2V220 @313548,5794,EEFFDCFF0200,-1.8,-3.6,0.2
30/06/2021 13:59:14.027,39497,BM2V220 @313548,5800,E7FFD8FFF7FF,-2.5,-4,-0.9
30/06/2021 13:59:14.057,39527,BM2V220 @313548,5807,F0FFDBFF0600,-1.6,-3.7,0.6
30/06/2021 13:59:14.117,39587,BM2V220 @313548,5813,F5FFE4FF0F00,-1.1,-2.8,1.5
30/06/2021 13:59:14.177,39647,BM2V220 @313548,5819,F4FFE1FF0B00,-1.2,-3.1,1.1
30/06/2021 13:59:14.207,39678,BM2V220 @313548,5825,F5FFE7FF0600,-1.1,-2.5,0.6
30/06/2021 13:59:14.267,39737,BM2V220 @313548,5832,F4FFF7FF0B00,-1.2,-0.9,1.1
30/06/2021 13:59:14.327,39797,BM2V220 @313548,5838,D9FF12000C00,-3.9,1.8,1.2
30/06/2021 13:59:14.358,39828,BM2V220 @313548,5844,06000C001100,0.6,1.2,1.7
30/06/2021 13:59:14.417,39887,BM2V220 @313548,5850,1400DDFFF2FF,2,-3.5,-1.4
30/06/2021 13:59:14.477,39947,BM2V220 @313548,5857,170018001E00,2.3,2.4,3
30/06/2021 13:59:14.507,39977,BM2V220 @313548,5863,FAFF17000200,-0.6,2.3,0.2
30/06/2021 13:59:14.567,40037,BM2V220 @313548,5869,06006A002500,0.6,10.6,3.7
30/06/2021 13:59:14.627,40098,BM2V220 @313548,5875,540073022701,8.4,62.7,29.5
30/06/2021 13:59:14.657,40127,BM2V220 @313548,5882,D700F5051802,21.5,152.5,53.6
30/06/2021 13:59:14.717,40188,BM2V220 @313548,5888,2801A908FA01,29.6,221.7,50.6
30/06/2021 13:59:14.777,40248,BM2V220 @313548,5894,290131082C00,29.7,209.7,4.4
30/06/2021 13:59:14.807,40277,BM2V220 @313548,5900,4600E905BFFF,7,151.3,-6.5
30/06/2021 13:59:14.867,40337,BM2V220 @313548,5907,9FFF2C03BDFF,-9.7,81.2,-6.7
30/06/2021 13:59:14.927,40397,BM2V220 @313548,5913,F3FF89FE88FF,-1.3,-37.5,-12
30/06/2021 13:59:14.958,40428,BM2V220 @313548,5919,D4FFD8FE0B00,-4.4,-29.6,1.1
30/06/2021 13:59:15.017,40487,BM2V220 @313548,5925,79FF52FE6100,-13.5,-43,9.7
30/06/2021 13:59:15.077,40548,BM2V220 @313548,5932,010060FF3401,0.1,-16,30.8
30/06/2021 13:59:15.107,40578,BM2V220 @313548,5938,30005F015500,4.8,35.1,8.5
30/06/2021 13:59:15.167,40637,BM2V220 @313548,5944,450056038CFF,6.9,85.4,-11.6
30/06/2021 13:59:15.227,40697,BM2V220 @313548,5950,35009202A1FF,5.3,65.8,-9.5
30/06/2021 13:59:15.258,40728,BM2V220 @313548,5957,85007901EFFF,13.3,37.7,-1.7
30/06/2021 13:59:15.317,40787,BM2V220 @313548,5963,980046012300,15.2,32.6,3.5
30/06/2021 13:59:15.377,40847,BM2V220 @313548,5969,230025002F00,3.5,3.7,4.7
30/06/2021 13:59:15.407,40877,BM2V220 @313548,5975,0400DBFF2F00,0.4,-3.7,4.7
30/06/2021 13:59:15.467,40937,BM2V220 @313548,5982,140066003400,2,10.2,5.2
30/06/2021 13:59:15.527,40998,BM2V220 @313548,5988,0C002C006400,1.2,4.4,10
30/06/2021 13:59:15.557,41027,BM2V220 @313548,5994,1200D4FF3600,1.8,-4.4,5.4
30/06/2021 13:59:15.617,41088,BM2V220 @313548,6000,0000E2FF3C00,0,-3,6
30/06/2021 13:59:15.677,41147,BM2V220 @313548,6007,CBFFD5FD8300,-5.3,-55.5,13.1
30/06/2021 13:59:15.707,41177,BM2V220 @313548,6013,D100FEF4A800,20.9,-281.8,16.8
30/06/2021 13:59:15.767,41237,BM2V220 @313548,6019,080125EF8801,26.4,-431.5,39.2
30/06/2021 13:59:15.827,41297,BM2V220 @313548,6025,84FDDEEF9DFF,-63.6,-413,-9.9
30/06/2021 13:59:15.857,41328,BM2V220 @313548,6032,8C023FF8D100,65.2,-198.5,20.9
30/06/2021 13:59:15.917,41387,BM2V220 @313548,6038,53002BFEF700,8.3,-46.9,24.7
30/06/2021 13:59:15.977,41447,BM2V220 @313548,6044,560043FFA8FF,8.6,-18.9,-8.8
30/06/2021 13:59:16.007,41477,BM2V220 @313548,6050,FCFF54017600,-0.4,34,11.8
30/06/2021 13:59:16.067,41538,BM2V220 @313548,6057,FDFFC8006B00,-0.3,20,10.7
30/06/2021 13:59:16.127,41597,BM2V220 @313548,6063,1500E6FFE4FF,2.1,-2.6,-2.8
30/06/2021 13:59:16.157,41628,BM2V220 @313548,6069,ECFFD6FF1E00,-2,-4.2,3
30/06/2021 13:59:16.218,41688,BM2V220 @313548,6075,E0FFE6FF0900,-3.2,-2.6,0.9
30/06/2021 13:59:16.277,41748,BM2V220 @313548,6082,D9FF1F001900,-3.9,3.1,2.5
30/06/2021 13:59:16.307,41778,BM2V220 @313548,6088,C6FF4E00CFFF,-5.8,7.8,-4.9
30/06/2021 13:59:16.397,41867,BM2V220 @313548,6094,B0FF850164FF,-8,38.9,-15.6
30/06/2021 13:59:16.427,41897,BM2V220 @313548,6100,78FE8D028BFE,-39.2,65.3,-37.3
30/06/2021 13:59:16.457,41927,BM2V220 @313548,6107,C1FE7203C1FE,-31.9,88.2,-31.9
30/06/2021 13:59:16.518,41994,BM2V220 @313548,6113,6AFE830538FF,-40.6,141.1,-20
30/06/2021 13:59:16.580,42051,BM2V220 @313548,6119,F6FF0A0BC1FE,-1,282.6,-31.9
30/06/2021 13:59:16.608,42082,BM2V220 @313548,6125,FDFEAC0BFDFD,-25.9,298.8,-51.5
30/06/2021 13:59:16.667,42138,BM2V220 @313548,6132,A9029C0921FD,68.1,246,-73.5
30/06/2021 13:59:16.727,42198,BM2V220 @313548,6138,A4019C0B3CFE,42,297.2,-45.2
30/06/2021 13:59:16.757,42228,BM2V220 @313548,6144,95FE8E0091FE,-36.3,14.2,-36.7
30/06/2021 13:59:16.817,42287,BM2V220 @313548,6150,C3FE32FF6400,-31.7,-20.6,10
30/06/2021 13:59:16.877,42347,BM2V220 @313548,6157,80FF0E002B02,-12.8,1.4,55.5
30/06/2021 13:59:16.907,42377,BM2V220 @313548,6163,420293F29405,57.8,-343.7,142.8
30/06/2021 13:59:16.967,42437,BM2V220 @313548,6169,6701AFEA3C07,35.9,-545.7,185.2
30/06/2021 13:59:17.027,42497,BM2V220 @313548,6175,050188EBDF03,26.1,-524,99.1
30/06/2021 13:59:17.057,42528,BM2V220 @313548,6182,E1FEA0F88301,-28.7,-188.8,38.7
30/06/2021 13:59:17.117,42588,BM2V220 @313548,6188,C0FF14033D01,-6.4,78.8,31.7
30/06/2021 13:59:17.177,42647,BM2V220 @313548,6194,3802460F0AFD,56.8,391,-75.8
30/06/2021 13:59:17.207,42677,BM2V220 @313548,6200,F1FCB90B70F8,-78.3,300.1,-193.6
30/06/2021 13:59:17.267,42738,BM2V220 @313548,6207,F5FD5F0356FB,-52.3,86.3,-119.4
30/06/2021 13:59:17.327,42799,BM2V220 @313548,6213,72FF8A03F3FD,-14.2,90.6,-52.5
30/06/2021 13:59:17.357,42827,BM2V220 @313548,6219,B400AAFD1500,18,-59.8,2.1
30/06/2021 13:59:17.417,42887,BM2V220 @313548,6225,B1FF5303FBFE,-7.9,85.1,-26.1
30/06/2021 13:59:17.477,42948,BM2V220 @313548,6232,36014902DCFD,31,58.5,-54.8
30/06/2021 13:59:17.507,42977,BM2V220 @313548,6238,79007F01F0FA,12.1,38.3,-129.6
30/06/2021 13:59:17.567,43037,BM2V220 @313548,6244,7FFF4F02D7FA,-12.9,59.1,-132.1
30/06/2021 13:59:17.627,43097,BM2V220 @313548,6250,BB002FFF8FFD,18.7,-20.9,-62.5
30/06/2021 13:59:17.657,43128,BM2V220 @313548,6257,0E01D500AFFC,27,21.3,-84.9
30/06/2021 13:59:17.717,43189,BM2V220 @313548,6263,9B01EDFC6401,41.1,-78.7,35.6
30/06/2021 13:59:17.781,43252,BM2V220 @313548,6269,890145FD1603,39.3,-69.9,79
30/06/2021 13:59:17.807,43278,BM2V220 @313548,6275,0402D2FBF904,51.6,-107,127.3
30/06/2021 13:59:17.867,43338,BM2V220 @313548,6282,8C0175FD2806,39.6,-65.1,157.6
30/06/2021 13:59:17.927,43397,BM2V220 @313548,6288,B40091FCED06,18,-87.9,177.3
30/06/2021 13:59:17.957,43428,BM2V220 @313548,6294,6B00BDFCCA05,10.7,-83.5,148.2
30/06/2021 13:59:18.017,43488,BM2V220 @313548,6300,3F01F3FDA805,31.9,-52.5,144.8
30/06/2021 13:59:18.077,43548,BM2V220 @313548,6307,820074FDE705,13,-65.2,151.1
30/06/2021 13:59:18.107,43577,BM2V220 @313548,6313,2DFF5402DE01,-21.1,59.6,47.8
30/06/2021 13:59:18.167,43637,BM2V220 @313548,6319,17FCB4063EFD,-100.1,171.6,-70.6
30/06/2021 13:59:18.227,43697,BM2V220 @313548,6325,0DFB4C0AF9F8,-126.7,263.6,-179.9
30/06/2021 13:59:18.257,43728,BM2V220 @313548,6332,BAFF6B055AFB,-7,138.7,-119
30/06/2021 13:59:18.318,43788,BM2V220 @313548,6338,C7FDF903FAFC,-56.9,101.7,-77.4
30/06/2021 13:59:18.378,43849,BM2V220 @313548,6344,C1009DFD2CFF,19.3,-61.1,-21.2
30/06/2021 13:59:18.408,43878,BM2V220 @313548,6350,DD011AFC4300,47.7,-99.8,6.7
30/06/2021 13:59:18.467,43943,BM2V220 @313548,6357,E3038FF9F700,99.5,-164.9,24.7
30/06/2021 13:59:18.527,44001,BM2V220 @313548,6363,BD0392FC8C03,95.7,-87.8,90.8
30/06/2021 13:59:18.558,44033,BM2V220 @313548,6369,A7020CFBDE03,67.9,-126.8,99
30/06/2021 13:59:18.620,44095,BM2V220 @313548,6375,F901D6FC3505,50.5,-81,133.3
30/06/2021 13:59:18.678,44148,BM2V220 @313548,6382,7F003CFB9805,12.7,-122,143.2
30/06/2021 13:59:18.707,44178,BM2V220 @313548,6388,4601BCFE6B01,32.6,-32.4,36.3
30/06/2021 13:59:18.768,44238,BM2V220 @313548,6394,7D025B0199FE,63.7,34.7,-35.9
30/06/2021 13:59:18.827,44307,BM2V220 @313548,6400,04004703E5FC,0.4,83.9,-79.5
30/06/2021 13:59:18.857,44328,BM2V220 @313548,6407,E1FCEA035BF9,-79.9,100.2,-170.1
30/06/2021 13:59:18.918,44389,BM2V220 @313548,6413,57FD5D0359F7,-68.1,86.1,-221.5
