Logged started on,12/07/2021 15:12:00
Feature,Magnetometer
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
12/07/2021 15:13:26.828,86069,BM2V220 @313548,17767,08FEE3FEB6FB,-504,-285,-1098
12/07/2021 15:13:26.880,86103,BM2V220 @313548,17773,13FEE2FEB0FB,-493,-286,-1104
12/07/2021 15:13:26.999,86223,BM2V220 @313548,17780,13FEE2FEB8FB,-493,-286,-1096
12/07/2021 15:13:27.028,86252,BM2V220 @313548,17786,0DFEDAFEB6FB,-499,-294,-1098
12/07/2021 15:13:27.045,86267,BM2V220 @313548,17792,13FEDFFEB2FB,-493,-289,-1102
12/07/2021 15:13:27.090,86312,BM2V220 @313548,17798,0EFEE3FEADFB,-498,-285,-1107
12/07/2021 15:13:27.120,86342,BM2V220 @313548,17805,14FEDFFEB6FB,-492,-289,-1098
12/07/2021 15:13:27.240,86464,BM2V220 @313548,17811,0BFEE0FEBBFB,-501,-288,-1093
12/07/2021 15:13:27.267,86490,BM2V220 @313548,17817,11FEDAFEB6FB,-495,-294,-1098
12/07/2021 15:13:27.284,86507,BM2V220 @313548,17823,0AFEE0FEBEFB,-502,-288,-1090
12/07/2021 15:13:27.330,86552,BM2V220 @313548,17830,17FEDAFEB3FB,-489,-294,-1101
12/07/2021 15:13:27.449,86672,BM2V220 @313548,17836,10FED9FEB6FB,-496,-295,-1098
12/07/2021 15:13:27.462,86685,BM2V220 @313548,17842,14FEE0FEB8FB,-492,-288,-1096
12/07/2021 15:13:27.480,86703,BM2V220 @313548,17848,16FED9FEBCFB,-490,-295,-1092
12/07/2021 15:13:27.540,86763,BM2V220 @313548,17855,0BFEDFFEB9FB,-501,-289,-1095
12/07/2021 15:13:27.570,86793,BM2V220 @313548,17861,11FEE2FEBBFB,-495,-286,-1093
12/07/2021 15:13:27.630,86852,BM2V220 @313548,17867,0BFEDAFEAFFB,-501,-294,-1105
12/07/2021 15:13:27.690,86912,BM2V220 @313548,17873,11FED6FEADFB,-495,-298,-1107
12/07/2021 15:13:27.720,86942,BM2V220 @313548,17880,FFFDDAFEB8FB,-513,-294,-1096
