Logged started on,13/07/2021 12:46:30
Feature,Accelerometer
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
13/07/2021 12:46:50.118,19587,BM2V220 @313548,5487,DEFFE4FF0F04,-34,-28,1039
13/07/2021 12:46:50.178,19635,BM2V220 @313548,5493,E3FFE1FF1004,-29,-31,1040
13/07/2021 12:46:50.238,19696,BM2V220 @313548,5499,E8FFF0FF0C04,-24,-16,1036
13/07/2021 12:46:50.268,19726,BM2V220 @313548,5505,DFFFDDFF0E04,-33,-35,1038
13/07/2021 12:46:50.328,19787,BM2V220 @313548,5512,E0FFE7FF0C04,-32,-25,1036
13/07/2021 12:46:50.388,19848,BM2V220 @313548,5518,E3FFE5FF0E04,-29,-27,1038
13/07/2021 12:46:50.418,19876,BM2V220 @313548,5524,E2FFDEFF1004,-30,-34,1040
13/07/2021 12:46:50.478,19937,BM2V220 @313548,5530,E0FFE9FF1004,-32,-23,1040
13/07/2021 12:46:50.538,19998,BM2V220 @313548,5537,DEFFDEFF0C04,-34,-34,1036
13/07/2021 12:46:50.568,20026,BM2V220 @313548,5543,E5FFE7FF0D04,-27,-25,1037
13/07/2021 12:46:50.628,20087,BM2V220 @313548,5549,E1FFE3FF0E04,-31,-29,1038
13/07/2021 12:46:50.688,20147,BM2V220 @313548,5555,DEFFE3FF0E04,-34,-29,1038
13/07/2021 12:46:50.718,20176,BM2V220 @313548,5562,E2FFE6FF0D04,-30,-26,1037
13/07/2021 12:46:50.778,20237,BM2V220 @313548,5568,E2FFE0FF0F04,-30,-32,1039
13/07/2021 12:46:50.838,20297,BM2V220 @313548,5574,E3FFE6FF1004,-29,-26,1040
13/07/2021 12:46:50.898,20357,BM2V220 @313548,5580,DDFFE2FF0E04,-35,-30,1038
13/07/2021 12:46:50.928,20386,BM2V220 @313548,5587,E1FFE3FF0F04,-31,-29,1039
13/07/2021 12:46:50.988,20447,BM2V220 @313548,5593,E4FFE6FF0C04,-28,-26,1036
13/07/2021 12:46:51.018,20476,BM2V220 @313548,5599,E1FFE1FF0C04,-31,-31,1036
13/07/2021 12:46:51.078,20536,BM2V220 @313548,5605,DFFFE6FF0E04,-33,-26,1038
13/07/2021 12:46:51.138,20597,BM2V220 @313548,5612,E5FFE3FF0F04,-27,-29,1039
13/07/2021 12:46:51.168,20626,BM2V220 @313548,5618,E2FFE5FF0C04,-30,-27,1036
13/07/2021 12:46:51.228,20687,BM2V220 @313548,5624,DFFFE4FF0F04,-33,-28,1039
13/07/2021 12:46:51.288,20747,BM2V220 @313548,5630,E2FFE3FF0D04,-30,-29,1037
13/07/2021 12:46:51.318,20776,BM2V220 @313548,5637,E5FFE5FF0C04,-27,-27,1036
