Logged started on,13/07/2021 12:46:30
Feature,Magnetometer
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
13/07/2021 12:47:49.730,79205,BM2V220 @313548,12937,B70015002DFD,183,21,-723
13/07/2021 12:47:49.761,79218,BM2V220 @313548,12943,BE0019002CFD,190,25,-724
13/07/2021 12:47:49.821,79279,BM2V220 @313548,12949,BD001B002AFD,189,27,-726
13/07/2021 12:47:49.880,79339,BM2V220 @313548,12955,C000190029FD,192,25,-727
13/07/2021 12:47:49.911,79369,BM2V220 @313548,12962,BB00180035FD,187,24,-715
13/07/2021 12:47:49.971,79429,BM2V220 @313548,12968,BD00190024FD,189,25,-732
13/07/2021 12:47:50.031,79489,BM2V220 @313548,12974,C3001B002CFD,195,27,-724
13/07/2021 12:47:50.061,79519,BM2V220 @313548,12980,B2001B0033FD,178,27,-717
13/07/2021 12:47:50.120,79579,BM2V220 @313548,12987,B500180027FD,181,24,-729
13/07/2021 12:47:50.181,79639,BM2V220 @313548,12993,B200190033FD,178,25,-717
13/07/2021 12:47:50.211,79669,BM2V220 @313548,12999,B8001F0030FD,184,31,-720
13/07/2021 12:47:50.271,79729,BM2V220 @313548,13005,C0001F0029FD,192,31,-727
13/07/2021 12:47:50.330,79789,BM2V220 @313548,13012,B5001B002AFD,181,27,-726
13/07/2021 12:47:50.361,79820,BM2V220 @313548,13018,B2001C002DFD,178,28,-723
13/07/2021 12:47:50.421,79880,BM2V220 @313548,13024,B50022002CFD,181,34,-724
13/07/2021 12:47:50.481,79939,BM2V220 @313548,13030,BB0022002CFD,187,34,-724
13/07/2021 12:47:50.511,79969,BM2V220 @313548,13037,B20019002CFD,178,25,-724
13/07/2021 12:47:50.571,80029,BM2V220 @313548,13043,B7001C002DFD,183,28,-723
13/07/2021 12:47:50.631,80089,BM2V220 @313548,13049,B700190039FD,183,25,-711
13/07/2021 12:47:50.661,80119,BM2V220 @313548,13055,BE001C0030FD,190,28,-720
