magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
328,-253,-435,1,-49,-3,49,-972,-36,12:37:00
328,-253,-435,1,-49,-3,49,-972,-36,12:37:00
328,-253,-435,1,-49,-3,49,-972,-36,12:37:00
328,-253,-435,1,-49,-3,49,-972,-36,12:37:00
328,-253,-435,1,-49,-3,49,-972,-36,12:37:00
319,-243,-424,1,-46,-3,52,-981,-29,12:37:00
322,-256,-424,0,-42,-3,56,-988,-32,12:37:00
321,-244,-427,-3,-42,-2,59,-994,-39,12:37:00
334,-235,-453,-3,-41,-4,59,-999,-42,12:37:00
322,-244,-438,-3,-46,-5,55,-996,-43,12:37:00
322,-244,-438,-3,-52,-7,54,-994,-44,12:37:00
310,-250,-426,-6,-53,-9,57,-991,-42,12:37:00
307,-246,-444,-9,-55,-9,59,-982,-41,12:37:00
318,-234,-433,-15,-56,-11,59,-974,-43,12:37:00
300,-262,-421,-23,-56,-15,59,-974,-43,12:37:00
322,-229,-429,-34,-51,-19,56,-971,-43,12:37:00
328,-244,-423,-44,-44,-23,53,-974,-40,12:37:00
328,-244,-423,-53,-37,-24,52,-982,-37,12:37:00
315,-249,-439,-60,-20,-27,54,-989,-42,12:37:00
327,-241,-426,-64,-2,-29,56,-994,-47,12:37:00
334,-261,-433,-64,-2,-29,60,-996,-43,12:37:00
325,-250,-444,-66,14,-29,71,-991,-33,12:37:00
334,-259,-436,-63,16,-27,80,-985,-30,12:37:00
310,-255,-424,-56,12,-23,84,-977,-32,12:37:00
310,-255,-424,-55,7,-23,83,-964,-34,12:37:00
328,-256,-435,-51,2,-23,77,-955,-34,12:37:00
319,-258,-456,-47,3,-27,71,-951,-38,12:37:00
324,-250,-435,-38,18,-30,68,-952,-41,12:37:00
321,-253,-424,-27,51,-33,66,-953,-34,12:37:00
337,-253,-435,-16,60,-31,68,-954,-18,12:37:00
324,-250,-444,-1,49,-23,72,-953,-10,12:37:00
324,-250,-444,13,22,-13,73,-954,-15,12:37:00
339,-244,-445,23,-2,-6,64,-961,-23,12:37:00
309,-259,-432,28,-13,-4,50,-972,-32,12:37:00
313,-244,-442,32,-13,-4,43,-980,-35,12:37:00
327,-237,-448,35,-11,-4,43,-980,-35,12:37:00
315,-240,-442,33,-16,-3,42,-982,-29,12:37:00
330,-258,-435,29,-21,-2,41,-979,-27,12:37:00
330,-258,-435,28,-26,-3,40,-975,-24,12:37:00
312,-232,-442,31,-35,-4,41,-975,-24,12:37:00
