magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
312,123,-700,-26,25,-29,154,57,1006,0:03:20
312,123,-700,-26,25,-29,154,57,1006,0:03:20
312,123,-700,-26,25,-29,154,57,1006,0:03:20
324,151,-684,-34,39,-29,154,57,1006,0:03:20
288,127,-690,-23,58,-37,151,62,996,0:03:20
288,127,-690,-1,58,-50,146,61,990,0:03:20
297,133,-694,0,38,-48,120,45,983,0:03:20
306,142,-684,-21,23,-31,115,43,980,0:03:20
316,147,-702,-21,2,-21,115,43,980,0:03:20
306,141,-672,-32,-2,-18,119,48,984,0:03:20
318,139,-675,-32,-8,-20,129,42,992,0:03:20
319,135,-693,-26,15,-32,133,45,993,0:03:20
316,126,-688,-12,21,-45,135,59,987,0:03:20
303,135,-675,-27,10,-38,133,59,987,0:03:20
324,133,-685,-29,7,-40,127,55,982,0:03:20
313,138,-687,-22,-11,-29,123,66,971,0:03:20
301,126,-673,-31,-20,0,126,72,975,0:03:20
304,133,-688,18,14,-53,122,76,975,0:03:20
304,133,-688,28,33,-79,121,73,988,0:03:20
295,126,-681,-5,2,-42,128,58,1017,0:03:20
315,133,-697,-38,-23,6,127,46,1023,0:03:20
301,118,-696,-21,-3,-7,122,48,1007,0:03:20
294,153,-682,-2,4,-17,113,69,983,0:03:20
310,130,-691,-16,-23,8,106,73,977,0:03:20
298,133,-690,-21,-18,13,97,72,972,0:03:21
309,150,-702,6,27,-37,99,74,979,0:03:21
304,130,-688,6,23,-35,99,74,979,0:03:21
300,133,-700,-4,1,-13,103,64,995,0:03:21
309,139,-700,-10,-11,-4,97,64,987,0:03:21
298,133,-681,-5,-25,9,98,63,988,0:03:21
310,142,-702,-27,-34,39,106,61,1000,0:03:21
328,147,-699,-28,-15,28,114,57,1011,0:03:21
328,147,-699,-4,9,11,117,61,1014,0:03:21
309,151,-697,-1,19,0,125,67,1019,0:03:21
291,123,-705,-16,11,11,129,60,1021,0:03:21
288,147,-673,-26,10,18,123,50,1011,0:03:21
288,147,-673,-25,6,8,121,56,993,0:03:21
307,138,-708,-25,-11,19,125,69,976,0:03:21
322,135,-700,-23,-32,59,122,75,961,0:03:21
310,147,-684,-3,-21,37,117,85,951,0:03:21
324,132,-694,0,-22,32,122,83,961,0:03:21
321,135,-702,-26,-37,76,130,72,975,0:03:21
300,151,-675,9,-2,35,138,79,984,0:03:21
292,148,-688,62,37,-14,138,79,984,0:03:21
318,139,-702,44,25,13,142,88,987,0:03:21
309,133,-687,7,0,65,143,75,1001,0:03:21
298,145,-702,30,-5,76,139,66,997,0:03:21
298,145,-702,37,0,77,134,79,990,0:03:21
309,159,-693,30,14,74,134,72,998,0:03:21
322,136,-700,32,56,34,129,62,993,0:03:21
291,142,-690,13,58,35,122,58,987,0:03:21
301,145,-685,-3,37,51,121,40,999,0:03:21
327,159,-711,1,28,32,116,40,996,0:03:21
306,142,-696,-5,2,51,113,52,980,0:03:21
280,156,-694,-7,-13,95,117,58,975,0:03:21
298,162,-675,28,15,54,123,75,980,0:03:21
307,138,-706,42,30,38,135,83,990,0:03:21
312,154,-690,8,14,86,137,70,997,0:03:21
321,145,-672,60,42,49,130,62,1000,0:03:21
321,145,-672,88,89,-9,134,70,999,0:03:21
322,166,-685,42,64,14,110,44,1005,0:03:21
319,142,-693,-1,34,40,110,44,1005,0:03:21
298,156,-676,8,40,28,98,49,990,0:03:21
307,148,-696,-2,49,35,108,67,981,0:03:21
315,150,-696,8,103,-14,120,69,991,0:03:21
313,163,-706,2,154,-49,106,75,979,0:03:21
325,157,-712,-21,123,-28,102,73,984,0:03:21
315,157,-697,-37,79,9,109,64,1009,0:03:21
337,156,-714,-37,53,28,108,68,1009,0:03:21
315,160,-712,-32,27,42,109,71,1009,0:03:21
316,153,-708,-23,19,48,113,74,1011,0:03:21
327,159,-699,-6,25,33,111,79,999,0:03:21
313,162,-705,4,43,18,103,80,977,0:03:21
336,151,-714,-8,30,30,98,77,964,0:03:21
324,160,-711,-9,13,39,98,69,971,0:03:21
331,159,-696,4,6,43,92,71,969,0:03:22
330,160,-712,4,-17,58,89,75,969,0:03:22
324,135,-717,16,-21,46,85,71,980,0:03:22
321,156,-705,35,5,7,85,71,980,0:03:22
321,156,-705,23,-6,4,81,68,982,0:03:22
315,172,-714,-4,-25,16,89,58,1009,0:03:22
328,147,-705,-14,-32,16,96,58,1024,0:03:22
319,156,-715,-11,-22,4,94,74,1011,0:03:22
330,144,-718,-7,-26,4,95,87,1003,0:03:22
327,172,-717,-26,-35,38,101,96,1001,0:03:22
319,144,-709,-21,-8,32,102,104,998,0:03:22
331,175,-717,25,14,-7,100,111,1000,0:03:22
321,172,-690,32,25,-11,102,118,1003,0:03:22
331,160,-715,0,6,16,103,98,1020,0:03:22
295,181,-708,-25,-1,40,99,74,1027,0:03:22
319,171,-706,-17,13,17,96,76,1017,0:03:22
300,163,-712,-33,6,37,94,83,1005,0:03:22
316,160,-703,-62,-3,63,94,75,1002,0:03:22
321,162,-700,-48,14,39,91,73,998,0:03:22
319,177,-706,-41,11,32,91,79,985,0:03:22
328,159,-705,-58,-16,45,93,68,979,0:03:22
325,154,-708,-22,-26,41,93,68,979,0:03:22
325,154,-708,39,2,2,97,85,962,0:03:22
325,153,-697,44,-2,7,99,95,958,0:03:22
322,162,-714,11,-18,38,92,71,971,0:03:22
325,184,-703,19,-12,7,80,65,981,0:03:22
334,171,-700,15,-7,8,87,76,983,0:03:22
319,180,-703,-18,-26,30,99,77,993,0:03:22
321,172,-706,15,-31,16,89,81,987,0:03:22
310,175,-706,23,-22,23,83,93,972,0:03:22
342,157,-702,-2,-28,41,94,89,992,0:03:22
313,157,-694,28,-2,7,89,82,999,0:03:22
345,171,-714,4,20,-46,81,97,1008,0:03:24
345,171,-714,4,20,-46,81,97,1008,0:03:24
345,171,-714,4,20,-46,81,97,1008,0:03:24
322,169,-715,-3,12,-33,81,97,1008,0:03:24
322,169,-715,-8,12,-23,82,104,999,0:03:24
328,186,-715,1,14,-24,79,112,987,0:03:24
336,168,-706,0,7,-18,63,99,984,0:03:24
325,169,-703,-7,0,-15,60,94,987,0:03:24
321,166,-711,0,-3,-16,60,94,987,0:03:24
312,174,-706,5,-4,-23,60,93,993,0:03:24
325,168,-708,6,-6,-29,59,90,998,0:03:24
342,171,-684,7,-9,-35,56,87,997,0:03:24
322,171,-708,0,-9,-34,56,86,996,0:03:24
322,177,-687,-5,-9,-32,59,87,999,0:03:24
312,162,-712,-11,-6,-30,62,91,1000,0:03:24
322,160,-721,-14,-4,-28,67,95,1003,0:03:24
315,174,-688,-14,0,-30,70,97,1000,0:03:24
331,180,-711,-9,2,-29,71,101,1000,0:03:24
331,180,-711,-4,0,-24,68,106,994,0:03:24
315,180,-708,-3,-4,-18,65,107,986,0:03:24
315,180,-708,-4,-4,-25,66,102,987,0:03:24
325,180,-688,-16,-8,-12,66,98,993,0:03:24
358,165,-732,-8,2,-21,69,100,996,0:03:24
309,172,-703,-7,15,-32,71,104,992,0:03:24
337,175,-714,-11,2,-23,72,101,994,0:03:24
328,180,-703,-27,-16,9,70,99,991,0:03:24
318,186,-708,-23,-6,-7,70,99,991,0:03:25
343,204,-706,-22,6,-23,70,97,994,0:03:25
321,175,-706,-37,-10,-4,70,100,993,0:03:25
310,187,-706,-30,-11,-2,69,100,988,0:03:25
328,193,-717,-2,5,-22,70,103,982,0:03:25
346,171,-715,16,16,-36,82,113,987,0:03:25
