,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.8,-3.6,0.2,0.114,-0.214,-0.016,-0.058,0.142,-1.186
2,-2.5,-4.0,-0.9,0.114,-0.229,-0.013,-0.051,0.142,-1.17
3,-1.6,-3.7,0.6,0.108,-0.238,-0.001,-0.052,0.138,-1.171
4,-1.1,-2.8,1.5,0.115,-0.239,0.003,-0.054,0.148,-1.174
5,-1.2,-3.1,1.1,0.111,-0.233,-0.006,-0.055,0.141,-1.18
6,-1.1,-2.5,0.6,0.113,-0.234,0.001,-0.069,0.138,-1.174
7,-1.2,-0.9,1.1,0.118,-0.241,0.002,-0.057,0.141,-1.171
8,-3.9,1.8,1.2,0.122,-0.234,-0.021,-0.058,0.139,-1.168
9,0.6,1.2,1.7,0.137,-0.241,0.011,-0.058,0.147,-1.17
10,2.0,-3.5,-1.4,0.089,-0.227,0.046,-0.051,0.145,-1.176
11,2.3,2.4,3.0,0.114,-0.236,0.012,-0.049,0.142,-1.179
12,-0.6,2.3,0.2,0.101,-0.219,-0.006,-0.057,0.15,-1.177
13,0.6,10.6,3.7,0.099,-0.216,0.006,-0.054,0.148,-1.164
14,8.4,62.7,29.5,0.133,-0.162,-0.022,-0.061,0.177,-1.173
15,21.5,152.5,53.6,-0.028,-0.284,0.08,-0.055,0.223,-1.134
16,29.6,221.7,50.6,-0.314,-0.221,0.002,-0.067,0.28,-1.102
17,29.7,209.7,4.4,-0.374,-0.133,-0.03,-0.102,0.357,-1.038
18,7.0,151.3,-6.5,-0.597,-0.207,-0.11,-0.112,0.391,-0.985
19,-9.7,81.2,-6.7,-0.767,-0.241,-0.236,-0.106,0.423,-0.963
20,-1.3,-37.5,-12.0,-0.669,-0.234,-0.203,-0.1,0.424,-0.961
21,-4.4,-29.6,1.1,-0.596,-0.177,-0.197,-0.099,0.417,-0.975
22,-13.5,-43.0,9.7,-0.59,-0.176,-0.163,-0.091,0.405,-0.976
23,0.1,-16.0,30.8,-0.544,-0.187,-0.146,-0.088,0.402,-1.006
24,4.8,35.1,8.5,-0.608,-0.148,-0.174,-0.099,0.408,-0.991
25,6.9,85.4,-11.6,-0.624,-0.159,-0.202,-0.106,0.424,-0.963
26,5.3,65.8,-9.5,-0.701,-0.198,-0.208,-0.108,0.441,-0.925
27,13.3,37.7,-1.7,-0.745,-0.163,-0.326,-0.105,0.456,-0.912
28,15.2,32.6,3.5,-0.734,-0.16,-0.237,-0.105,0.462,-0.892
29,3.5,3.7,4.7,-0.735,-0.148,-0.288,-0.124,0.45,-0.889
30,0.4,-3.7,4.7,-0.745,-0.132,-0.331,-0.118,0.459,-0.889
31,2.0,10.2,5.2,-0.759,-0.148,-0.302,-0.117,0.457,-0.883
32,1.2,4.4,10.0,-0.768,-0.142,-0.312,-0.111,0.463,-0.877
33,1.8,-4.4,5.4,-0.759,-0.126,-0.3,-0.123,0.459,-0.867
34,0.0,-3.0,6.0,-0.774,-0.131,-0.299,-0.129,0.46,-0.877
35,-5.3,-55.5,13.1,-0.783,-0.155,-0.256,-0.126,0.454,-0.883
36,20.9,-281.8,16.8,-0.668,-0.154,-0.287,-0.138,0.43,-0.954
37,26.4,-431.5,39.2,-0.543,-0.153,0.136,-0.133,0.334,-1.051
38,-63.6,-413.0,-9.9,-0.144,-0.16,-0.032,-0.144,0.184,-1.15
39,65.2,-198.5,20.9,0.333,0.019,-0.09,-0.123,0.066,-1.159
40,8.3,-46.9,24.7,0.485,-0.052,-0.032,-0.129,0.027,-1.174
41,8.6,-18.9,-8.8,0.33,0.026,-0.083,-0.138,0.01,-1.173
42,-0.4,34.0,11.8,0.253,-0.064,-0.02,-0.144,0.018,-1.164
43,-0.3,20.0,10.7,0.353,-0.161,0.032,-0.142,0.048,-1.164
44,2.1,-2.6,-2.8,0.283,-0.052,-0.06,-0.145,0.037,-1.17
45,-2.0,-4.2,3.0,0.323,-0.116,0.011,-0.153,0.037,-1.165
46,-3.2,-2.6,0.9,0.29,-0.064,-0.035,-0.142,0.033,-1.168
47,-3.9,3.1,2.5,0.274,-0.08,-0.012,-0.147,0.039,-1.164
48,-5.8,7.8,-4.9,0.307,-0.082,-0.009,-0.147,0.046,-1.167
49,-8.0,38.9,-15.6,0.259,-0.082,0.003,-0.145,0.055,-1.17
50,-39.2,65.3,-37.3,0.251,-0.038,-0.074,-0.136,0.085,-1.165
51,-31.9,88.2,-31.9,0.247,-0.141,0.014,-0.139,0.117,-1.173
52,-40.6,141.1,-20.0,0.054,-0.097,-0.04,-0.115,0.168,-1.153
53,-1.0,282.6,-31.9,-0.004,-0.176,-0.215,-0.105,0.253,-1.116
54,-25.9,298.8,-51.5,-0.364,-0.366,-0.011,-0.087,0.357,-1.039
55,68.1,246.0,-73.5,-0.593,-0.239,-0.208,-0.084,0.438,-0.943
56,42.0,297.2,-45.2,-0.99,-0.204,-0.35,-0.07,0.481,-0.837
57,-36.3,14.2,-36.7,-1.119,-0.198,-0.257,-0.063,0.495,-0.772
58,-31.7,-20.6,10.0,-0.765,-0.255,-0.71,-0.045,0.495,-0.802
59,-12.8,1.4,55.5,-0.629,-0.088,-0.177,-0.034,0.499,-0.783
60,57.8,-343.7,142.8,-0.91,-0.271,-0.576,-0.054,0.481,-0.88
61,35.9,-545.7,185.2,-0.474,-0.099,0.157,-0.088,0.351,-1.03
62,26.1,-524.0,99.1,0.042,0.06,-0.176,-0.159,0.145,-1.132
63,-28.7,-188.8,38.7,0.442,0.13,-0.11,-0.192,0.028,-1.153
64,-6.4,78.8,31.7,0.377,0.13,-0.244,-0.183,0.018,-1.161
65,56.8,391.0,-75.8,-0.049,-0.084,0.178,-0.177,0.148,-1.137
