magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
787,388,-112,10,-7,-5,-316,951,125,0:15:20
