gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
2,-1,-13,721,216,-538,-21,59,997,0:48:32
2,0,-14,714,217,-525,-21,59,998,0:48:32
2,0,-13,714,217,-525,-21,59,998,0:48:32
2,-1,-13,721,208,-525,-21,59,997,0:48:32
2,-1,-13,715,216,-540,-21,59,998,0:48:32
2,-1,-13,721,204,-538,-21,59,998,0:48:32
2,-1,-13,714,208,-543,-21,59,998,0:48:32
2,-2,-13,715,216,-537,-21,59,998,0:48:32
2,-2,-13,717,217,-544,-22,59,998,0:48:32
2,-2,-13,715,211,-544,-22,59,998,0:48:32
2,0,-13,709,216,-532,-21,59,998,0:48:32
2,-1,-13,711,214,-535,-21,59,998,0:48:32
2,-1,-13,709,211,-540,-21,59,998,0:48:32
2,0,-13,709,211,-540,-21,59,998,0:48:32
2,-1,-13,718,213,-537,-21,59,999,0:48:32
2,-1,-13,715,213,-540,-21,59,999,0:48:32
2,-2,-13,714,217,-535,-21,59,998,0:48:32
2,-1,-13,717,216,-540,-21,59,998,0:48:32
2,-1,-13,715,216,-547,-21,58,998,0:48:32
2,-1,-13,718,222,-540,-21,58,998,0:48:32
2,-2,-13,711,220,-534,-21,59,999,0:48:32
2,-1,-13,714,204,-534,-21,59,998,0:48:32
2,-2,-13,726,214,-528,-22,59,999,0:48:32
2,-1,-13,717,210,-538,-22,59,999,0:48:32
2,-1,-13,712,213,-534,-21,59,999,0:48:32
2,-1,-13,717,210,-535,-21,59,999,0:48:32
2,-1,-13,717,210,-535,-21,59,999,0:48:32
2,-1,-13,718,204,-534,-21,59,999,0:48:32
2,-2,-13,721,217,-532,-21,59,999,0:48:32
2,-2,-13,715,210,-541,-21,59,999,0:48:32
2,-2,-13,720,214,-523,-21,58,999,0:48:32
2,0,-13,715,210,-538,-21,59,999,0:48:32
2,-1,-13,720,205,-537,-22,59,999,0:48:32
2,-1,-13,715,216,-540,-22,59,999,0:48:32
2,-1,-13,721,213,-537,-21,59,998,0:48:32
2,-2,-13,714,214,-537,-21,59,999,0:48:33
2,0,-14,724,211,-540,-21,59,999,0:48:33
2,0,-14,714,211,-535,-21,59,999,0:48:33
2,-1,-13,712,216,-531,-21,59,999,0:48:33
2,-1,-13,711,214,-537,-21,59,999,0:48:33
2,-2,-13,715,211,-538,-21,59,1000,0:48:33
2,-1,-13,711,211,-535,-21,59,999,0:48:33
2,0,-13,708,213,-532,-21,59,999,0:48:33
2,-1,-13,708,213,-532,-21,59,999,0:48:33
2,-1,-13,712,207,-544,-21,59,999,0:48:33
2,-1,-13,715,210,-529,-21,59,999,0:48:33
2,-2,-13,708,213,-543,-21,59,999,0:48:33
2,-1,-13,720,211,-543,-21,59,999,0:48:33
2,-1,-13,715,219,-541,-21,58,999,0:48:33
2,0,-14,718,213,-546,-21,59,999,0:48:33
2,-1,-14,717,211,-546,-21,59,999,0:48:33
2,-2,-13,717,213,-550,-21,59,999,0:48:33
2,0,-13,712,216,-535,-21,59,999,0:48:33
2,-1,-13,721,208,-546,-21,58,999,0:48:33
2,-1,-13,711,214,-538,-21,59,1000,0:48:33
2,0,-14,718,213,-537,-21,59,999,0:48:33
2,0,-13,718,208,-540,-21,59,999,0:48:33
2,-1,-13,715,205,-546,-21,59,999,0:48:33
