Logged started on,15/07/2021 15:02:06
Feature,Gyroscope
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
15/07/2021 15:05:18.405,191435,BM2V220 @313548,31242,F6FFDEFF0B00,-1,-3.4,1.1
15/07/2021 15:05:18.465,191484,BM2V220 @313548,31248,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:18.495,191513,BM2V220 @313548,31254,F6FFDEFF0900,-1,-3.4,0.9
15/07/2021 15:05:18.555,191573,BM2V220 @313548,31260,F6FFDEFF0B00,-1,-3.4,1.1
15/07/2021 15:05:18.615,191633,BM2V220 @313548,31267,F6FFDEFF0900,-1,-3.4,0.9
15/07/2021 15:05:18.645,191663,BM2V220 @313548,31273,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:18.705,191723,BM2V220 @313548,31279,F6FFDEFF0B00,-1,-3.4,1.1
15/07/2021 15:05:18.765,191783,BM2V220 @313548,31285,F6FFDEFF0900,-1,-3.4,0.9
15/07/2021 15:05:18.795,191813,BM2V220 @313548,31292,F5FFDEFF0A00,-1.1,-3.4,1
15/07/2021 15:05:18.855,191873,BM2V220 @313548,31298,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:18.915,191933,BM2V220 @313548,31304,F5FFDFFF0A00,-1.1,-3.3,1
15/07/2021 15:05:18.945,191964,BM2V220 @313548,31310,F7FFDEFF0B00,-0.9,-3.4,1.1
15/07/2021 15:05:19.005,192023,BM2V220 @313548,31317,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 15:05:19.066,192083,BM2V220 @313548,31323,F6FFDEFF0B00,-1,-3.4,1.1
15/07/2021 15:05:19.095,192113,BM2V220 @313548,31329,F6FFDDFF0A00,-1,-3.5,1
15/07/2021 15:05:19.155,192173,BM2V220 @313548,31335,F5FFDFFF0A00,-1.1,-3.3,1
15/07/2021 15:05:19.215,192233,BM2V220 @313548,31342,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 15:05:19.245,192263,BM2V220 @313548,31348,F6FFDDFF0A00,-1,-3.5,1
15/07/2021 15:05:19.306,192324,BM2V220 @313548,31354,F6FFDFFF0900,-1,-3.3,0.9
15/07/2021 15:05:19.365,192383,BM2V220 @313548,31360,F6FFDEFF0B00,-1,-3.4,1.1
15/07/2021 15:05:19.395,192413,BM2V220 @313548,31367,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:19.485,192503,BM2V220 @313548,31373,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 15:05:19.515,192534,BM2V220 @313548,31379,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:19.545,192564,BM2V220 @313548,31385,F7FFDFFF0A00,-0.9,-3.3,1
15/07/2021 15:05:19.605,192623,BM2V220 @313548,31392,F7FFDEFF0A00,-0.9,-3.4,1
15/07/2021 15:05:19.665,192683,BM2V220 @313548,31398,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 15:05:19.695,192713,BM2V220 @313548,31404,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:19.756,192774,BM2V220 @313548,31410,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:19.815,192833,BM2V220 @313548,31417,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 15:05:19.845,192863,BM2V220 @313548,31423,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 15:05:19.905,192923,BM2V220 @313548,31429,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:19.965,192983,BM2V220 @313548,31435,F6FFDEFF0900,-1,-3.4,0.9
15/07/2021 15:05:19.995,193013,BM2V220 @313548,31442,F7FFDEFF0A00,-0.9,-3.4,1
15/07/2021 15:05:20.055,193073,BM2V220 @313548,31448,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:20.145,193163,BM2V220 @313548,31454,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 15:05:20.168,193186,BM2V220 @313548,31460,F6FFDEFF0A00,-1,-3.4,1
15/07/2021 15:05:20.205,193223,BM2V220 @313548,31467,F6FFDEFF0900,-1,-3.4,0.9
15/07/2021 15:05:20.265,193284,BM2V220 @313548,31473,F5FFDFFF0900,-1.1,-3.3,0.9
