Logged started on,15/07/2021 15:02:06
Feature,Magnetometer
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
15/07/2021 15:05:18.405,191439,BM2V220 @313548,31242,0DFFCDFF9DFB,-243,-51,-1123
15/07/2021 15:05:18.465,191484,BM2V220 @313548,31248,12FFD0FF91FB,-238,-48,-1135
15/07/2021 15:05:18.495,191514,BM2V220 @313548,31254,0FFFCAFF9BFB,-241,-54,-1125
15/07/2021 15:05:18.555,191574,BM2V220 @313548,31260,0CFFD2FF9DFB,-244,-46,-1123
15/07/2021 15:05:18.615,191634,BM2V220 @313548,31267,0CFFD2FFA3FB,-244,-46,-1117
15/07/2021 15:05:18.645,191664,BM2V220 @313548,31273,12FFCFFFACFB,-238,-49,-1108
15/07/2021 15:05:18.705,191724,BM2V220 @313548,31279,15FFD6FF91FB,-235,-42,-1135
15/07/2021 15:05:18.765,191784,BM2V220 @313548,31285,16FFD3FF9DFB,-234,-45,-1123
15/07/2021 15:05:18.795,191814,BM2V220 @313548,31292,10FFD2FF9EFB,-240,-46,-1122
15/07/2021 15:05:18.855,191874,BM2V220 @313548,31298,0DFFD3FFA0FB,-243,-45,-1120
15/07/2021 15:05:18.915,191934,BM2V220 @313548,31304,0AFFD2FFA1FB,-246,-46,-1119
15/07/2021 15:05:18.945,191964,BM2V220 @313548,31310,06FFCCFF9EFB,-250,-52,-1122
15/07/2021 15:05:19.005,192024,BM2V220 @313548,31317,13FFD5FFA4FB,-237,-43,-1116
15/07/2021 15:05:19.066,192084,BM2V220 @313548,31323,18FFCCFF9BFB,-232,-52,-1125
15/07/2021 15:05:19.095,192114,BM2V220 @313548,31329,12FFD5FFA6FB,-238,-43,-1114
15/07/2021 15:05:19.155,192174,BM2V220 @313548,31335,16FFD2FF9DFB,-234,-46,-1123
15/07/2021 15:05:19.215,192234,BM2V220 @313548,31342,13FFCCFF9AFB,-237,-52,-1126
15/07/2021 15:05:19.245,192264,BM2V220 @313548,31348,0DFFCCFF9EFB,-243,-52,-1122
15/07/2021 15:05:19.306,192325,BM2V220 @313548,31354,0AFFD2FF9EFB,-246,-46,-1122
15/07/2021 15:05:19.365,192384,BM2V220 @313548,31360,0CFFD9FF9EFB,-244,-39,-1122
15/07/2021 15:05:19.395,192414,BM2V220 @313548,31367,19FFCAFFA1FB,-231,-54,-1119
15/07/2021 15:05:19.485,192504,BM2V220 @313548,31373,13FFD3FF9EFB,-237,-45,-1122
