magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
700,186,-544,1,-2,-8,-6,8,994,13:26:20
700,186,-544,1,-2,-8,-6,8,994,13:26:20
700,186,-544,1,-2,-8,-6,8,994,13:26:20
708,187,-544,2,-2,-8,-6,8,994,13:26:20
694,189,-553,2,0,-8,-7,8,997,13:26:20
694,189,-553,2,0,-9,-7,7,997,13:26:20
717,187,-538,2,0,-9,-7,5,998,13:26:20
720,180,-546,2,-2,-8,-9,8,998,13:26:20
718,184,-520,1,-2,-8,-9,8,998,13:26:20
697,198,-528,1,-2,-8,-7,7,998,13:26:20
697,205,-534,2,-3,-9,-7,7,996,13:26:20
703,202,-546,2,-2,-9,-7,8,997,13:26:20
712,198,-520,2,-2,-9,-7,8,998,13:26:20
699,189,-534,2,-1,-9,-8,7,997,13:26:20
697,181,-534,2,-2,-7,-5,8,998,13:26:20
699,169,-532,2,-2,-8,-3,7,998,13:26:20
690,184,-553,2,0,-8,-5,6,998,13:26:20
708,195,-541,2,0,-9,-8,6,999,13:26:20
688,184,-525,2,-1,-7,-6,8,996,13:26:20
723,177,-549,2,-2,-7,-5,8,996,13:26:20
723,177,-549,2,-2,-8,-7,6,999,13:26:20
703,196,-532,2,-2,-9,-7,7,999,13:26:20
700,190,-523,2,-3,-8,-7,8,999,13:26:20
708,187,-531,2,-2,-9,-7,7,998,13:26:20
700,195,-547,2,-2,-7,-8,8,998,13:26:20
723,186,-520,1,-2,-8,-8,8,998,13:26:20
702,192,-558,2,0,-8,-8,8,998,13:26:20
706,213,-538,2,0,-8,-8,8,998,13:26:20
718,183,-543,2,-1,-9,-9,6,997,13:26:20
708,201,-540,2,-1,-8,-9,5,996,13:26:20
702,208,-544,2,-1,-8,-7,6,999,13:26:20
732,193,-531,2,0,-7,-8,7,999,13:26:20
708,187,-519,2,0,-9,-5,8,996,13:26:20
708,187,-519,1,0,-9,-5,7,996,13:26:20
714,201,-526,2,-1,-8,-6,6,998,13:26:20
709,183,-532,2,-2,-8,-5,7,998,13:26:20
724,190,-540,1,-1,-9,-7,7,996,13:26:20
693,195,-543,1,0,-7,-8,7,998,13:26:20
718,208,-538,2,0,-8,-8,6,999,13:26:20
706,190,-523,2,0,-8,-8,6,999,13:26:20
712,193,-541,1,-1,-8,-8,8,998,13:26:21
676,165,-532,2,0,-8,-8,6,997,13:26:21
709,196,-534,2,0,-9,-7,7,997,13:26:21
711,196,-537,0,-1,-9,-7,7,997,13:26:21
699,192,-544,2,-1,-8,-7,7,999,13:26:21
712,193,-543,2,-2,-8,-8,7,1000,13:26:21
724,201,-529,1,-2,-7,-7,8,999,13:26:21
724,201,-529,2,-1,-7,-7,7,998,13:26:21
706,201,-544,2,-1,-9,-6,7,998,13:26:21
706,189,-546,2,-2,-8,-4,8,999,13:26:21
696,198,-532,2,0,-8,-7,7,998,13:26:21
708,196,-544,2,0,-9,-9,8,996,13:26:21
721,193,-535,2,0,-9,-7,8,998,13:26:21
697,190,-537,2,0,-9,-7,5,999,13:26:21
717,192,-538,2,0,-8,-8,7,997,13:26:21
699,193,-535,1,-2,-9,-8,9,997,13:26:21
739,204,-555,1,-1,-8,-8,7,999,13:26:21
694,189,-547,2,-1,-8,-8,5,1000,13:26:21
715,198,-531,2,-1,-7,-9,9,998,13:26:21
714,181,-540,1,0,-8,-7,10,1000,13:26:21
702,189,-543,2,-2,-7,-6,8,997,13:26:21
717,205,-556,1,0,-9,-6,8,997,13:26:21
