magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
354,28,-607,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-1,-13,-3,7,999,20:57:31
322,24,-597,2,-2,-12,-3,4,1002,20:57:31
348,21,-600,2,0,-14,-3,4,1002,20:57:31
348,21,-600,2,-1,-14,-5,3,1001,20:57:31
342,16,-607,1,-1,-14,-1,7,999,20:57:31
340,18,-586,2,0,-14,-1,6,1000,20:57:31
340,6,-586,2,0,-14,-5,5,1001,20:57:31
367,27,-600,2,-1,-14,-7,5,1000,20:57:31
345,30,-583,1,-2,-14,-6,5,1000,20:57:31
313,33,-589,1,-3,-14,-4,5,999,20:57:31
330,21,-588,2,-2,-14,-4,6,999,20:57:31
358,7,-582,2,0,-14,-6,5,999,20:57:31
358,7,-582,2,-2,-14,-5,5,999,20:57:31
360,18,-606,2,-3,-14,-5,6,1001,20:57:31
352,24,-588,2,-2,-13,-5,5,1000,20:57:31
348,15,-586,2,-2,-13,-3,3,1002,20:57:31
348,33,-604,2,-2,-13,-3,3,1002,20:57:31
354,27,-603,2,-2,-13,-3,4,1000,20:57:32
351,37,-612,2,-2,-14,-2,4,999,20:57:32
336,28,-585,2,-1,-14,-1,4,1001,20:57:32
346,34,-594,2,-2,-14,-4,4,1002,20:57:32
348,18,-595,2,-2,-14,-3,8,1000,20:57:32
351,21,-598,2,-2,-13,-3,8,1000,20:57:32
343,25,-607,2,-2,-13,-3,5,999,20:57:32
337,27,-595,2,-1,-14,-3,5,999,20:57:32
337,27,-595,2,-1,-13,-4,6,999,20:57:32
346,21,-589,2,-2,-14,-3,6,1000,20:57:32
357,24,-588,2,-2,-14,-4,6,999,20:57:32
346,16,-601,2,-2,-13,-6,6,1001,20:57:32
342,28,-586,1,-2,-14,-4,6,1001,20:57:32
340,18,-598,2,-2,-14,-5,7,1001,20:57:32
346,19,-592,2,-2,-14,-6,8,999,20:57:32
316,24,-594,2,-2,-14,-3,5,999,20:57:32
337,9,-582,2,-2,-14,-3,3,1000,20:57:32
345,18,-594,2,-1,-13,-4,5,1000,20:57:32
342,22,-595,1,-2,-14,-5,7,999,20:57:32
342,28,-603,2,-4,-14,-5,8,1000,20:57:32
339,9,-574,2,-2,-14,-4,6,1002,20:57:32
339,9,-574,2,-2,-14,-5,5,1000,20:57:32
328,21,-585,2,-2,-13,-5,6,1000,20:57:32
340,37,-580,2,-2,-14,-5,6,1000,20:57:32
340,37,-580,2,-2,-12,-6,7,1001,20:57:32
339,31,-586,2,-2,-14,-5,6,1001,20:57:32
333,31,-586,2,-2,-13,-5,5,1002,20:57:32
333,31,-586,3,-1,-14,-5,6,1001,20:57:32
337,33,-601,2,-2,-14,-3,5,1000,20:57:32
337,13,-604,2,-2,-14,-2,6,1001,20:57:32
337,31,-588,2,-2,-14,-2,6,1000,20:57:32
336,27,-606,2,-2,-14,-1,5,1000,20:57:32
343,12,-618,2,-2,-14,-3,4,1001,20:57:32
336,19,-588,2,-3,-14,-6,5,1003,20:57:32
345,21,-604,2,-1,-13,-5,4,1001,20:57:32
345,21,-604,2,-2,-14,-4,5,1000,20:57:32
343,10,-600,2,-2,-14,-2,5,1001,20:57:32
346,22,-606,2,-2,-14,-3,6,999,20:57:32
