Logged started on,15/07/2021 13:23:24
Feature,Magnetometer
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
15/07/2021 13:25:35.868,131302,BM2V220 @313548,23677,09FFD9FF9BFB,-247,-39,-1125
15/07/2021 13:25:35.928,131348,BM2V220 @313548,23684,10FFD2FFA1FB,-240,-46,-1119
15/07/2021 13:25:35.958,131378,BM2V220 @313548,23690,01FFD9FF9EFB,-255,-39,-1122
15/07/2021 13:25:36.018,131438,BM2V220 @313548,23696,0FFFD3FF9BFB,-241,-45,-1125
15/07/2021 13:25:36.078,131498,BM2V220 @313548,23702,09FFD5FF95FB,-247,-43,-1131
15/07/2021 13:25:36.108,131528,BM2V220 @313548,23709,0DFFD9FF94FB,-243,-39,-1132
15/07/2021 13:25:36.168,131588,BM2V220 @313548,23715,01FFDBFFA3FB,-255,-37,-1117
15/07/2021 13:25:36.228,131648,BM2V220 @313548,23721,0CFFDCFF9BFB,-244,-36,-1125
15/07/2021 13:25:36.258,131678,BM2V220 @313548,23727,FEFED5FFA3FB,-258,-43,-1117
15/07/2021 13:25:36.318,131738,BM2V220 @313548,23734,01FFD8FF9AFB,-255,-40,-1126
15/07/2021 13:25:36.378,131798,BM2V220 @313548,23740,03FFD8FF9BFB,-253,-40,-1125
15/07/2021 13:25:36.408,131828,BM2V220 @313548,23746,09FFD0FF97FB,-247,-48,-1129
15/07/2021 13:25:36.468,131888,BM2V220 @313548,23752,0FFFD5FF9BFB,-241,-43,-1125
15/07/2021 13:25:36.528,131948,BM2V220 @313548,23759,09FFDBFFAAFB,-247,-37,-1110
15/07/2021 13:25:36.558,131980,BM2V220 @313548,23765,09FFD9FF95FB,-247,-39,-1131
15/07/2021 13:25:36.618,132039,BM2V220 @313548,23771,03FFD2FF9AFB,-253,-46,-1126
15/07/2021 13:25:36.678,132099,BM2V220 @313548,23777,0FFFD0FFA4FB,-241,-48,-1116
