Logged started on,15/07/2021 13:23:24
Feature,Gyroscope
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
15/07/2021 13:27:06.952,222384,BM2V220 @313548,35065,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:07.011,222431,BM2V220 @313548,35071,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:07.072,222491,BM2V220 @313548,35077,F7FFDFFF0900,-0.9,-3.3,0.9
15/07/2021 13:27:07.102,222521,BM2V220 @313548,35084,F7FFDFFF0900,-0.9,-3.3,0.9
15/07/2021 13:27:07.162,222582,BM2V220 @313548,35090,F5FFE0FF0B00,-1.1,-3.2,1.1
15/07/2021 13:27:07.221,222641,BM2V220 @313548,35096,F7FFE0FF0900,-0.9,-3.2,0.9
15/07/2021 13:27:07.252,222671,BM2V220 @313548,35102,F7FFDFFF0900,-0.9,-3.3,0.9
15/07/2021 13:27:07.312,222731,BM2V220 @313548,35109,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:07.372,222791,BM2V220 @313548,35115,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:07.401,222820,BM2V220 @313548,35121,F7FFE0FF0A00,-0.9,-3.2,1
15/07/2021 13:27:07.462,222882,BM2V220 @313548,35127,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:07.521,222940,BM2V220 @313548,35134,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:07.552,222971,BM2V220 @313548,35140,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:07.612,223031,BM2V220 @313548,35146,F6FFE0FF0B00,-1,-3.2,1.1
15/07/2021 13:27:07.701,223120,BM2V220 @313548,35152,F5FFE0FF0A00,-1.1,-3.2,1
15/07/2021 13:27:07.720,223139,BM2V220 @313548,35159,F7FFE0FF0A00,-0.9,-3.2,1
15/07/2021 13:27:07.761,223181,BM2V220 @313548,35165,F6FFE0FF0B00,-1,-3.2,1.1
15/07/2021 13:27:07.821,223241,BM2V220 @313548,35171,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:07.852,223271,BM2V220 @313548,35177,F6FFE0FF0900,-1,-3.2,0.9
15/07/2021 13:27:07.912,223331,BM2V220 @313548,35184,F6FFDFFF0900,-1,-3.3,0.9
15/07/2021 13:27:07.972,223391,BM2V220 @313548,35190,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 13:27:08.002,223421,BM2V220 @313548,35196,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 13:27:08.062,223481,BM2V220 @313548,35202,F6FFE0FF0900,-1,-3.2,0.9
15/07/2021 13:27:08.121,223541,BM2V220 @313548,35209,F6FFE0FF0900,-1,-3.2,0.9
15/07/2021 13:27:08.152,223571,BM2V220 @313548,35215,F7FFE0FF0B00,-0.9,-3.2,1.1
15/07/2021 13:27:08.211,223631,BM2V220 @313548,35221,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 13:27:08.272,223691,BM2V220 @313548,35227,F6FFDFFF0900,-1,-3.3,0.9
15/07/2021 13:27:08.302,223721,BM2V220 @313548,35234,F6FFDFFF0900,-1,-3.3,0.9
15/07/2021 13:27:08.362,223781,BM2V220 @313548,35240,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 13:27:08.421,223841,BM2V220 @313548,35246,F6FFDFFF0900,-1,-3.3,0.9
15/07/2021 13:27:08.452,223872,BM2V220 @313548,35252,F5FFDFFF0A00,-1.1,-3.3,1
15/07/2021 13:27:08.512,223931,BM2V220 @313548,35259,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:08.572,223991,BM2V220 @313548,35265,F7FFDFFF0A00,-0.9,-3.3,1
15/07/2021 13:27:08.601,224021,BM2V220 @313548,35271,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:08.662,224081,BM2V220 @313548,35277,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:08.722,224141,BM2V220 @313548,35284,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:08.752,224171,BM2V220 @313548,35290,F7FFE0FF0A00,-0.9,-3.2,1
15/07/2021 13:27:08.812,224231,BM2V220 @313548,35296,F6FFE0FF0A00,-1,-3.2,1
15/07/2021 13:27:08.872,224292,BM2V220 @313548,35302,F6FFE0FF0900,-1,-3.2,0.9
15/07/2021 13:27:08.902,224321,BM2V220 @313548,35309,F6FFE0FF0B00,-1,-3.2,1.1
15/07/2021 13:27:08.962,224381,BM2V220 @313548,35315,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 13:27:09.022,224441,BM2V220 @313548,35321,F6FFDFFF0A00,-1,-3.3,1
15/07/2021 13:27:09.052,224471,BM2V220 @313548,35327,F6FFE0FF0900,-1,-3.2,0.9
15/07/2021 13:27:09.112,224532,BM2V220 @313548,35334,F6FFE5FF0B00,-1,-2.7,1.1
15/07/2021 13:27:09.171,224591,BM2V220 @313548,35340,F7FFE2FF0D00,-0.9,-3,1.3
15/07/2021 13:27:09.202,224621,BM2V220 @313548,35346,F6FFE2FF0900,-1,-3,0.9
15/07/2021 13:27:09.262,224681,BM2V220 @313548,35352,F9FFEBFF0700,-0.7,-2.1,0.7
15/07/2021 13:27:09.321,224741,BM2V220 @313548,35359,F9FFF0FF0900,-0.7,-1.6,0.9
15/07/2021 13:27:09.352,224771,BM2V220 @313548,35365,F6FFEBFF0900,-1,-2.1,0.9
