magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
331,30,-615,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
327,22,-619,2,0,-9,-6,-40,998,21:29:39
