magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
370,-172,-138,-6,0,-2,89,-973,120,1:15:56
655,-180,-384,8,-13,-9,66,-980,52,1:24:29
685,-178,-399,8,-11,-7,63,-979,50,1:24:29
670,-189,-409,7,-11,-7,66,-980,53,1:24:29
670,-189,-409,7,-11,-7,70,-979,55,1:24:29
682,-168,-390,4,-5,-9,71,-979,55,1:24:29
679,-157,-387,3,1,-10,70,-980,57,1:24:29
666,-150,-382,3,2,-10,72,-978,57,1:24:29
670,-183,-378,2,-2,-9,76,-975,54,1:24:29
679,-162,-378,0,-7,-8,74,-979,54,1:24:29
679,-162,-378,-1,-7,-7,73,-983,56,1:24:29
669,-174,-382,-2,-7,-7,72,-985,60,1:24:29
664,-184,-406,-2,-7,-7,68,-986,58,1:24:29
685,-166,-387,-4,-6,-8,64,-984,57,1:24:29
669,-168,-391,-3,-3,-11,60,-984,59,1:24:29
693,-162,-385,-3,0,-13,62,-983,61,1:24:29
693,-162,-385,0,-2,-12,64,-980,60,1:24:29
691,-177,-384,0,-10,-11,66,-977,57,1:24:29
679,-178,-399,2,-18,-9,65,-977,54,1:24:29
693,-178,-393,2,-17,-9,65,-980,53,1:24:29
685,-178,-390,4,-14,-9,65,-980,53,1:24:29
654,-183,-370,6,-21,-7,68,-982,57,1:24:29
654,-183,-370,5,-22,-6,69,-984,57,1:24:29
649,-160,-397,4,-17,-7,68,-982,54,1:24:29
682,-175,-399,4,-16,-8,68,-979,55,1:24:29
676,-159,-391,4,-16,-8,68,-977,58,1:24:29
678,-171,-393,5,-16,-8,68,-979,59,1:24:29
672,-162,-384,6,-14,-9,68,-980,58,1:24:29
672,-162,-384,7,-8,-9,71,-980,58,1:24:29
675,-183,-379,8,-9,-9,75,-980,59,1:24:29
684,-166,-384,4,-9,-9,75,-977,61,1:24:29
667,-172,-381,2,-7,-8,75,-976,60,1:24:29
679,-178,-394,2,-8,-7,78,-978,59,1:24:29
673,-169,-381,2,-6,-7,77,-981,56,1:24:29
673,-169,-381,1,-4,-7,76,-983,56,1:24:29
687,-178,-382,0,-9,-5,76,-986,57,1:24:29
675,-180,-393,2,0,-7,77,-986,58,1:24:29
675,-165,-403,3,2,-7,75,-982,60,1:24:29
672,-184,-393,0,0,-7,72,-978,59,1:24:29
658,-166,-393,0,-2,-7,71,-976,56,1:24:29
658,-166,-393,0,0,-7,71,-976,56,1:24:29
679,-163,-390,0,2,-8,73,-975,54,1:24:29
646,-171,-379,0,6,-8,71,-978,54,1:24:29
646,-171,-379,3,6,-7,69,-983,57,1:24:29
684,-193,-379,3,6,-7,69,-985,54,1:24:29
676,-178,-393,6,4,-6,70,-986,50,1:24:29
687,-178,-372,7,-2,-7,71,-984,50,1:24:29
687,-178,-372,5,-8,-7,70,-980,49,1:24:29
672,-171,-397,6,-6,-9,68,-979,48,1:24:30
667,-190,-384,9,-5,-10,70,-978,49,1:24:30
667,-178,-390,5,-6,-10,70,-979,51,1:24:30
666,-180,-384,7,-4,-9,71,-981,53,1:24:30
675,-166,-378,11,-4,-9,72,-983,54,1:24:30
675,-166,-378,11,-3,-7,74,-980,53,1:24:30
672,-153,-393,10,-4,-7,75,-978,53,1:24:30
663,-166,-387,7,-7,-8,74,-978,52,1:24:30
670,-178,-369,3,-18,-7,74,-980,52,1:24:30
669,-159,-411,2,-15,-7,72,-984,49,1:24:30
657,-172,-400,1,-11,-7,72,-984,49,1:24:30
676,-175,-385,0,-11,-8,68,-983,46,1:24:30
676,-175,-385,-1,-6,-9,68,-982,50,1:24:30
678,-172,-385,-4,-7,-10,70,-982,55,1:24:30
664,-177,-397,-4,-11,-9,73,-982,58,1:24:30
661,-171,-396,-4,-16,-7,78,-982,61,1:24:30
676,-163,-405,-4,-16,-7,81,-985,61,1:24:30
675,-174,-399,-4,-18,-6,77,-985,55,1:24:30
672,-177,-388,-3,-17,-5,73,-981,53,1:24:30
672,-177,-388,-3,-15,-7,74,-978,52,1:24:30
664,-175,-391,0,-7,-8,75,-980,50,1:24:30
685,-177,-396,2,-1,-9,74,-977,54,1:24:30
657,-172,-385,4,2,-10,75,-975,56,1:24:30
688,-163,-387,1,9,-10,77,-977,60,1:24:30
672,-183,-394,2,4,-8,77,-980,62,1:24:30
672,-183,-394,3,-9,-4,77,-980,57,1:24:30
672,-172,-399,2,-16,-5,74,-980,51,1:24:30
673,-162,-390,2,-17,-5,71,-984,49,1:24:30
679,-174,-411,3,-13,-7,70,-983,50,1:24:30
664,-181,-376,5,-4,-9,70,-980,50,1:24:30
664,-181,-376,2,-2,-9,70,-980,50,1:24:30
669,-178,-412,0,-2,-9,69,-980,52,1:24:30
669,-178,-412,0,-2,-8,70,-980,55,1:24:30
675,-181,-388,1,-2,-7,73,-980,57,1:24:30
664,-145,-381,1,-8,-5,75,-980,57,1:24:30
672,-187,-408,2,-9,-4,73,-980,53,1:24:30
684,-169,-372,2,-9,-4,69,-979,49,1:24:30
669,-181,-394,5,-4,-5,69,-980,49,1:24:30
670,-159,-402,5,-4,-7,75,-979,49,1:24:30
670,-159,-402,4,-4,-8,76,-979,49,1:24:30
669,-166,-396,3,-1,-10,74,-982,50,1:24:30
664,-175,-400,3,0,-10,75,-983,51,1:24:30
660,-180,-406,4,0,-9,76,-984,50,1:24:30
679,-175,-376,7,0,-9,73,-982,48,1:24:30
678,-196,-390,8,0,-9,73,-980,48,1:24:30
678,-196,-390,5,0,-9,73,-980,49,1:24:30
663,-174,-394,3,0,-9,70,-979,52,1:24:30
684,-168,-405,4,2,-9,70,-978,54,1:24:30
670,-186,-399,4,5,-8,71,-979,52,1:24:30
675,-192,-393,2,8,-9,71,-980,50,1:24:30
687,-174,-390,4,9,-8,73,-978,50,1:24:30
687,-174,-390,4,4,-7,73,-978,50,1:24:30
676,-180,-369,2,2,-7,77,-979,51,1:24:30
667,-166,-388,2,1,-7,76,-982,49,1:24:30
669,-154,-402,2,4,-9,74,-983,46,1:24:30
676,-177,-381,2,6,-10,72,-982,49,1:24:30
679,-192,-400,2,6,-10,68,-981,51,1:24:30
679,-192,-400,3,1,-11,66,-981,50,1:24:30
658,-186,-370,4,0,-11,66,-980,50,1:24:30
658,-186,-370,5,7,-11,68,-978,54,1:24:30
666,-165,-408,7,5,-11,70,-977,54,1:24:30
675,-150,-396,9,2,-9,71,-977,51,1:24:30
670,-178,-378,11,-1,-7,72,-978,47,1:24:30
670,-178,-378,12,0,-7,74,-981,46,1:24:30
681,-175,-382,14,3,-8,75,-982,48,1:24:30
670,-180,-393,15,6,-8,72,-982,50,1:24:30
690,-172,-400,18,14,-9,71,-981,50,1:24:30
672,-175,-388,23,16,-9,72,-981,53,1:24:30
670,-183,-394,22,12,-9,74,-980,51,1:24:30
670,-183,-394,22,9,-9,75,-980,42,1:24:30
687,-177,-406,25,11,-9,75,-979,40,1:24:30
687,-201,-385,27,18,-8,75,-979,40,1:24:30
669,-195,-385,28,16,-8,75,-978,46,1:24:30
678,-163,-376,30,13,-8,76,-977,45,1:24:30
673,-168,-388,30,13,-8,77,-979,41,1:24:30
673,-168,-388,30,10,-8,74,-981,37,1:24:30
687,-169,-384,31,11,-7,65,-981,39,1:24:30
697,-181,-381,31,13,-8,61,-980,42,1:24:30
681,-168,-387,31,16,-9,61,-979,43,1:24:30
657,-172,-390,29,18,-11,62,-982,46,1:24:30
684,-154,-393,25,6,-10,65,-983,46,1:24:30
670,-174,-384,21,-9,-7,70,-986,42,1:24:30
670,-174,-384,18,-16,-6,71,-987,44,1:24:30
681,-184,-390,15,-16,-7,68,-987,46,1:24:30
660,-168,-388,10,-14,-9,64,-987,45,1:24:30
681,-166,-381,7,-9,-12,62,-985,44,1:24:30
661,-175,-366,3,0,-14,64,-984,45,1:24:30
679,-172,-378,1,2,-14,72,-983,46,1:24:30
685,-160,-390,0,-7,-11,78,-982,44,1:24:30
685,-160,-390,0,-16,-11,77,-974,40,1:24:30
684,-166,-390,-1,-13,-11,77,-974,40,1:24:30
672,-177,-375,0,-2,-12,74,-970,41,1:24:30
699,-172,-382,0,0,-14,74,-971,45,1:24:30
684,-159,-393,0,4,-14,75,-973,47,1:24:30
661,-181,-381,2,2,-14,77,-977,46,1:24:30
676,-174,-375,2,2,-14,78,-981,48,1:24:30
676,-174,-375,5,-7,-13,76,-983,48,1:24:30
667,-169,-372,7,-4,-16,72,-982,45,1:24:30
675,-175,-385,7,0,-16,71,-984,49,1:24:30
667,-166,-376,10,2,-17,71,-985,56,1:24:30
660,-184,-370,8,-4,-16,72,-984,58,1:24:30
685,-190,-397,8,-2,-16,73,-981,56,1:24:30
684,-162,-370,11,-4,-15,73,-978,55,1:24:30
684,-162,-370,14,-9,-14,72,-976,52,1:24:30
682,-190,-394,16,-9,-12,73,-976,53,1:24:30
663,-174,-400,17,-8,-12,74,-976,53,1:24:30
658,-178,-397,18,-4,-12,75,-976,52,1:24:30
667,-171,-397,15,-9,-12,75,-976,52,1:24:30
648,-169,-372,14,0,-14,77,-980,50,1:24:31
648,-169,-372,13,2,-13,77,-980,50,1:24:31
676,-175,-390,9,-3,-11,79,-983,53,1:24:31
657,-168,-397,7,-4,-12,76,-983,55,1:24:31
666,-183,-388,4,-4,-11,74,-983,53,1:24:31
667,-186,-388,4,-4,-11,70,-985,53,1:24:31
667,-186,-388,4,-4,-11,69,-984,56,1:24:31
