magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
595,-196,-447,-11,-11,-7,143,-983,-1,2:23:13
595,-196,-447,-11,-11,-7,143,-983,-1,2:23:13
595,-196,-447,-11,-11,-7,143,-983,-1,2:23:13
595,-196,-447,-11,-11,-7,143,-983,-1,2:23:13
595,-196,-447,-6,-5,-9,142,-975,-10,2:23:13
568,-195,-438,-7,-2,-9,141,-975,-10,2:23:13
580,-211,-439,-6,-1,-9,136,-977,-9,2:23:13
582,-201,-445,-5,-4,-7,132,-972,-8,2:23:13
574,-205,-451,-6,-5,-7,134,-972,-7,2:23:13
586,-202,-450,-7,-7,-7,136,-974,-5,2:23:13
597,-204,-453,-8,-8,-5,135,-978,-5,2:23:13
571,-186,-435,-11,-10,-7,132,-980,-8,2:23:13
576,-195,-454,-12,-11,-9,132,-979,-7,2:23:13
573,-216,-447,-14,-18,-9,132,-974,-7,2:23:13
573,-201,-438,-14,-22,-9,131,-970,-11,2:23:13
574,-190,-444,-14,-22,-9,129,-972,-13,2:23:13
582,-193,-456,-10,-20,-7,133,-974,-11,2:23:13
580,-199,-427,-6,-13,-7,138,-975,-6,2:23:13
580,-199,-427,-5,-11,-5,141,-974,-4,2:23:13
556,-210,-436,-6,-15,-4,144,-972,-4,2:23:13
589,-183,-435,-8,-16,-4,145,-972,-6,2:23:13
570,-210,-442,-8,-14,-4,141,-974,-8,2:23:13
580,-193,-459,-8,-10,-4,138,-976,-5,2:23:13
573,-198,-439,-11,-11,-4,135,-976,-4,2:23:13
601,-204,-456,-14,-15,-7,132,-975,-5,2:23:13
601,-204,-456,-18,-20,-8,134,-976,-4,2:23:13
580,-204,-424,-19,-19,-9,135,-982,-2,2:23:13
577,-204,-441,-18,-19,-9,135,-986,0,2:23:13
570,-219,-459,-16,-21,-7,135,-985,0,2:23:13
586,-211,-466,-14,-23,-7,136,-982,-1,2:23:13
582,-187,-436,-11,-24,-6,136,-982,-1,2:23:13
562,-189,-444,-11,-25,-5,141,-978,-1,2:23:14
562,-189,-444,-13,-23,-4,145,-976,-2,2:23:14
577,-207,-435,-16,-24,-3,147,-974,-2,2:23:14
580,-199,-433,-16,-24,-2,149,-971,-2,2:23:14
583,-192,-436,-16,-24,-2,148,-969,-1,2:23:14
589,-190,-451,-15,-19,-2,147,-974,2,2:23:14
589,-199,-450,-12,-14,-4,143,-976,4,2:23:14
597,-196,-447,-14,-18,-4,141,-975,3,2:23:14
597,-196,-447,-18,-7,-7,143,-973,0,2:23:14
583,-202,-457,-18,-15,-7,143,-973,-2,2:23:14
