magX[mG],magY[mG],magZ[mG],gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
0,6,-558,3,-1,-6,-13,15,999,0:42:46
330,6,-558,3,-1,-6,-13,15,999,0:42:46
768,238,-537,2,-2,-5,-10,14,999,0:48:49
768,238,-537,2,-2,-5,-10,14,999,0:48:49
768,238,-537,2,-2,-5,-10,14,999,0:48:49
768,238,-537,2,-2,-5,-10,14,999,0:48:49
768,238,-537,2,-2,-6,-10,16,998,0:48:49
771,235,-541,2,-1,-6,-10,13,997,0:48:49
787,235,-553,2,-1,-6,-10,12,998,0:48:49
781,258,-540,3,-2,-6,-12,11,999,0:48:49
774,243,-549,3,-2,-6,-10,10,1001,0:48:49
781,240,-552,2,-2,-6,-7,12,1000,0:48:49
796,259,-537,2,-2,-6,-10,14,999,0:48:49
766,235,-549,2,-3,-5,-12,13,998,0:48:49
781,261,-544,2,-4,-6,-11,15,997,0:48:49
768,252,-544,2,-2,-7,-9,17,996,0:48:49
790,249,-538,3,-2,-6,-9,16,996,0:48:49
766,234,-553,3,0,-6,-9,15,997,0:48:49
768,237,-534,3,0,-6,-12,16,999,0:48:49
789,243,-580,3,-2,-5,-11,16,1000,0:48:49
789,243,-580,3,0,-6,-9,15,999,0:48:49
762,240,-532,2,0,-7,-11,13,999,0:48:49
762,240,-532,2,-1,-5,-11,11,998,0:48:49
777,259,-546,2,0,-6,-10,11,994,0:48:49
780,249,-549,3,0,-5,-10,14,997,0:48:49
772,241,-555,2,-3,-5,-11,15,998,0:48:49
772,241,-555,2,-1,-7,-11,14,997,0:48:49
774,235,-541,2,-1,-6,-10,15,1000,0:48:49
786,265,-553,1,-8,-4,-8,14,999,0:48:49
762,246,-544,1,-4,-4,-7,13,1000,0:48:49
783,238,-546,3,0,-6,-9,13,1001,0:48:49
772,226,-547,3,0,-6,-11,13,999,0:48:49
784,235,-547,3,-1,-6,-11,14,996,0:48:49
784,235,-547,2,-2,-5,-11,14,996,0:48:49
781,234,-559,2,-2,-7,-11,15,998,0:48:49
745,249,-538,3,1,-7,-8,13,1000,0:48:49
789,246,-550,2,-2,-5,-9,12,998,0:48:49
769,232,-549,2,-3,-5,-10,14,997,0:48:49
784,246,-538,2,-3,-5,-10,15,998,0:48:49
786,237,-556,3,0,-6,-9,14,1000,0:48:49
786,237,-556,4,0,-7,-8,12,999,0:48:49
786,250,-561,3,-1,-7,-10,11,998,0:48:49
760,252,-550,2,0,-6,-11,13,999,0:48:49
760,252,-550,2,0,-6,-11,14,1000,0:48:49
777,249,-558,2,-2,-6,-10,14,998,0:48:49
775,252,-534,2,-2,-5,-8,14,999,0:48:49
781,244,-561,2,-2,-6,-9,15,998,0:48:49
781,244,-561,2,-2,-4,-11,14,997,0:48:49
795,249,-538,3,-2,-5,-11,11,999,0:48:49
765,252,-535,2,-4,-6,-10,12,1001,0:48:49
783,235,-556,2,-2,-6,-11,13,1000,0:48:49
786,234,-546,2,0,-5,-11,13,998,0:48:49
783,223,-541,3,-1,-6,-11,13,998,0:48:49
783,223,-541,2,-2,-5,-11,13,999,0:48:49
795,253,-555,3,-1,-5,-9,12,1001,0:48:49
780,222,-549,3,0,-6,-7,12,1001,0:48:49
760,229,-529,4,-2,-6,-8,15,1001,0:48:49
760,229,-529,4,-2,-6,-10,15,999,0:48:49
792,249,-567,3,-1,-7,-11,15,998,0:48:49
757,258,-558,3,-1,-7,-11,14,999,0:48:49
757,258,-558,2,-1,-5,-10,12,1001,0:48:49
765,244,-540,2,-2,-5,-10,12,1000,0:48:49
783,250,-549,2,-2,-6,-12,13,1001,0:48:49
775,238,-526,0,-17,-3,-11,14,1000,0:48:49
790,244,-543,2,-7,-5,-11,15,999,0:48:49
774,250,-529,1,-2,-7,-11,14,999,0:48:49
762,237,-558,2,-2,-7,-10,14,999,0:48:49
762,237,-558,2,-3,-6,-9,15,999,0:48:50
784,232,-559,2,-3,-6,-9,14,1000,0:48:50
778,237,-538,2,-1,-5,-10,12,1000,0:48:50
778,244,-535,2,10,-7,-10,13,1000,0:48:50
778,244,-535,1,2,-6,-10,15,999,0:48:50
769,243,-561,2,-2,-6,-10,15,999,0:48:50
772,231,-552,3,-2,-6,-10,14,998,0:48:50
772,231,-552,2,-2,-5,-12,13,998,0:48:50
793,247,-537,3,0,-6,-10,14,998,0:48:50
772,240,-541,3,-2,-7,-7,15,998,0:48:50
769,249,-544,3,-2,-7,-8,14,998,0:48:50
771,249,-543,4,-2,-7,-10,12,998,0:48:50
766,247,-544,2,-2,-6,-10,13,999,0:48:50
777,240,-544,2,-2,-6,-10,16,999,0:48:50
777,240,-544,2,-2,-6,-9,15,998,0:48:50
777,241,-549,3,0,-6,-10,14,998,0:48:50
756,223,-550,2,0,-6,-10,13,998,0:48:50
763,252,-544,3,-6,-5,-9,14,998,0:48:50
775,249,-535,3,-4,-5,-9,15,999,0:48:50
772,250,-544,3,0,-5,-8,12,1000,0:48:50
777,237,-546,3,0,-6,-10,12,998,0:48:50
777,237,-546,2,0,-6,-12,13,998,0:48:50
774,255,-567,2,-2,-6,-10,12,998,0:48:50
783,246,-534,2,-2,-6,-9,14,998,0:48:50
763,252,-556,2,2,-6,-11,13,998,0:48:50
772,261,-522,3,1,-7,-11,13,998,0:48:50
774,241,-556,3,0,-7,-10,11,998,0:48:50
792,229,-528,2,0,-7,-10,11,999,0:48:50
792,229,-528,3,-3,-6,-12,14,999,0:48:50
783,253,-549,3,-4,-6,-11,15,1000,0:48:50
778,244,-543,3,-4,-6,-9,16,1001,0:48:50
763,246,-514,2,-1,-6,-10,15,999,0:48:50
775,258,-549,2,-1,-6,-12,12,998,0:48:50
787,246,-553,2,-1,-6,-12,13,998,0:48:50
765,265,-543,2,-2,-6,-11,14,999,0:48:50
765,265,-543,2,-3,-7,-11,15,998,0:48:50
798,252,-552,2,-2,-7,-11,14,999,0:48:50
774,241,-532,2,0,-5,-11,13,1001,0:48:50
775,240,-541,4,2,-6,-11,11,1000,0:48:50
786,246,-537,3,0,-7,-9,11,999,0:48:50
790,240,-555,2,-1,-7,-10,12,1001,0:48:50
777,231,-556,2,-1,-7,-11,12,1000,0:48:50
777,231,-556,3,-2,-7,-10,14,1000,0:48:50
772,232,-540,2,-3,-6,-11,16,999,0:48:50
769,232,-550,2,-2,-6,-12,15,998,0:48:50
775,235,-549,3,2,-6,-12,15,998,0:48:50
777,256,-565,2,0,-7,-11,11,999,0:48:50
762,258,-547,2,0,-6,-11,11,1001,0:48:50
784,256,-553,2,0,-6,-12,13,1001,0:48:50
784,256,-553,2,-1,-5,-11,14,1001,0:48:50
772,226,-559,2,-2,-6,-9,15,1001,0:48:50
796,250,-559,2,-1,-6,-8,13,999,0:48:50
786,229,-555,2,-2,-5,-9,13,997,0:48:50
775,264,-540,3,-2,-6,-11,15,999,0:48:50
771,246,-535,3,-1,-5,-11,15,1000,0:48:50
780,238,-534,2,0,-6,-10,13,1000,0:48:50
780,238,-534,2,-2,-6,-8,14,1002,0:48:50
