Logged started on,15/07/2021 15:02:06
Feature,Magnetometer
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
15/07/2021 15:03:53.422,106460,BM2V220 @313548,20617,13FFD0FF9AFB,-237,-48,-1126
15/07/2021 15:03:53.479,106497,BM2V220 @313548,20623,15FFCCFF9BFB,-235,-52,-1125
15/07/2021 15:03:53.508,106527,BM2V220 @313548,20629,15FFCDFFA4FB,-235,-51,-1116
15/07/2021 15:03:53.568,106587,BM2V220 @313548,20635,15FFCFFFA1FB,-235,-49,-1119
15/07/2021 15:03:53.629,106647,BM2V220 @313548,20642,12FFCCFF9DFB,-238,-52,-1123
15/07/2021 15:03:53.659,106677,BM2V220 @313548,20648,1FFFCFFFA4FB,-225,-49,-1116
15/07/2021 15:03:53.718,106737,BM2V220 @313548,20654,1CFFD0FF9EFB,-228,-48,-1122
15/07/2021 15:03:53.778,106797,BM2V220 @313548,20660,1FFFCCFF9DFB,-225,-52,-1123
15/07/2021 15:03:53.808,106827,BM2V220 @313548,20667,18FFD6FF9BFB,-232,-42,-1125
15/07/2021 15:03:53.868,106886,BM2V220 @313548,20673,19FFD0FF9BFB,-231,-48,-1125
15/07/2021 15:03:53.928,106947,BM2V220 @313548,20679,0FFFD2FF9DFB,-241,-46,-1123
15/07/2021 15:03:53.958,106977,BM2V220 @313548,20685,1CFFC9FF9AFB,-228,-55,-1126
15/07/2021 15:03:54.019,107037,BM2V220 @313548,20692,18FFCDFF8FFB,-232,-51,-1137
15/07/2021 15:03:54.079,107097,BM2V220 @313548,20698,13FFCCFF8FFB,-237,-52,-1137
15/07/2021 15:03:54.108,107126,BM2V220 @313548,20704,15FFCFFF97FB,-235,-49,-1129
15/07/2021 15:03:54.168,107186,BM2V220 @313548,20710,1FFFCDFF97FB,-225,-51,-1129
15/07/2021 15:03:54.228,107247,BM2V220 @313548,20717,1BFFD2FF9DFB,-229,-46,-1123
15/07/2021 15:03:54.259,107277,BM2V220 @313548,20723,13FFCCFF9DFB,-237,-52,-1123
15/07/2021 15:03:54.318,107337,BM2V220 @313548,20729,15FFC7FFA1FB,-235,-57,-1119
15/07/2021 15:03:54.379,107398,BM2V220 @313548,20735,19FFD0FF9EFB,-231,-48,-1122
15/07/2021 15:03:54.408,107427,BM2V220 @313548,20742,1EFFCFFFA3FB,-226,-49,-1117
15/07/2021 15:03:54.469,107487,BM2V220 @313548,20748,16FFCAFF9BFB,-234,-54,-1125
15/07/2021 15:03:54.529,107547,BM2V220 @313548,20754,10FFD0FF9DFB,-240,-48,-1123
15/07/2021 15:03:54.559,107577,BM2V220 @313548,20760,16FFD2FF9AFB,-234,-46,-1126
15/07/2021 15:03:54.619,107637,BM2V220 @313548,20767,16FFD3FF9BFB,-234,-45,-1125
15/07/2021 15:03:54.679,107697,BM2V220 @313548,20773,1CFFCCFF9AFB,-228,-52,-1126
15/07/2021 15:03:54.708,107727,BM2V220 @313548,20779,15FFCAFF9BFB,-235,-54,-1125
15/07/2021 15:03:54.768,107787,BM2V220 @313548,20785,15FFCFFF9EFB,-235,-49,-1122
15/07/2021 15:03:54.829,107847,BM2V220 @313548,20792,12FFC1FFA3FB,-238,-63,-1117
15/07/2021 15:03:54.858,107876,BM2V220 @313548,20798,13FFD3FF92FB,-237,-45,-1134
15/07/2021 15:03:54.919,107937,BM2V220 @313548,20804,10FFC9FF9BFB,-240,-55,-1125
15/07/2021 15:03:54.979,107997,BM2V220 @313548,20810,1BFFC7FFA4FB,-229,-57,-1116
15/07/2021 15:03:55.008,108026,BM2V220 @313548,20817,1BFFD0FF9BFB,-229,-48,-1125
15/07/2021 15:03:55.069,108087,BM2V220 @313548,20823,13FFC4FFA0FB,-237,-60,-1120
15/07/2021 15:03:55.129,108148,BM2V220 @313548,20829,10FFCFFFA3FB,-240,-49,-1117
15/07/2021 15:03:55.158,108176,BM2V220 @313548,20835,16FFD2FFAAFB,-234,-46,-1110
15/07/2021 15:03:55.219,108237,BM2V220 @313548,20842,0AFFCAFFA4FB,-246,-54,-1116
15/07/2021 15:03:55.279,108298,BM2V220 @313548,20848,0AFFC7FFA4FB,-246,-57,-1116
15/07/2021 15:03:55.308,108327,BM2V220 @313548,20854,0DFFD5FFA1FB,-243,-43,-1119
15/07/2021 15:03:55.369,108387,BM2V220 @313548,20860,07FFD0FFA6FB,-249,-48,-1114
15/07/2021 15:03:55.429,108448,BM2V220 @313548,20867,0FFFD8FF9EFB,-241,-40,-1122
15/07/2021 15:03:55.459,108477,BM2V220 @313548,20873,FEFEDCFFA1FB,-258,-36,-1119
15/07/2021 15:03:55.519,108537,BM2V220 @313548,20879,07FFD3FFA3FB,-249,-45,-1117
15/07/2021 15:03:55.579,108597,BM2V220 @313548,20885,00FFD3FF9DFB,-256,-45,-1123
15/07/2021 15:03:55.639,108658,BM2V220 @313548,20892,03FFD3FFA1FB,-253,-45,-1119
15/07/2021 15:03:55.669,108687,BM2V220 @313548,20898,04FFDBFF98FB,-252,-37,-1128
15/07/2021 15:03:55.729,108747,BM2V220 @313548,20904,03FFD5FFA4FB,-253,-43,-1116
15/07/2021 15:03:55.758,108777,BM2V220 @313548,20910,09FFD9FFA6FB,-247,-39,-1114
15/07/2021 15:03:55.819,108838,BM2V220 @313548,20917,0CFFD8FFA1FB,-244,-40,-1119
15/07/2021 15:03:55.878,108897,BM2V220 @313548,20923,0AFFD6FFA6FB,-246,-42,-1114
15/07/2021 15:03:55.908,108926,BM2V220 @313548,20929,06FFDCFFADFB,-250,-36,-1107
15/07/2021 15:03:55.968,108987,BM2V220 @313548,20935,0DFFD8FFAAFB,-243,-40,-1110
15/07/2021 15:03:56.029,109048,BM2V220 @313548,20942,09FFE8FFA3FB,-247,-24,-1117
15/07/2021 15:03:56.058,109076,BM2V220 @313548,20948,12FFE7FFA3FB,-238,-25,-1117
15/07/2021 15:03:56.118,109137,BM2V220 @313548,20954,09FFEAFFA9FB,-247,-22,-1111
15/07/2021 15:03:56.178,109197,BM2V220 @313548,20960,16FFEDFFA4FB,-234,-19,-1116
15/07/2021 15:03:56.208,109227,BM2V220 @313548,20967,13FFEEFFA1FB,-237,-18,-1119
15/07/2021 15:03:56.268,109287,BM2V220 @313548,20973,19FFEAFFA4FB,-231,-22,-1116
15/07/2021 15:03:56.328,109347,BM2V220 @313548,20979,1BFFE5FFA0FB,-229,-27,-1120
15/07/2021 15:03:56.358,109377,BM2V220 @313548,20985,18FFDEFFA3FB,-232,-34,-1117
15/07/2021 15:03:56.418,109437,BM2V220 @313548,20992,1CFFDEFF9EFB,-228,-34,-1122
15/07/2021 15:03:56.479,109498,BM2V220 @313548,20998,1BFFDCFFA0FB,-229,-36,-1120
15/07/2021 15:03:56.508,109526,BM2V220 @313548,21004,21FFD6FF9DFB,-223,-42,-1123
15/07/2021 15:03:56.599,109618,BM2V220 @313548,21010,27FFDFFFAAFB,-217,-33,-1110
15/07/2021 15:03:56.628,109647,BM2V220 @313548,21017,1BFFDEFFA4FB,-229,-34,-1116
15/07/2021 15:03:56.658,109676,BM2V220 @313548,21023,12FFD8FF9DFB,-238,-40,-1123
15/07/2021 15:03:56.718,109737,BM2V220 @313548,21029,1EFFDBFFA4FB,-226,-37,-1116
15/07/2021 15:03:56.778,109797,BM2V220 @313548,21035,1FFFDBFF9DFB,-225,-37,-1123
15/07/2021 15:03:56.808,109826,BM2V220 @313548,21042,1BFFD6FF9DFB,-229,-42,-1123
15/07/2021 15:03:56.868,109887,BM2V220 @313548,21048,28FFDCFFA3FB,-216,-36,-1117
15/07/2021 15:03:56.928,109947,BM2V220 @313548,21054,28FFD9FF9BFB,-216,-39,-1125
15/07/2021 15:03:56.958,109977,BM2V220 @313548,21060,1CFFD8FFACFB,-228,-40,-1108
15/07/2021 15:03:57.018,110037,BM2V220 @313548,21067,16FFDEFFA4FB,-234,-34,-1116
15/07/2021 15:03:57.079,110098,BM2V220 @313548,21073,21FFDEFFA4FB,-223,-34,-1116
15/07/2021 15:03:57.108,110127,BM2V220 @313548,21079,21FFD8FFA9FB,-223,-40,-1111
15/07/2021 15:03:57.168,110187,BM2V220 @313548,21085,21FFDCFFACFB,-223,-36,-1108
15/07/2021 15:03:57.228,110247,BM2V220 @313548,21092,21FFD8FF9EFB,-223,-40,-1122
15/07/2021 15:03:57.258,110276,BM2V220 @313548,21098,1CFFDCFF9AFB,-228,-36,-1126
15/07/2021 15:03:57.318,110340,BM2V220 @313548,21104,1FFFDEFFA4FB,-225,-34,-1116
15/07/2021 15:03:57.378,110397,BM2V220 @313548,21110,22FFD9FFA1FB,-222,-39,-1119
15/07/2021 15:03:57.407,110426,BM2V220 @313548,21117,24FFDBFF97FB,-220,-37,-1129
15/07/2021 15:03:57.468,110486,BM2V220 @313548,21123,1EFFE4FFAAFB,-226,-28,-1110
15/07/2021 15:03:57.528,110548,BM2V220 @313548,21129,21FFD8FF9BFB,-223,-40,-1125
15/07/2021 15:03:57.558,110576,BM2V220 @313548,21135,1CFFDCFFAAFB,-228,-36,-1110
15/07/2021 15:03:57.618,110637,BM2V220 @313548,21142,1BFFE1FFA4FB,-229,-31,-1116
15/07/2021 15:03:57.678,110697,BM2V220 @313548,21148,21FFE1FF9BFB,-223,-31,-1125
15/07/2021 15:03:57.708,110726,BM2V220 @313548,21154,22FFDEFF9EFB,-222,-34,-1122
15/07/2021 15:03:57.768,110786,BM2V220 @313548,21160,1BFFDEFFADFB,-229,-34,-1107
