Logged started on,19/07/2021 15:20:03
Feature,Accelerometer
Nodes,BM2V220 @313548

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
19/07/2021 15:23:06.229,182483,BM2V220 @313548,27571,F6FFDBFF0D04,-10,-37,1037
19/07/2021 15:23:06.289,182537,BM2V220 @313548,27577,F9FFD7FF0F04,-7,-41,1039
19/07/2021 15:23:06.349,182597,BM2V220 @313548,27583,F7FFDBFF0D04,-9,-37,1037
19/07/2021 15:23:06.378,182627,BM2V220 @313548,27589,F8FFD8FF0D04,-8,-40,1037
19/07/2021 15:23:06.439,182687,BM2V220 @313548,27596,F9FFD8FF0D04,-7,-40,1037
19/07/2021 15:23:06.499,182747,BM2V220 @313548,27602,F8FFD9FF0C04,-8,-39,1036
19/07/2021 15:23:06.529,182777,BM2V220 @313548,27608,F8FFD7FF0B04,-8,-41,1035
19/07/2021 15:23:06.589,182838,BM2V220 @313548,27614,F6FFD9FF0B04,-10,-39,1035
19/07/2021 15:23:06.649,182898,BM2V220 @313548,27621,F8FFD7FF0B04,-8,-41,1035
19/07/2021 15:23:06.678,182927,BM2V220 @313548,27627,F8FFD8FF0B04,-8,-40,1035
19/07/2021 15:23:06.739,182988,BM2V220 @313548,27633,F8FFD9FF0B04,-8,-39,1035
19/07/2021 15:23:06.798,183047,BM2V220 @313548,27639,F4FFD9FF1404,-12,-39,1044
19/07/2021 15:23:06.829,183077,BM2V220 @313548,27646,F6FFDBFF0E04,-10,-37,1038
19/07/2021 15:23:06.889,183137,BM2V220 @313548,27652,0100B7FF1B04,1,-73,1051
19/07/2021 15:23:06.949,183198,BM2V220 @313548,27658,F7FFD7FF0F04,-9,-41,1039
19/07/2021 15:23:06.978,183227,BM2V220 @313548,27664,F3FFDBFF0F04,-13,-37,1039
19/07/2021 15:23:07.039,183287,BM2V220 @313548,27671,F8FFD8FF1104,-8,-40,1041
19/07/2021 15:23:07.099,183347,BM2V220 @313548,27677,F3FFDAFF1004,-13,-38,1040
19/07/2021 15:23:07.129,183379,BM2V220 @313548,27683,F5FFD5FF1004,-11,-43,1040
19/07/2021 15:23:07.189,183439,BM2V220 @313548,27689,FCFFD5FF1104,-4,-43,1041
19/07/2021 15:23:07.249,183498,BM2V220 @313548,27696,F3FFD7FF1204,-13,-41,1042
19/07/2021 15:23:07.279,183527,BM2V220 @313548,27702,F8FFD7FF1104,-8,-41,1041
19/07/2021 15:23:07.339,183588,BM2V220 @313548,27708,F7FFDAFF1204,-9,-38,1042
19/07/2021 15:23:07.399,183647,BM2V220 @313548,27714,F5FFD6FF0F04,-11,-42,1039
19/07/2021 15:23:07.429,183678,BM2V220 @313548,27721,F8FFD8FF1404,-8,-40,1044
19/07/2021 15:23:07.489,183738,BM2V220 @313548,27727,F4FFDBFF1404,-12,-37,1044
19/07/2021 15:23:07.549,183798,BM2V220 @313548,27733,F5FFD7FF1404,-11,-41,1044
19/07/2021 15:23:07.578,183827,BM2V220 @313548,27739,F6FFDBFF1204,-10,-37,1042
19/07/2021 15:23:07.639,183888,BM2V220 @313548,27746,F4FFDAFF1404,-12,-38,1044
19/07/2021 15:23:07.699,183948,BM2V220 @313548,27752,F6FFD8FF1204,-10,-40,1042
19/07/2021 15:23:07.729,183977,BM2V220 @313548,27758,F5FFDBFF1204,-11,-37,1042
19/07/2021 15:23:07.789,184037,BM2V220 @313548,27764,F3FFDAFF1404,-13,-38,1044
19/07/2021 15:23:07.849,184098,BM2V220 @313548,27771,F5FFD9FF1104,-11,-39,1041
19/07/2021 15:23:07.878,184127,BM2V220 @313548,27777,F6FFDAFF1404,-10,-38,1044
19/07/2021 15:23:07.939,184188,BM2V220 @313548,27783,F4FFDAFF1504,-12,-38,1045
19/07/2021 15:23:07.999,184247,BM2V220 @313548,27789,F5FFD9FF1504,-11,-39,1045
19/07/2021 15:23:08.029,184279,BM2V220 @313548,27796,FBFF83FF0E04,-5,-125,1038
19/07/2021 15:23:08.089,184338,BM2V220 @313548,27802,FDFF93FF1E04,-3,-109,1054
19/07/2021 15:23:08.149,184398,BM2V220 @313548,27808,DDFF16FF0504,-35,-234,1029
19/07/2021 15:23:08.178,184428,BM2V220 @313548,27814,E2FF8CFF3704,-30,-116,1079
19/07/2021 15:23:08.239,184488,BM2V220 @313548,27821,100080FF2704,16,-128,1063
19/07/2021 15:23:08.299,184548,BM2V220 @313548,27827,E3FFD8FE3804,-29,-296,1080
19/07/2021 15:23:08.329,184577,BM2V220 @313548,27833,33009CFF2D04,51,-100,1069
