Logged started on,20/07/2021 12:59:23
Feature,Magnetometer
Nodes,TILEBOX @321057

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
20/07/2021 13:01:56.086,152800,TILEBOX @321057,21164,4B009C009F00,75,156,159
20/07/2021 13:01:56.116,152829,TILEBOX @321057,21167,49009C00A200,73,156,162
20/07/2021 13:01:56.130,152842,TILEBOX @321057,21169,46009A00A600,70,154,166
20/07/2021 13:01:56.147,152859,TILEBOX @321057,21172,4F0096009D00,79,150,157
20/07/2021 13:01:56.176,152889,TILEBOX @321057,21174,4B00A200A300,75,162,163
20/07/2021 13:01:56.191,152904,TILEBOX @321057,21177,4C009C009D00,76,156,157
20/07/2021 13:01:56.207,152920,TILEBOX @321057,21179,4C00A500A200,76,165,162
20/07/2021 13:01:56.236,152948,TILEBOX @321057,21182,4B0099009400,75,153,148
20/07/2021 13:01:56.250,152962,TILEBOX @321057,21184,52009100A200,82,145,162
20/07/2021 13:01:56.266,152978,TILEBOX @321057,21187,48009D00A200,72,157,162
20/07/2021 13:01:56.297,153009,TILEBOX @321057,21192,4C009D009F00,76,157,159
20/07/2021 13:01:56.296,153009,TILEBOX @321057,21189,45009700A000,69,151,160
20/07/2021 13:01:56.326,153038,TILEBOX @321057,21194,43009100A200,67,145,162
20/07/2021 13:01:56.356,153068,TILEBOX @321057,21197,46009F009A00,70,159,154
20/07/2021 13:01:56.370,153082,TILEBOX @321057,21199,45009000A500,69,144,165
20/07/2021 13:01:56.386,153098,TILEBOX @321057,21202,46009600A600,70,150,166
20/07/2021 13:01:56.416,153128,TILEBOX @321057,21204,4B009D009A00,75,157,154
20/07/2021 13:01:56.430,153143,TILEBOX @321057,21207,4C009D009C00,76,157,156
20/07/2021 13:01:56.447,153159,TILEBOX @321057,21209,4E009600A000,78,150,160
20/07/2021 13:01:56.476,153189,TILEBOX @321057,21212,52009D009F00,82,157,159
20/07/2021 13:01:56.490,153203,TILEBOX @321057,21214,4800A500A200,72,165,162
20/07/2021 13:01:56.506,153218,TILEBOX @321057,21217,4B009300A300,75,147,163
20/07/2021 13:01:56.536,153248,TILEBOX @321057,21219,49009300A200,73,147,162
20/07/2021 13:01:56.549,153262,TILEBOX @321057,21222,43009400A600,67,148,166
20/07/2021 13:01:56.566,153278,TILEBOX @321057,21224,48009A009D00,72,154,157
20/07/2021 13:01:56.596,153308,TILEBOX @321057,21227,4E009100A000,78,145,160
20/07/2021 13:01:56.610,153323,TILEBOX @321057,21229,4900A2009C00,73,162,156
20/07/2021 13:01:56.626,153340,TILEBOX @321057,21232,46009700A200,70,151,162
20/07/2021 13:01:56.656,153368,TILEBOX @321057,21234,4E009900A000,78,153,160
20/07/2021 13:01:56.670,153382,TILEBOX @321057,21237,4C009D00A000,76,157,160
20/07/2021 13:01:56.686,153399,TILEBOX @321057,21239,4C009F009C00,76,159,156
20/07/2021 13:01:56.716,153428,TILEBOX @321057,21242,45009700A500,69,151,165
20/07/2021 13:01:56.730,153442,TILEBOX @321057,21244,4F009A009D00,79,154,157
20/07/2021 13:01:56.746,153459,TILEBOX @321057,21247,4E00A000AB00,78,160,171
20/07/2021 13:01:56.776,153489,TILEBOX @321057,21249,4C009700AB00,76,151,171
20/07/2021 13:01:56.792,153504,TILEBOX @321057,21252,4C009700A000,76,151,160
20/07/2021 13:01:56.808,153520,TILEBOX @321057,21254,4E0099009F00,78,153,159
20/07/2021 13:01:56.836,153548,TILEBOX @321057,21257,48009A00A000,72,154,160
20/07/2021 13:01:56.850,153562,TILEBOX @321057,21259,46009D009D00,70,157,157
20/07/2021 13:01:56.866,153578,TILEBOX @321057,21262,48009A009D00,72,154,157
20/07/2021 13:01:56.896,153609,TILEBOX @321057,21264,4E009C00A300,78,156,163
20/07/2021 13:01:56.911,153624,TILEBOX @321057,21267,4C009D009C00,76,157,156
20/07/2021 13:01:56.926,153640,TILEBOX @321057,21269,4B009A009A00,75,154,154
20/07/2021 13:01:56.956,153669,TILEBOX @321057,21272,4800A2009F00,72,162,159
20/07/2021 13:01:56.972,153684,TILEBOX @321057,21274,4E008E009D00,78,142,157
20/07/2021 13:01:56.987,153699,TILEBOX @321057,21277,49009D00A600,73,157,166
20/07/2021 13:01:57.016,153728,TILEBOX @321057,21279,4B009C00A200,75,156,162
20/07/2021 13:01:57.031,153743,TILEBOX @321057,21282,4600A0009F00,70,160,159
20/07/2021 13:01:57.047,153759,TILEBOX @321057,21284,45009D00AC00,69,157,172
20/07/2021 13:01:57.076,153790,TILEBOX @321057,21287,4C0097009900,76,151,153
20/07/2021 13:01:57.090,153802,TILEBOX @321057,21289,46009300A200,70,147,162
20/07/2021 13:01:57.106,153818,TILEBOX @321057,21292,4B009C00A300,75,156,163
20/07/2021 13:01:57.136,153848,TILEBOX @321057,21294,4B009A00A800,75,154,168
20/07/2021 13:01:57.149,153861,TILEBOX @321057,21297,460099009F00,70,153,159
20/07/2021 13:01:57.166,153878,TILEBOX @321057,21299,4E009600A800,78,150,168
20/07/2021 13:01:57.196,153909,TILEBOX @321057,21302,4C009D00A200,76,157,162
20/07/2021 13:01:57.209,153923,TILEBOX @321057,21304,4C0094009F00,76,148,159
20/07/2021 13:01:57.226,153940,TILEBOX @321057,21307,57009C00A200,87,156,162
20/07/2021 13:01:57.256,153968,TILEBOX @321057,21309,4E009A00A000,78,154,160
20/07/2021 13:01:57.270,153982,TILEBOX @321057,21312,4B009F00A300,75,159,163
20/07/2021 13:01:57.286,153998,TILEBOX @321057,21314,4C009700A500,76,151,165
20/07/2021 13:01:57.316,154028,TILEBOX @321057,21317,49009F00A800,73,159,168
20/07/2021 13:01:57.330,154042,TILEBOX @321057,21319,48009A009A00,72,154,154
20/07/2021 13:01:57.347,154059,TILEBOX @321057,21322,450096009F00,69,150,159
20/07/2021 13:01:57.376,154090,TILEBOX @321057,21325,48009C00A900,72,156,169
20/07/2021 13:01:57.406,154119,TILEBOX @321057,21327,4E009A009F00,78,154,159
20/07/2021 13:01:57.420,154132,TILEBOX @321057,21330,4E0099009F00,78,153,159
20/07/2021 13:01:57.436,154148,TILEBOX @321057,21332,4C009F009F00,76,159,159
20/07/2021 13:01:57.466,154178,TILEBOX @321057,21335,4C009A00A200,76,154,162
20/07/2021 13:01:57.480,154192,TILEBOX @321057,21337,49009700A200,73,151,162
20/07/2021 13:01:57.497,154209,TILEBOX @321057,21340,45009900A300,69,153,163
20/07/2021 13:01:57.526,154240,TILEBOX @321057,21342,45009300A000,69,147,160
20/07/2021 13:01:57.541,154253,TILEBOX @321057,21345,480096009F00,72,150,159
20/07/2021 13:01:57.556,154268,TILEBOX @321057,21347,4F0094009A00,79,148,154
20/07/2021 13:01:57.586,154299,TILEBOX @321057,21350,40009A00A000,64,154,160
20/07/2021 13:01:57.600,154312,TILEBOX @321057,21352,4E009A00A300,78,154,163
20/07/2021 13:01:57.616,154328,TILEBOX @321057,21355,48009F00A000,72,159,160
20/07/2021 13:01:57.647,154359,TILEBOX @321057,21357,4C00A000A600,76,160,166
20/07/2021 13:01:57.647,154359,TILEBOX @321057,21360,4300A200A300,67,162,163
20/07/2021 13:01:57.676,154390,TILEBOX @321057,21362,4C009900A500,76,153,165
20/07/2021 13:01:57.690,154402,TILEBOX @321057,21364,46009A00A800,70,154,168
20/07/2021 13:01:57.706,154418,TILEBOX @321057,21367,46009900A500,70,153,165
20/07/2021 13:01:57.736,154448,TILEBOX @321057,21369,3F00A000A800,63,160,168
20/07/2021 13:01:57.750,154462,TILEBOX @321057,21372,4E009A009A00,78,154,154
20/07/2021 13:01:57.766,154478,TILEBOX @321057,21374,4C00A000A200,76,160,162
20/07/2021 13:01:57.796,154509,TILEBOX @321057,21377,46009900A200,70,153,162
20/07/2021 13:01:57.810,154523,TILEBOX @321057,21379,49009400A000,73,148,160
20/07/2021 13:01:57.826,154540,TILEBOX @321057,21382,4E009700A200,78,151,162
20/07/2021 13:01:57.856,154568,TILEBOX @321057,21384,49009F00A500,73,159,165
20/07/2021 13:01:57.871,154583,TILEBOX @321057,21387,4C0099009A00,76,153,154
20/07/2021 13:01:57.886,154599,TILEBOX @321057,21389,43009F00A800,67,159,168
20/07/2021 13:01:57.916,154629,TILEBOX @321057,21392,4C0099009900,76,153,153
20/07/2021 13:01:57.931,154644,TILEBOX @321057,21394,46009C009F00,70,156,159
20/07/2021 13:01:57.947,154659,TILEBOX @321057,21397,4900A2009F00,73,162,159
20/07/2021 13:01:57.976,154690,TILEBOX @321057,21399,45009400A500,69,148,165
20/07/2021 13:01:57.992,154704,TILEBOX @321057,21402,45009600A000,69,150,160
20/07/2021 13:01:58.006,154718,TILEBOX @321057,21404,5200A300A900,82,163,169
20/07/2021 13:01:58.036,154749,TILEBOX @321057,21407,4B009C00A200,75,156,162
20/07/2021 13:01:58.050,154762,TILEBOX @321057,21409,4F009A00A000,79,154,160
20/07/2021 13:01:58.066,154778,TILEBOX @321057,21412,5100A200A900,81,162,169
20/07/2021 13:01:58.096,154809,TILEBOX @321057,21414,51009C00A500,81,156,165
20/07/2021 13:01:58.110,154823,TILEBOX @321057,21417,450093009D00,69,147,157
20/07/2021 13:01:58.126,154840,TILEBOX @321057,21419,480099009D00,72,153,157
20/07/2021 13:01:58.156,154869,TILEBOX @321057,21422,4C009900A300,76,153,163
20/07/2021 13:01:58.170,154882,TILEBOX @321057,21424,4B009A009A00,75,154,154
20/07/2021 13:01:58.186,154898,TILEBOX @321057,21427,4C0096009D00,76,150,157
20/07/2021 13:01:58.216,154928,TILEBOX @321057,21429,3F0094009900,63,148,153
20/07/2021 13:01:58.230,154942,TILEBOX @321057,21432,58009A00A200,88,154,162
20/07/2021 13:01:58.276,154989,TILEBOX @321057,21434,54009C009D00,84,156,157
20/07/2021 13:01:58.276,154989,TILEBOX @321057,21437,460097009F00,70,151,159
20/07/2021 13:01:58.290,155002,TILEBOX @321057,21439,4800A2009F00,72,162,159
20/07/2021 13:01:58.306,155018,TILEBOX @321057,21442,4B009700A200,75,151,162
20/07/2021 13:01:58.336,155048,TILEBOX @321057,21444,4300A3009F00,67,163,159
20/07/2021 13:01:58.350,155062,TILEBOX @321057,21447,45009600A000,69,150,160
