,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.002,0.0,-0.009,-0.009,0.002,998.989,0.312,0.267,0.162
1,0.002,0.0,-0.009,-0.009,0.002,998.989,0.312,0.267,0.162
2,0.002,-0.001,-0.009,-0.008,0.003,998.99,0.319,0.258,0.135
3,0.002,-0.002,-0.009,-0.009,0.002,998.991,0.318,0.243,0.156
4,0.002,-0.002,-0.009,-0.01,0.002,998.991,0.334,0.262,0.151
5,0.004,-0.001,-0.009,-0.009,0.002,998.991,0.334,0.262,0.151
6,0.003,-0.002,-0.009,-0.008,0.001,998.99,0.324,0.258,0.154
7,0.002,-0.001,-0.009,-0.006,0.002,998.989,0.309,0.247,0.135
8,0.002,-0.001,-0.009,-0.008,0.002,998.99,0.327,0.273,0.151
9,0.002,-0.002,-0.01,-0.009,0.0,998.99,0.307,0.286,0.15
10,0.003,-0.002,-0.01,-0.009,0.0,998.99,0.3,0.276,0.151
11,0.003,-0.003,-0.009,-0.008,0.0,998.989,0.297,0.282,0.165
12,0.002,0.0,-0.01,-0.008,0.0,998.989,0.315,0.259,0.165
13,0.002,-0.002,-0.009,-0.008,0.002,998.989,0.315,0.259,0.165
14,0.002,-0.002,-0.009,-0.01,0.001,998.989,0.307,0.255,0.153
15,0.002,-0.002,-0.009,-0.01,0.002,998.99,0.327,0.256,0.148
16,0.002,-0.001,-0.009,-0.009,0.004,998.992,0.31,0.249,0.151
17,0.002,0.0,-0.01,-0.008,0.003,998.992,0.309,0.277,0.16
18,0.002,0.0,-0.01,-0.007,0.002,998.991,0.295,0.27,0.138
19,0.002,0.0,-0.009,-0.007,0.002,998.991,0.307,0.261,0.154
20,0.002,0.0,-0.009,-0.009,0.001,998.991,0.307,0.261,0.154
21,0.003,-0.001,-0.01,-0.009,0.001,998.99,0.319,0.243,0.144
22,0.002,0.0,-0.009,-0.008,0.003,998.991,0.334,0.267,0.159
23,0.002,0.0,-0.009,-0.007,0.002,998.991,0.312,0.246,0.163
24,0.002,-0.001,-0.009,-0.009,0.001,998.991,0.316,0.261,0.189
25,0.003,-0.001,-0.01,-0.009,0.001,998.992,0.328,0.261,0.145
26,0.002,-0.002,-0.009,-0.007,0.0,998.992,0.325,0.247,0.163
27,0.002,-0.002,-0.009,-0.009,0.002,998.992,0.313,0.261,0.147
28,0.003,0.0,-0.009,-0.009,0.002,998.992,0.304,0.258,0.157
29,0.002,-0.001,-0.009,-0.008,0.001,998.99,0.33,0.264,0.171
30,0.002,-0.002,-0.009,-0.008,0.001,998.991,0.33,0.264,0.171
31,0.002,-0.002,-0.009,-0.009,0.002,998.992,0.315,0.283,0.154
32,0.002,0.001,-0.01,-0.008,0.002,998.99,0.313,0.271,0.163
33,0.002,-0.002,-0.009,-0.008,0.0,998.989,0.316,0.271,0.142
34,0.003,-0.002,-0.009,-0.008,-0.002,998.991,0.315,0.267,0.151
35,0.002,-0.002,-0.009,-0.008,0.0,998.992,0.313,0.258,0.163
36,0.002,-0.001,-0.009,-0.008,0.002,998.991,0.324,0.256,0.136
37,0.002,0.0,-0.01,-0.008,0.0,998.991,0.316,0.252,0.15
38,0.002,0.0,-0.01,-0.009,0.001,998.991,0.321,0.268,0.162
39,0.003,0.0,-0.01,-0.009,0.002,998.991,0.316,0.264,0.172
40,0.002,-0.001,-0.009,-0.01,0.002,998.99,0.316,0.264,0.172
41,0.002,-0.001,-0.009,-0.009,0.001,998.991,0.321,0.259,0.159
42,0.002,-0.001,-0.009,-0.007,0.001,998.993,0.309,0.267,0.154
43,0.002,0.0,-0.009,-0.009,0.002,998.992,0.313,0.258,0.139
44,0.002,-0.001,-0.009,-0.01,0.002,998.992,0.3,0.249,0.159
