,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.127,-0.04,-0.024,-0.004,0.011,-1.011,0.258,0.195,0.082
1,0.127,-0.04,-0.024,-0.004,0.011,-1.011,0.258,0.195,0.082
2,0.127,-0.04,-0.024,-0.004,0.011,-1.011,0.258,0.195,0.082
3,0.028,-0.013,-0.009,-0.003,0.011,-1.011,0.258,0.195,0.082
4,0.002,-0.003,-0.007,-0.003,0.011,-1.011,0.268,0.184,0.088
5,0.002,-0.001,-0.007,-0.003,0.011,-1.011,0.255,0.195,0.079
6,0.002,-0.001,-0.007,-0.004,0.01,-1.011,0.252,0.193,0.079
7,0.002,-0.006,-0.007,-0.003,0.01,-1.011,0.253,0.177,0.09
8,0.002,-0.002,-0.007,-0.004,0.01,-1.01,0.261,0.192,0.085
9,0.002,-0.001,-0.007,-0.004,0.01,-1.01,0.271,0.18,0.087
10,0.002,0.0,-0.007,-0.003,0.011,-1.01,0.253,0.184,0.084
11,0.002,0.0,-0.007,-0.003,0.01,-1.01,0.255,0.181,0.082
12,0.002,0.0,-0.007,-0.003,0.01,-1.01,0.261,0.187,0.078
13,0.002,-0.001,-0.007,-0.003,0.011,-1.01,0.256,0.183,0.079
14,0.002,0.0,-0.007,-0.003,0.011,-1.009,0.258,0.19,0.099
15,0.002,-0.001,-0.007,-0.003,0.011,-1.01,0.265,0.178,0.084
16,0.002,0.0,-0.007,-0.003,0.011,-1.01,0.265,0.178,0.084
17,0.002,0.0,-0.007,-0.003,0.011,-1.01,0.255,0.19,0.085
18,0.002,-0.002,-0.007,-0.003,0.01,-1.01,0.265,0.181,0.087
19,0.002,-0.001,-0.007,-0.004,0.01,-1.01,0.259,0.175,0.081
20,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.267,0.187,0.084
21,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.252,0.189,0.078
22,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.247,0.181,0.081
23,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.259,0.19,0.084
24,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.259,0.195,0.081
25,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.264,0.19,0.088
26,0.002,-0.001,-0.007,-0.003,0.011,-1.009,0.259,0.195,0.085
27,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.259,0.178,0.081
28,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.253,0.196,0.082
29,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.264,0.181,0.078
30,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.256,0.178,0.085
31,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.258,0.184,0.091
32,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.259,0.187,0.076
33,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.259,0.187,0.076
34,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.264,0.189,0.081
35,0.002,-0.001,-0.007,-0.003,0.011,-1.009,0.258,0.184,0.085
36,0.002,-0.001,-0.007,-0.003,0.01,-1.009,0.255,0.19,0.085
37,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.261,0.184,0.084
38,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.265,0.184,0.084
39,0.002,-0.002,-0.007,-0.004,0.01,-1.009,0.264,0.187,0.073
40,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.262,0.183,0.084
41,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.259,0.183,0.084
42,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.261,0.183,0.081
43,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.267,0.178,0.085
44,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.255,0.181,0.091
45,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.258,0.189,0.087
46,0.002,0.0,-0.007,-0.003,0.011,-1.008,0.255,0.177,0.088
47,0.002,-0.001,-0.007,-0.003,0.011,-1.009,0.252,0.183,0.082
48,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.252,0.183,0.082
49,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.265,0.184,0.076
50,0.002,0.0,-0.007,-0.003,0.01,-1.009,0.264,0.187,0.088
51,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.259,0.181,0.087
52,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.273,0.186,0.085
53,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.264,0.187,0.085
54,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.271,0.183,0.082
55,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.262,0.184,0.084
56,0.002,-0.002,-0.007,-0.003,0.011,-1.009,0.261,0.187,0.085
57,0.002,-0.001,-0.007,-0.003,0.011,-1.009,0.258,0.192,0.088
58,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.259,0.181,0.084
59,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.262,0.183,0.093
60,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.262,0.183,0.093
61,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.258,0.187,0.09
62,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.255,0.177,0.081
63,0.002,0.0,-0.007,-0.003,0.01,-1.008,0.261,0.178,0.096
64,0.002,0.0,-0.007,-0.003,0.01,-1.008,0.259,0.193,0.088
65,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.255,0.184,0.079
66,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.27,0.189,0.084
67,0.002,-0.001,-0.007,-0.004,0.011,-1.008,0.259,0.186,0.09
68,0.002,-0.001,-0.007,-0.004,0.011,-1.008,0.259,0.19,0.084
69,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.259,0.186,0.085
70,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.261,0.186,0.085
71,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.262,0.181,0.085
72,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.25,0.186,0.085
73,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.259,0.187,0.079
74,0.002,-0.002,-0.007,-0.004,0.01,-1.009,0.259,0.187,0.079
75,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.253,0.178,0.081
76,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.253,0.178,0.081
77,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.267,0.187,0.088
78,0.002,-0.002,-0.007,-0.004,0.01,-1.008,0.259,0.184,0.091
79,0.002,-0.001,-0.007,-0.003,0.01,-1.008,0.258,0.187,0.088
80,0.002,0.0,-0.007,-0.003,0.01,-1.008,0.258,0.174,0.088
81,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.262,0.184,0.093
82,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.258,0.189,0.084
83,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.27,0.186,0.09
84,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.261,0.183,0.094
85,0.002,-0.001,-0.007,-0.005,0.011,-1.008,0.259,0.177,0.093
86,0.002,0.0,-0.007,-0.004,0.011,-1.008,0.265,0.192,0.097
87,0.002,-0.001,-0.007,-0.003,0.011,-1.008,0.264,0.186,0.091
88,0.003,0.0,-0.007,-0.004,0.01,-1.008,0.253,0.186,0.099
89,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.253,0.186,0.099
90,0.002,0.0,-0.007,-0.004,0.011,-1.008,0.255,0.184,0.093
91,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.25,0.189,0.102
92,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.25,0.189,0.102
93,0.003,0.0,-0.007,-0.004,0.01,-1.008,0.249,0.18,0.085
94,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.259,0.189,0.091
95,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.256,0.183,0.091
96,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.246,0.181,0.103
97,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.258,0.181,0.081
98,0.003,0.0,-0.007,-0.004,0.01,-1.009,0.25,0.181,0.093
99,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.265,0.189,0.087
100,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.262,0.187,0.091
101,0.002,0.0,-0.007,-0.004,0.011,-1.008,0.253,0.186,0.091
102,0.002,0.0,-0.007,-0.004,0.011,-1.008,0.255,0.193,0.084
103,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.249,0.19,0.085
104,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.262,0.187,0.082
105,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.255,0.186,0.09
106,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.256,0.184,0.082
107,0.002,0.0,-0.007,-0.004,0.011,-1.008,0.255,0.186,0.087
108,0.002,0.0,-0.007,-0.004,0.011,-1.008,0.255,0.186,0.087
109,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.256,0.181,0.088
110,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.262,0.181,0.081
111,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.261,0.187,0.085
112,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.261,0.183,0.084
113,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.252,0.187,0.087
114,0.002,-0.001,-0.007,-0.004,0.01,-1.009,0.265,0.183,0.091
115,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.259,0.19,0.078
116,0.002,0.0,-0.007,-0.004,0.01,-1.007,0.252,0.186,0.091
117,0.002,-0.001,-0.007,-0.003,0.01,-1.009,0.253,0.187,0.09
118,0.002,0.0,-0.007,-0.004,0.011,-1.009,0.261,0.18,0.082
119,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.255,0.181,0.09
120,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.261,0.187,0.079
121,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.256,0.181,0.082
122,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.273,0.174,0.081
123,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.249,0.181,0.085
124,0.002,-0.001,-0.007,-0.004,0.011,-1.008,0.267,0.187,0.091
125,0.002,-0.001,-0.007,-0.004,0.011,-1.008,0.267,0.187,0.091
126,0.002,0.0,-0.007,-0.003,0.01,-1.009,0.273,0.192,0.091
127,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.264,0.184,0.087
128,0.002,0.0,-0.007,-0.004,0.01,-1.009,0.264,0.181,0.084
129,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.264,0.184,0.088
130,0.002,-0.001,-0.007,-0.004,0.011,-1.008,0.267,0.183,0.085
131,0.002,-0.001,-0.007,-0.004,0.011,-1.009,0.261,0.184,0.078
132,0.002,0.0,-0.007,-0.004,0.01,-1.008,0.259,0.186,0.081
133,0.002,-0.004,-0.007,-0.003,0.01,-1.008,0.264,0.184,0.085
134,0.002,-0.003,-0.007,-0.004,0.01,-1.008,0.264,0.184,0.085
135,0.002,-0.001,-0.007,-0.004,0.01,-1.008,0.264,0.181,0.081
