,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.6,-2.3,1.1,5,-9,1035,-51,-169,-1032
2,-1.6,-2.3,1.0,5,-10,1034,-36,-172,-1026
3,-1.6,-2.3,1.1,5,-10,1036,-37,-174,-1029
4,-1.6,-2.2,1.0,5,-9,1036,-43,-165,-1036
5,-1.6,-2.3,1.1,5,-10,1035,-48,-174,-1033
6,-1.5,-2.3,1.1,5,-10,1037,-45,-172,-1024
7,-1.6,-2.3,1.0,4,-10,1037,-52,-171,-1038
8,-1.6,-2.3,1.1,5,-10,1036,-48,-171,-1024
9,-1.6,-2.2,1.1,5,-9,1034,-43,-172,-1029
10,-1.6,-2.3,1.1,4,-10,1037,-45,-172,-1033
11,-1.6,-2.3,1.0,5,-10,1034,-42,-166,-1030
12,-1.6,-2.3,1.1,4,-10,1034,-45,-169,-1036
13,-1.6,-2.2,1.0,4,-9,1034,-42,-169,-1024
14,-1.6,-2.3,1.0,5,-10,1033,-36,-169,-1029
15,-1.6,-2.3,1.1,4,-11,1033,-43,-172,-1027
16,-1.6,-2.3,1.0,4,-10,1032,-42,-166,-1020
17,-1.6,-2.3,1.0,4,-10,1032,-49,-166,-1029
18,-1.6,-2.3,1.1,2,-16,1038,-33,-169,-1021
19,-1.6,-2.3,1.0,6,-12,1034,-52,-162,-1020
20,-1.5,-2.3,1.0,5,-8,1035,-40,-171,-1030
21,-1.6,-2.3,0.6,27,31,1033,-45,-172,-1020
22,-1.1,-2.5,13.5,-388,-154,989,-45,-163,-1030
23,-2.0,-2.0,-3.7,-7,109,1036,-42,-172,-1032
24,8.6,-1.6,5.4,6,-40,1047,-51,-165,-1029
25,31.9,-20.4,-28.0,-49,-92,1071,-42,-165,-1023
26,93.0,-17.1,-62.6,-181,-101,1142,-43,-166,-1020
27,-83.6,86.8,-45.8,46,149,1403,-69,-153,-1012
