,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
1,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
2,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
3,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
4,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
5,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
6,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
7,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
8,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
9,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
10,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
11,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
12,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
13,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
14,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
15,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
16,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
17,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
18,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
19,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
20,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
21,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
22,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
23,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
24,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
25,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
26,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
27,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
28,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
29,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
30,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
31,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
32,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
33,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
34,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
35,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
36,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
37,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
38,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
39,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
40,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
41,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
42,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
43,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
44,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
45,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
46,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
47,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
48,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
49,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
50,0.01,-0.007,-0.005,-0.316,0.951,0.125,0.787,0.388,-0.112
