,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.1,-2.1,1.0,-0.01,-0.023,6.1e-05,-0.649,0.396,-0.763
2,-1.2,-2.1,1.0,-0.01,-0.025,8.999999999999999e-05,-0.651,0.4,-0.748
3,-0.9,-4.5,0.9,-0.011,-0.031,0.00015099999999999998,-0.639,0.402,-0.763
4,-0.3,-5.9,1.0,-0.011,-0.026,0.00020999999999999998,-0.652,0.403,-0.763
5,-0.7,-6.3,1.1,-0.011,-0.018,0.00023999999999999998,-0.649,0.394,-0.753
6,1.6,-3.0,1.1,-0.011,-0.014,0.0003,-0.646,0.394,-0.759
7,-1.0,-3.0,1.1,-0.011,-0.022,0.00035999999999999997,-0.651,0.399,-0.75
8,-1.0,-4.6,0.9,-0.011,-0.016,0.00039,-0.643,0.396,-0.76
9,-1.1,-1.1,1.1,-0.01,-0.02,0.00045,-0.651,0.4,-0.751
10,-1.3,-2.5,0.9,-0.011,-0.021,0.0005110000000000001,-0.642,0.4,-0.751
11,-1.6,-2.7,0.9,-0.011,-0.02,0.00054,-0.651,0.4,-0.747
12,-1.1,-2.4,1.0,-0.011,-0.023,0.0006,-0.643,0.402,-0.76
13,-1.2,-2.8,1.0,-0.01,-0.02,0.00066,-0.642,0.396,-0.759
14,-1.1,-3.5,1.0,-0.011,-0.024,0.00069,-0.643,0.397,-0.756
15,-1.1,-3.4,1.0,-0.011,-0.022,0.00075,-0.645,0.403,-0.748
16,-2.9,-2.9,0.8,-0.011,-0.021,0.0008100000000000001,-0.642,0.396,-0.762
17,-1.1,-5.8,1.0,-0.011,-0.026,0.0008399999999999999,-0.652,0.396,-0.765
18,-1.0,-5.7,1.1,-0.011,-0.022,0.0009,-0.655,0.4,-0.759
19,-1.0,-4.2,1.0,-0.01,-0.019,0.0009599999999999999,-0.648,0.391,-0.763
20,-1.0,-3.9,1.0,-0.011,-0.019,0.00099,-0.648,0.403,-0.76
21,-1.1,-3.0,1.0,-0.01,-0.022,0.0010509999999999999,-0.639,0.393,-0.745
22,-1.0,-5.2,1.0,-0.01,-0.018,0.001111,-0.646,0.403,-0.756
23,-1.1,-3.2,1.0,-0.01,-0.018,0.001141,-0.651,0.396,-0.759
24,-1.2,-2.5,0.9,-0.01,-0.02,0.0012,-0.645,0.396,-0.754
25,-1.4,-5.0,0.9,-0.012,-0.022,0.00126,-0.646,0.405,-0.757
26,-1.1,-4.0,1.0,-0.01,-0.015,0.0012900000000000001,-0.654,0.399,-0.756
27,-1.8,-2.8,0.9,-0.01,-0.022,0.001351,-0.654,0.403,-0.757
28,-1.4,-5.1,0.9,-0.011,-0.016,0.001411,-0.649,0.406,-0.757
29,-2.1,-2.4,0.9,-0.011,-0.011,0.001441,-0.645,0.408,-0.763
30,-1.9,-1.9,1.0,-0.01,-0.022,0.0015,-0.648,0.403,-0.763
31,-1.7,-2.5,1.1,-0.011,-0.019,0.0015609999999999999,-0.646,0.402,-0.762
32,-2.3,-2.2,1.0,-0.01,-0.016,0.00159,-0.645,0.4,-0.766
33,-2.0,-1.4,0.9,-0.01,-0.019,0.00165,-0.645,0.396,-0.76
34,-1.8,-1.8,0.9,-0.01,-0.021,0.001711,-0.645,0.409,-0.769
35,-1.3,-2.7,1.0,-0.009,-0.025,0.0017410000000000001,-0.648,0.405,-0.753
36,-1.9,-3.8,0.9,-0.011,-0.028,0.0018,-0.63,0.39,-0.768
37,-1.1,-3.5,1.0,-0.01,-0.022,0.00186,-0.646,0.4,-0.759
38,-1.1,-3.0,1.0,-0.01,-0.03,0.00189,-0.645,0.408,-0.766
39,-1.0,-4.0,1.0,-0.011,-0.019,0.00195,-0.634,0.4,-0.76
40,-1.0,-3.0,1.0,-0.01,-0.022,0.0020099999999999996,-0.649,0.4,-0.76
41,-1.0,-2.6,1.0,-0.01,-0.021,0.002041,-0.643,0.4,-0.754
42,-1.0,-2.4,1.0,-0.01,-0.028,0.002101,-0.639,0.406,-0.768
43,-1.0,-3.8,1.0,-0.01,-0.026,0.00216,-0.645,0.399,-0.762
44,-1.0,-4.9,1.0,-0.01,-0.022,0.00219,-0.645,0.405,-0.766
45,-1.1,-1.5,1.0,-0.01,-0.024,0.00225,-0.642,0.402,-0.762
46,-1.2,-3.5,1.0,-0.01,-0.028,0.002311,-0.648,0.396,-0.768
47,-1.0,-4.0,1.0,-0.011,-0.021,0.002341,-0.631,0.39,-0.762
48,-1.0,-3.2,1.1,-0.009,-0.025,0.002401,-0.649,0.402,-0.765
49,-1.0,-2.5,1.0,-0.011,-0.024,0.0024609999999999996,-0.643,0.4,-0.756
50,-0.9,-3.5,1.0,-0.01,-0.027,0.002491,-0.64,0.397,-0.754
51,-1.0,-4.3,1.0,-0.011,-0.025,0.0025510000000000003,-0.64,0.405,-0.762
52,-1.1,-2.3,1.0,-0.011,-0.02,0.002611,-0.64,0.394,-0.763
53,-1.1,-3.7,1.0,-0.01,-0.026,0.002641,-0.648,0.4,-0.759
54,-1.1,-4.5,1.1,-0.01,-0.021,0.0027010000000000003,-0.652,0.4,-0.762
55,-1.0,-5.5,1.0,-0.01,-0.021,0.002761,-0.643,0.4,-0.762
56,-1.0,-2.5,0.9,-0.01,-0.018,0.00279,-0.646,0.402,-0.76
57,-1.1,-2.3,1.0,-0.01,-0.022,0.00285,-0.648,0.399,-0.76
58,-2.3,-0.8,0.9,-0.009,-0.011,0.0029100000000000003,-0.642,0.39,-0.762
59,-1.2,-3.3,0.9,-0.01,-0.03,0.00294,-0.645,0.396,-0.769
60,-1.0,-4.0,1.0,-0.01,-0.028,0.003,-0.639,0.403,-0.756
61,-1.1,-2.8,1.0,-0.009,-0.022,0.003061,-0.639,0.399,-0.759
62,-1.1,-3.3,1.0,-0.01,-0.033,0.00309,-0.639,0.402,-0.762
63,-1.1,-4.2,1.0,-0.01,-0.023,0.0031509999999999997,-0.646,0.411,-0.76
64,-1.1,-3.0,1.0,-0.01,-0.023,0.003211,-0.633,0.403,-0.766
65,-1.1,-3.3,1.0,-0.01,-0.028,0.003241,-0.643,0.4,-0.772
66,-1.1,-4.0,0.9,-0.01,-0.015,0.003301,-0.654,0.399,-0.768
67,-2.9,-4.5,0.8,-0.009,-0.003,0.0033610000000000003,-0.637,0.396,-0.757
68,-0.9,-7.6,1.0,-0.009,-0.02,0.0033900000000000002,-0.639,0.399,-0.763
69,-0.7,-5.6,1.1,-0.011,-0.012,0.0034500000000000004,-0.643,0.406,-0.766
70,-0.9,-2.3,0.9,-0.009,-0.018,0.0035110000000000002,-0.64,0.397,-0.768
71,-0.7,-3.5,1.1,-0.01,-0.022,0.003541,-0.643,0.405,-0.766
72,-0.4,-5.1,1.1,-0.011,-0.015,0.003601,-0.649,0.4,-0.772
73,-1.1,-1.8,1.0,-0.01,-0.013,0.00369,-0.64,0.402,-0.76
74,-1.1,-3.4,1.0,-0.01,-0.022,0.003718,-0.646,0.405,-0.766
75,-1.0,-6.0,1.0,-0.01,-0.017,0.00375,-0.643,0.388,-0.768
76,-1.0,-5.1,1.0,-0.01,-0.014,0.003811,-0.642,0.402,-0.774
77,-1.1,-3.5,1.0,-0.01,-0.012,0.0038410000000000002,-0.636,0.396,-0.768
78,-1.1,-1.9,1.0,-0.01,-0.019,0.0039,-0.64,0.399,-0.763
79,-1.0,-4.7,1.0,-0.01,-0.012,0.003961,-0.645,0.402,-0.765
80,-1.1,-3.3,1.0,-0.011,-0.013,0.0039900000000000005,-0.642,0.403,-0.762
81,-1.1,-3.7,1.0,-0.01,-0.015,0.004051,-0.645,0.394,-0.756
82,-1.0,-5.6,1.0,-0.01,-0.013,0.004111,-0.651,0.408,-0.774
83,-1.0,-4.5,0.9,-0.009,-0.009,0.004141,-0.633,0.397,-0.768
84,-1.0,-4.3,1.0,-0.01,-0.012,0.004201,-0.648,0.406,-0.763
85,-0.3,-4.4,1.1,-0.011,-0.006,0.004261,-0.636,0.405,-0.765
86,-1.0,-4.1,1.0,-0.01,-0.01,0.00429,-0.633,0.4,-0.763
87,-1.1,-3.5,1.0,-0.011,-0.01,0.00435,-0.645,0.405,-0.765
88,-1.1,-3.2,1.0,-0.01,-0.01,0.004411,-0.642,0.409,-0.775
89,-1.0,-3.2,1.0,-0.011,-0.011,0.00444,-0.646,0.406,-0.769
90,-1.0,-3.9,1.0,-0.01,-0.01,0.0045,-0.643,0.399,-0.766
91,-1.0,-4.4,1.1,-0.01,-0.008,0.004561,-0.649,0.396,-0.766
92,-0.9,-6.8,1.0,-0.011,-0.002,0.0045899999999999995,-0.642,0.4,-0.759
93,-1.1,-2.4,1.0,-0.01,-0.005,0.004651,-0.649,0.409,-0.772
94,-1.2,-0.1,1.0,-0.011,-0.005,0.00471,-0.646,0.402,-0.768
95,-1.1,-0.9,0.9,-0.011,-0.014,0.0047409999999999996,-0.642,0.397,-0.757
96,-1.1,-2.5,0.9,-0.01,-0.017,0.004801000000000001,-0.636,0.396,-0.765
97,-1.0,-4.0,1.0,-0.011,-0.012,0.004861,-0.645,0.394,-0.757
98,-1.0,-4.0,1.0,-0.01,-0.011,0.00492,-0.648,0.405,-0.757
99,-0.9,-4.4,1.0,-0.01,-0.01,0.004952,-0.649,0.399,-0.763
100,-1.0,-3.3,1.0,-0.01,-0.008,0.005011,-0.646,0.396,-0.766
101,-1.1,-0.3,0.9,-0.01,-0.011,0.005041,-0.66,0.396,-0.763
102,-1.4,-4.6,0.9,-0.012,-0.023,0.0050999999999999995,-0.645,0.399,-0.762
103,-1.0,-5.3,1.1,-0.01,-0.005,0.005161,-0.642,0.4,-0.765
104,-1.0,-1.6,0.9,-0.011,-0.004,0.00519,-0.648,0.405,-0.777
105,-1.2,-1.6,0.9,-0.01,-0.02,0.00525,-0.658,0.393,-0.759
106,-0.9,-9.8,1.0,-0.01,-0.006,0.005311,-0.643,0.394,-0.777
107,-1.1,-3.1,1.0,-0.01,-0.008,0.0053419999999999995,-0.643,0.397,-0.759
108,-1.1,-3.4,0.9,-0.009,-0.009,0.0054009999999999996,-0.649,0.406,-0.774
109,-0.9,-7.2,1.1,-0.01,-0.013,0.005461000000000001,-0.64,0.396,-0.763
110,-0.9,-5.8,1.0,-0.011,-0.005,0.00549,-0.645,0.399,-0.768
111,-0.6,-12.1,0.9,-0.011,-0.003,0.005551,-0.649,0.403,-0.777
112,-0.6,-9.3,1.1,-0.01,0.019,0.005611,-0.648,0.403,-0.768
113,-2.1,0.4,0.9,-0.011,0.011,0.005641,-0.654,0.402,-0.766
114,-11.9,9.1,0.9,-0.008,0.01,0.0057009999999999995,-0.648,0.399,-0.771
115,-6.0,-1.2,-2.5,-0.015,-0.011,0.0057610000000000005,-0.645,0.399,-0.772
116,-2.5,-1.1,-13.0,-0.012,-0.033,0.00579,-0.639,0.406,-0.774
117,1.5,-9.5,-6.6,-0.035,0.023,0.005851,-0.628,0.408,-0.766
118,-5.4,-3.6,10.6,-0.016,-0.017,0.005911,-0.609,0.403,-0.772
119,-8.4,11.1,7.0,-0.066,-0.069,0.005941,-0.609,0.418,-0.763
120,-0.4,-2.6,7.0,0.004,-0.014,0.006001,-0.609,0.441,-0.769
121,-5.8,-3.5,14.9,0.031,-0.046,0.0060609999999999995,-0.595,0.451,-0.766
122,4.8,-16.5,8.4,0.031,-0.002,0.00609,-0.579,0.463,-0.75
123,-1.1,-6.5,11.5,0.03,-0.004,0.006151,-0.565,0.469,-0.751
124,-0.1,-10.4,6.7,0.014,0.014,0.006211,-0.556,0.478,-0.732
125,3.1,-9.7,2.7,0.007,0.014,0.006241,-0.529,0.475,-0.738
126,4.0,-10.0,1.6,0.009,0.047,0.006301,-0.505,0.48,-0.712
127,1.0,-6.1,0.7,0.02,-0.004,0.0063609999999999995,-0.466,0.489,-0.712
128,5.4,-3.6,-3.5,0.015,-0.006,0.00639,-0.438,0.477,-0.694
129,3.1,-6.2,-0.6,0.012,0.025,0.006481,-0.408,0.483,-0.691
130,-2.5,-0.7,-5.3,0.0,0.017,0.006511,-0.388,0.472,-0.693
131,1.5,-7.1,-9.4,0.003,0.028,0.006541,-0.369,0.483,-0.694
132,-1.6,-5.1,0.7,0.007,0.026,0.0066,-0.369,0.48,-0.696
133,-6.7,-0.7,4.6,0.029,0.003,0.006660999999999999,-0.354,0.483,-0.697
134,3.9,-1.1,-1.0,0.0,0.024,0.006690000000000001,-0.337,0.465,-0.694
135,-1.1,1.9,0.7,0.029,0.018,0.006751,-0.328,0.462,-0.693
136,15.9,-10.6,0.3,0.0,-0.024,0.006811,-0.328,0.471,-0.693
137,7.4,-5.1,-4.9,-0.002,0.02,0.006841,-0.324,0.46,-0.679
138,0.1,-1.0,2.8,0.0,-0.013,0.006900000000000001,-0.312,0.462,-0.688
139,4.1,-1.1,0.3,-0.01,0.051,0.00696,-0.3,0.45,-0.682
140,-4.9,-3.4,3.5,0.003,0.01,0.0069900000000000006,-0.292,0.454,-0.684
141,-2.0,-2.1,2.5,0.008,0.02,0.007051,-0.301,0.457,-0.678
142,-3.1,-4.1,2.8,-0.011,0.003,0.007111,-0.3,0.456,-0.673
143,0.3,-0.2,2.8,0.014,-0.004,0.007141,-0.291,0.454,-0.684
144,-1.7,-2.3,6.3,0.007,0.023,0.007201,-0.288,0.451,-0.684
145,0.1,0.2,7.0,0.021,-0.006,0.007261,-0.292,0.453,-0.678
146,-2.5,2.2,3.5,0.022,-0.01,0.00729,-0.286,0.448,-0.675
147,1.8,-3.0,-3.3,0.018,-0.005,0.007351,-0.294,0.445,-0.666
148,5.9,-2.1,-3.7,0.017,-0.003,0.007410999999999999,-0.282,0.442,-0.673
149,-0.4,2.8,-1.5,0.0,-0.01,0.007441,-0.282,0.445,-0.661
150,1.2,-6.5,-0.7,0.017,0.004,0.007501000000000001,-0.277,0.448,-0.67
151,1.1,-2.7,-5.8,0.01,-0.011,0.007561,-0.276,0.45,-0.67
152,8.4,-3.1,-5.0,-0.006,0.015,0.0075899999999999995,-0.265,0.45,-0.666
153,1.4,-7.4,-3.9,0.012,-0.017,0.007651,-0.271,0.456,-0.657
154,1.5,-5.1,1.1,-0.018,0.007,0.007711,-0.267,0.465,-0.666
155,5.8,-4.9,-3.0,0.001,-0.014,0.007741,-0.264,0.45,-0.661
156,-1.4,-8.4,8.8,0.0,0.012,0.007801,-0.264,0.459,-0.663
157,-2.0,-4.9,3.3,-0.011,0.042,0.00786,-0.256,0.453,-0.672
158,-2.3,-9.3,7.7,0.021,0.035,0.007891,-0.258,0.453,-0.667
159,-7.5,-5.4,2.7,0.009,0.001,0.007951,-0.258,0.451,-0.673
160,-10.4,-6.0,11.2,0.022,0.007,0.008010999999999999,-0.256,0.451,-0.669
161,0.9,-11.5,13.0,0.024,0.048,0.008041,-0.265,0.447,-0.673
162,-8.1,-6.2,10.8,0.021,0.029,0.008101,-0.267,0.442,-0.675
163,0.0,0.7,-0.5,0.052,0.021,0.008161,-0.273,0.453,-0.679
164,-1.8,-1.8,3.7,0.025,0.017,0.00819,-0.271,0.447,-0.682
165,-3.2,2.2,-2.7,0.021,0.019,0.00825,-0.27,0.448,-0.682
166,-1.3,0.0,5.8,0.037,0.025,0.008311,-0.265,0.445,-0.682
167,-2.1,-3.0,-0.1,0.012,0.006,0.008342,-0.271,0.447,-0.667
168,0.6,-2.1,-2.8,0.043,0.013,0.008401,-0.274,0.444,-0.679
169,-2.5,-4.2,-1.0,0.041,-0.003,0.008461,-0.276,0.456,-0.667
170,-5.0,-3.2,-1.4,0.009,0.038,0.008491,-0.267,0.45,-0.673
171,-8.1,-2.0,0.5,0.039,0.02,0.008551,-0.271,0.45,-0.664
172,-13.0,-3.2,-2.2,0.027,-0.01,0.008611,-0.268,0.445,-0.687
173,-7.0,-4.6,2.3,0.03,0.021,0.008644,-0.267,0.441,-0.672
174,-8.7,1.3,3.0,0.011,-0.006,0.008701,-0.255,0.447,-0.679
175,2.8,-7.2,2.8,0.015,0.028,0.008761,-0.261,0.442,-0.672
176,-7.6,-2.5,4.6,0.042,-0.007,0.00879,-0.262,0.447,-0.685
177,8.7,-9.9,-1.8,0.018,0.038,0.008851000000000001,-0.262,0.442,-0.679
178,0.0,-10.4,-0.1,0.027,0.036,0.008910999999999999,-0.255,0.447,-0.682
179,4.0,-8.8,0.3,0.036,0.026,0.008941000000000001,-0.261,0.45,-0.675
180,-0.9,-9.3,3.0,0.02,0.038,0.009000999999999999,-0.259,0.442,-0.67
181,4.6,-9.5,0.0,0.029,0.06,0.009061,-0.256,0.442,-0.687
182,4.2,-8.8,-0.2,0.03,0.051,0.009089999999999999,-0.261,0.447,-0.693
