,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.002,-0.001,-0.013,-0.021,0.059,0.997,0.721,0.216,-0.538
1,0.002,0.0,-0.014,-0.021,0.059,0.998,0.714,0.217,-0.525
2,0.002,0.0,-0.013,-0.021,0.059,0.998,0.714,0.217,-0.525
3,0.002,-0.001,-0.013,-0.021,0.059,0.997,0.721,0.208,-0.525
4,0.002,-0.001,-0.013,-0.021,0.059,0.998,0.715,0.216,-0.54
5,0.002,-0.001,-0.013,-0.021,0.059,0.998,0.721,0.204,-0.538
6,0.002,-0.001,-0.013,-0.021,0.059,0.998,0.714,0.208,-0.543
7,0.002,-0.002,-0.013,-0.021,0.059,0.998,0.715,0.216,-0.537
8,0.002,-0.002,-0.013,-0.022,0.059,0.998,0.717,0.217,-0.544
9,0.002,-0.002,-0.013,-0.022,0.059,0.998,0.715,0.211,-0.544
10,0.002,0.0,-0.013,-0.021,0.059,0.998,0.709,0.216,-0.532
11,0.002,-0.001,-0.013,-0.021,0.059,0.998,0.711,0.214,-0.535
12,0.002,-0.001,-0.013,-0.021,0.059,0.998,0.709,0.211,-0.54
13,0.002,0.0,-0.013,-0.021,0.059,0.998,0.709,0.211,-0.54
14,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.718,0.213,-0.537
15,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.715,0.213,-0.54
16,0.002,-0.002,-0.013,-0.021,0.059,0.998,0.714,0.217,-0.535
17,0.002,-0.001,-0.013,-0.021,0.059,0.998,0.717,0.216,-0.54
18,0.002,-0.001,-0.013,-0.021,0.058,0.998,0.715,0.216,-0.547
19,0.002,-0.001,-0.013,-0.021,0.058,0.998,0.718,0.222,-0.54
20,0.002,-0.002,-0.013,-0.021,0.059,0.999,0.711,0.22,-0.534
21,0.002,-0.001,-0.013,-0.021,0.059,0.998,0.714,0.204,-0.534
22,0.002,-0.002,-0.013,-0.022,0.059,0.999,0.726,0.214,-0.528
23,0.002,-0.001,-0.013,-0.022,0.059,0.999,0.717,0.21,-0.538
24,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.712,0.213,-0.534
25,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.717,0.21,-0.535
26,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.717,0.21,-0.535
27,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.718,0.204,-0.534
28,0.002,-0.002,-0.013,-0.021,0.059,0.999,0.721,0.217,-0.532
29,0.002,-0.002,-0.013,-0.021,0.059,0.999,0.715,0.21,-0.541
30,0.002,-0.002,-0.013,-0.021,0.058,0.999,0.72,0.214,-0.523
31,0.002,0.0,-0.013,-0.021,0.059,0.999,0.715,0.21,-0.538
32,0.002,-0.001,-0.013,-0.022,0.059,0.999,0.72,0.205,-0.537
33,0.002,-0.001,-0.013,-0.022,0.059,0.999,0.715,0.216,-0.54
34,0.002,-0.001,-0.013,-0.021,0.059,0.998,0.721,0.213,-0.537
35,0.002,-0.002,-0.013,-0.021,0.059,0.999,0.714,0.214,-0.537
36,0.002,0.0,-0.014,-0.021,0.059,0.999,0.724,0.211,-0.54
37,0.002,0.0,-0.014,-0.021,0.059,0.999,0.714,0.211,-0.535
38,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.712,0.216,-0.531
39,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.711,0.214,-0.537
40,0.002,-0.002,-0.013,-0.021,0.059,1.0,0.715,0.211,-0.538
41,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.711,0.211,-0.535
42,0.002,0.0,-0.013,-0.021,0.059,0.999,0.708,0.213,-0.532
43,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.708,0.213,-0.532
44,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.712,0.207,-0.544
45,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.715,0.21,-0.529
46,0.002,-0.002,-0.013,-0.021,0.059,0.999,0.708,0.213,-0.543
47,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.72,0.211,-0.543
48,0.002,-0.001,-0.013,-0.021,0.058,0.999,0.715,0.219,-0.541
49,0.002,0.0,-0.014,-0.021,0.059,0.999,0.718,0.213,-0.546
50,0.002,-0.001,-0.014,-0.021,0.059,0.999,0.717,0.211,-0.546
51,0.002,-0.002,-0.013,-0.021,0.059,0.999,0.717,0.213,-0.55
52,0.002,0.0,-0.013,-0.021,0.059,0.999,0.712,0.216,-0.535
53,0.002,-0.001,-0.013,-0.021,0.058,0.999,0.721,0.208,-0.546
54,0.002,-0.001,-0.013,-0.021,0.059,1.0,0.711,0.214,-0.538
55,0.002,0.0,-0.014,-0.021,0.059,0.999,0.718,0.213,-0.537
56,0.002,0.0,-0.013,-0.021,0.059,0.999,0.718,0.208,-0.54
57,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.715,0.205,-0.546
58,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.712,0.213,-0.544
59,0.002,0.0,-0.013,-0.021,0.059,0.999,0.712,0.207,-0.541
60,0.002,0.0,-0.013,-0.021,0.059,0.999,0.721,0.205,-0.534
61,0.002,-0.002,-0.013,-0.021,0.059,0.999,0.721,0.205,-0.534
62,0.002,0.0,-0.013,-0.021,0.059,0.999,0.711,0.214,-0.538
63,0.002,-0.002,-0.013,-0.021,0.059,1.0,0.715,0.21,-0.538
64,0.002,-0.001,-0.013,-0.021,0.059,1.0,0.712,0.207,-0.54
65,0.002,0.0,-0.014,-0.021,0.059,1.0,0.715,0.208,-0.531
66,0.002,-0.001,-0.013,-0.022,0.059,1.0,0.717,0.214,-0.535
67,0.002,-0.001,-0.013,-0.021,0.059,0.999,0.711,0.216,-0.535
68,0.002,0.0,-0.013,-0.022,0.059,0.999,0.727,0.21,-0.535
69,0.002,0.0,-0.013,-0.021,0.059,1.0,0.711,0.214,-0.534
70,0.002,-0.001,-0.013,-0.02,0.059,1.0,0.717,0.21,-0.529
71,0.002,-0.002,-0.013,-0.021,0.059,1.0,0.715,0.214,-0.526
72,0.002,0.0,-0.014,-0.021,0.059,1.0,0.715,0.21,-0.528
73,0.002,-0.001,-0.013,-0.021,0.059,1.0,0.724,0.213,-0.531
74,0.002,-0.001,-0.013,-0.021,0.059,1.0,0.715,0.211,-0.529
75,0.002,0.0,-0.014,-0.021,0.059,1.0,0.717,0.21,-0.538
76,0.002,-0.002,-0.013,-0.021,0.059,1.0,0.715,0.21,-0.528
77,0.002,-0.002,-0.013,-0.021,0.059,0.999,0.712,0.216,-0.541
78,0.002,0.0,-0.013,-0.021,0.059,0.999,0.712,0.216,-0.541
79,0.002,0.0,-0.013,-0.021,0.059,0.999,0.717,0.214,-0.519
80,0.002,0.0,-0.013,-0.021,0.059,0.999,0.709,0.228,-0.529
81,0.002,0.0,-0.014,-0.021,0.058,1.0,0.703,0.204,-0.523
82,0.002,0.0,-0.013,-0.021,0.059,1.0,0.703,0.204,-0.523
83,0.002,-0.001,-0.013,-0.021,0.059,1.0,0.708,0.216,-0.538
