,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.354,0.028,-0.607
1,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
2,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
3,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
4,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
5,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
6,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
7,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
8,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
9,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
10,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
11,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
12,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
13,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
14,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
15,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
16,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
17,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
18,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
19,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
20,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
21,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
22,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
23,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
24,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
25,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
26,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
27,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
28,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
29,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
30,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
31,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
32,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
33,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
34,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
35,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
36,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
37,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
38,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
39,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
40,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
41,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
42,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
43,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
44,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
45,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
46,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
47,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
48,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
49,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
50,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
51,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
52,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
53,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
54,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
55,0.002,-0.001,-0.013,-0.003,0.007,0.999,0.322,0.024,-0.597
56,0.002,-0.002,-0.012,-0.003,0.004,1.002,0.322,0.024,-0.597
57,0.002,0.0,-0.014,-0.003,0.004,1.002,0.348,0.021,-0.6
58,0.002,-0.001,-0.014,-0.005,0.003,1.001,0.348,0.021,-0.6
59,0.001,-0.001,-0.014,-0.001,0.007,0.999,0.342,0.016,-0.607
60,0.002,0.0,-0.014,-0.001,0.006,1.0,0.34,0.018,-0.586
61,0.002,0.0,-0.014,-0.005,0.005,1.001,0.34,0.006,-0.586
62,0.002,-0.001,-0.014,-0.007,0.005,1.0,0.367,0.027,-0.6
