,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.001,-0.002,-0.008,-0.006,0.008,0.994,0.7,0.186,-0.544
1,0.001,-0.002,-0.008,-0.006,0.008,0.994,0.7,0.186,-0.544
2,0.001,-0.002,-0.008,-0.006,0.008,0.994,0.7,0.186,-0.544
3,0.002,-0.002,-0.008,-0.006,0.008,0.994,0.708,0.187,-0.544
4,0.002,0.0,-0.008,-0.007,0.008,0.997,0.694,0.189,-0.553
5,0.002,0.0,-0.009,-0.007,0.007,0.997,0.694,0.189,-0.553
6,0.002,0.0,-0.009,-0.007,0.005,0.998,0.717,0.187,-0.538
7,0.002,-0.002,-0.008,-0.009,0.008,0.998,0.72,0.18,-0.546
8,0.001,-0.002,-0.008,-0.009,0.008,0.998,0.718,0.184,-0.52
9,0.001,-0.002,-0.008,-0.007,0.007,0.998,0.697,0.198,-0.528
10,0.002,-0.003,-0.009,-0.007,0.007,0.996,0.697,0.205,-0.534
11,0.002,-0.002,-0.009,-0.007,0.008,0.997,0.703,0.202,-0.546
12,0.002,-0.002,-0.009,-0.007,0.008,0.998,0.712,0.198,-0.52
13,0.002,-0.001,-0.009,-0.008,0.007,0.997,0.699,0.189,-0.534
14,0.002,-0.002,-0.007,-0.005,0.008,0.998,0.697,0.181,-0.534
15,0.002,-0.002,-0.008,-0.003,0.007,0.998,0.699,0.169,-0.532
16,0.002,0.0,-0.008,-0.005,0.006,0.998,0.69,0.184,-0.553
17,0.002,0.0,-0.009,-0.008,0.006,0.999,0.708,0.195,-0.541
18,0.002,-0.001,-0.007,-0.006,0.008,0.996,0.688,0.184,-0.525
19,0.002,-0.002,-0.007,-0.005,0.008,0.996,0.723,0.177,-0.549
20,0.002,-0.002,-0.008,-0.007,0.006,0.999,0.723,0.177,-0.549
21,0.002,-0.002,-0.009,-0.007,0.007,0.999,0.703,0.196,-0.532
22,0.002,-0.003,-0.008,-0.007,0.008,0.999,0.7,0.19,-0.523
23,0.002,-0.002,-0.009,-0.007,0.007,0.998,0.708,0.187,-0.531
24,0.002,-0.002,-0.007,-0.008,0.008,0.998,0.7,0.195,-0.547
25,0.001,-0.002,-0.008,-0.008,0.008,0.998,0.723,0.186,-0.52
26,0.002,0.0,-0.008,-0.008,0.008,0.998,0.702,0.192,-0.558
27,0.002,0.0,-0.008,-0.008,0.008,0.998,0.706,0.213,-0.538
28,0.002,-0.001,-0.009,-0.009,0.006,0.997,0.718,0.183,-0.543
29,0.002,-0.001,-0.008,-0.009,0.005,0.996,0.708,0.201,-0.54
30,0.002,-0.001,-0.008,-0.007,0.006,0.999,0.702,0.208,-0.544
31,0.002,0.0,-0.007,-0.008,0.007,0.999,0.732,0.193,-0.531
32,0.002,0.0,-0.009,-0.005,0.008,0.996,0.708,0.187,-0.519
33,0.001,0.0,-0.009,-0.005,0.007,0.996,0.708,0.187,-0.519
34,0.002,-0.001,-0.008,-0.006,0.006,0.998,0.714,0.201,-0.526
35,0.002,-0.002,-0.008,-0.005,0.007,0.998,0.709,0.183,-0.532
36,0.001,-0.001,-0.009,-0.007,0.007,0.996,0.724,0.19,-0.54
37,0.001,0.0,-0.007,-0.008,0.007,0.998,0.693,0.195,-0.543
38,0.002,0.0,-0.008,-0.008,0.006,0.999,0.718,0.208,-0.538
39,0.002,0.0,-0.008,-0.008,0.006,0.999,0.706,0.19,-0.523
40,0.001,-0.001,-0.008,-0.008,0.008,0.998,0.712,0.193,-0.541
41,0.002,0.0,-0.008,-0.008,0.006,0.997,0.676,0.165,-0.532
42,0.002,0.0,-0.009,-0.007,0.007,0.997,0.709,0.196,-0.534
43,0.0,-0.001,-0.009,-0.007,0.007,0.997,0.711,0.196,-0.537
44,0.002,-0.001,-0.008,-0.007,0.007,0.999,0.699,0.192,-0.544
45,0.002,-0.002,-0.008,-0.008,0.007,1.0,0.712,0.193,-0.543
46,0.001,-0.002,-0.007,-0.007,0.008,0.999,0.724,0.201,-0.529
47,0.002,-0.001,-0.007,-0.007,0.007,0.998,0.724,0.201,-0.529
48,0.002,-0.001,-0.009,-0.006,0.007,0.998,0.706,0.201,-0.544
49,0.002,-0.002,-0.008,-0.004,0.008,0.999,0.706,0.189,-0.546
50,0.002,0.0,-0.008,-0.007,0.007,0.998,0.696,0.198,-0.532
51,0.002,0.0,-0.009,-0.009,0.008,0.996,0.708,0.196,-0.544
52,0.002,0.0,-0.009,-0.007,0.008,0.998,0.721,0.193,-0.535
53,0.002,0.0,-0.009,-0.007,0.005,0.999,0.697,0.19,-0.537
54,0.002,0.0,-0.008,-0.008,0.007,0.997,0.717,0.192,-0.538
55,0.001,-0.002,-0.009,-0.008,0.009,0.997,0.699,0.193,-0.535
56,0.001,-0.001,-0.008,-0.008,0.007,0.999,0.739,0.204,-0.555
57,0.002,-0.001,-0.008,-0.008,0.005,1.0,0.694,0.189,-0.547
58,0.002,-0.001,-0.007,-0.009,0.009,0.998,0.715,0.198,-0.531
59,0.001,0.0,-0.008,-0.007,0.01,1.0,0.714,0.181,-0.54
60,0.002,-0.002,-0.007,-0.006,0.008,0.997,0.702,0.189,-0.543
61,0.001,0.0,-0.009,-0.006,0.008,0.997,0.717,0.205,-0.556
62,0.001,-0.002,-0.009,-0.005,0.006,0.997,0.697,0.172,-0.529
63,0.001,-0.001,-0.009,-0.009,0.005,0.997,0.697,0.172,-0.529
64,0.002,-0.001,-0.008,-0.011,0.007,0.998,0.7,0.192,-0.558
65,0.001,-0.001,-0.009,-0.009,0.009,0.999,0.7,0.189,-0.528
66,0.001,-0.001,-0.009,-0.007,0.009,0.999,0.711,0.193,-0.526
67,0.002,-0.002,-0.009,-0.006,0.01,0.998,0.703,0.21,-0.534
68,0.002,-0.001,-0.009,-0.006,0.01,0.999,0.705,0.18,-0.555
69,0.001,-0.001,-0.009,-0.006,0.008,1.0,0.715,0.202,-0.522
70,0.002,-0.002,-0.008,-0.006,0.007,0.999,0.697,0.181,-0.549
71,0.002,-0.001,-0.007,-0.005,0.007,1.0,0.7,0.198,-0.562
72,0.002,-0.002,-0.007,-0.005,0.007,1.0,0.715,0.193,-0.534
73,0.001,-0.002,-0.007,-0.007,0.008,1.0,0.724,0.178,-0.538
74,0.001,-0.002,-0.008,-0.009,0.008,0.998,0.715,0.199,-0.543
75,0.002,-0.002,-0.009,-0.009,0.008,0.998,0.715,0.177,-0.544
76,0.003,-0.002,-0.009,-0.009,0.007,0.998,0.694,0.177,-0.538
77,0.002,-0.001,-0.009,-0.008,0.005,0.996,0.72,0.192,-0.556
78,0.002,-0.002,-0.008,-0.008,0.005,0.996,0.715,0.192,-0.54
79,0.002,-0.003,-0.008,-0.009,0.007,0.998,0.715,0.192,-0.54
80,0.002,-0.002,-0.008,-0.007,0.007,1.0,0.715,0.192,-0.547
81,0.002,-0.002,-0.009,-0.007,0.007,0.999,0.721,0.18,-0.54
82,0.001,0.0,-0.009,-0.01,0.008,0.999,0.679,0.186,-0.535
83,0.002,0.0,-0.009,-0.01,0.008,0.998,0.705,0.184,-0.547
84,0.002,-0.002,-0.008,-0.008,0.007,0.997,0.705,0.193,-0.541
85,0.002,-0.002,-0.008,-0.007,0.005,0.998,0.703,0.19,-0.562
86,0.002,-0.003,-0.007,-0.007,0.006,0.999,0.726,0.184,-0.519
87,0.001,-0.002,-0.009,-0.007,0.008,0.994,0.699,0.196,-0.55
88,0.001,-0.002,-0.007,-0.009,0.01,0.994,0.732,0.162,-0.547
89,0.002,0.0,-0.008,-0.011,0.012,0.996,0.708,0.196,-0.523
90,0.002,-0.001,-0.009,-0.008,0.009,0.994,0.7,0.211,-0.535
91,0.003,0.0,-0.009,-0.007,0.006,0.996,0.712,0.201,-0.546
92,0.001,0.0,-0.009,-0.009,0.008,1.0,0.697,0.177,-0.549
93,0.001,-0.002,-0.008,-0.008,0.009,1.0,0.727,0.21,-0.547
94,0.001,-0.001,-0.008,-0.007,0.008,0.999,0.715,0.21,-0.531
95,0.002,-0.001,-0.009,-0.01,0.007,0.999,0.705,0.195,-0.535
96,0.001,-0.001,-0.009,-0.01,0.007,0.999,0.703,0.177,-0.528
97,0.002,-0.002,-0.009,-0.008,0.008,0.999,0.703,0.177,-0.528
98,0.002,0.0,-0.008,-0.006,0.008,0.999,0.708,0.195,-0.55
99,0.001,-0.001,-0.008,-0.007,0.008,1.0,0.699,0.183,-0.51
100,0.002,-0.002,-0.008,-0.008,0.009,1.001,0.69,0.201,-0.529
101,0.002,-0.001,-0.008,-0.009,0.008,0.999,0.712,0.205,-0.549
102,0.002,0.0,-0.008,-0.008,0.007,0.999,0.705,0.21,-0.517
103,0.001,0.0,-0.008,-0.007,0.007,0.999,0.709,0.178,-0.547
104,0.001,-0.002,-0.008,-0.01,0.006,0.998,0.721,0.202,-0.556
105,0.003,-0.002,-0.008,-0.008,0.007,0.999,0.715,0.192,-0.544
106,0.002,-0.001,-0.008,-0.007,0.007,0.999,0.697,0.192,-0.514
107,0.002,-0.002,-0.008,-0.008,0.005,0.998,0.714,0.196,-0.547
108,0.002,-0.002,-0.008,-0.01,0.004,0.999,0.714,0.196,-0.547
109,0.002,-0.003,-0.009,-0.01,0.008,0.999,0.7,0.172,-0.546
110,0.002,-0.002,-0.008,-0.006,0.008,0.996,0.697,0.177,-0.529
111,0.001,0.0,-0.008,-0.005,0.007,0.995,0.697,0.177,-0.529
112,0.002,-0.001,-0.009,-0.007,0.007,0.998,0.705,0.177,-0.538
113,0.002,-0.002,-0.009,-0.006,0.007,0.999,0.702,0.18,-0.529
114,0.001,0.0,-0.009,-0.006,0.007,0.999,0.702,0.18,-0.529
115,0.002,-0.001,-0.008,-0.006,0.007,0.999,0.714,0.195,-0.537
116,0.002,0.0,-0.009,-0.007,0.005,0.997,0.709,0.186,-0.52
117,0.002,-0.001,-0.009,-0.007,0.003,0.998,0.705,0.187,-0.526
118,0.001,-0.002,-0.008,-0.008,0.006,0.997,0.715,0.181,-0.543
119,0.002,-0.002,-0.009,-0.008,0.01,0.998,0.688,0.18,-0.54
120,0.003,-0.001,-0.008,-0.006,0.009,0.999,0.703,0.184,-0.552
121,0.002,0.0,-0.008,-0.007,0.006,0.997,0.715,0.207,-0.537
122,0.002,0.0,-0.009,-0.01,0.007,0.999,0.715,0.19,-0.532
123,0.002,0.0,-0.009,-0.009,0.009,0.999,0.715,0.19,-0.532
124,0.002,-0.002,-0.008,-0.006,0.007,0.998,0.694,0.205,-0.532
125,0.002,-0.002,-0.009,-0.006,0.005,0.999,0.7,0.18,-0.55
126,0.002,-0.001,-0.009,-0.008,0.006,0.999,0.694,0.168,-0.522
127,0.002,0.0,-0.008,-0.008,0.006,0.997,0.721,0.187,-0.525
128,0.002,-0.001,-0.007,-0.007,0.005,0.997,0.697,0.198,-0.547
129,0.001,-0.001,-0.008,-0.007,0.006,0.998,0.7,0.183,-0.559
130,0.002,-0.002,-0.008,-0.009,0.006,0.997,0.709,0.187,-0.541
131,0.002,0.0,-0.008,-0.009,0.006,0.997,0.702,0.195,-0.517
132,0.002,0.0,-0.009,-0.009,0.007,0.998,0.693,0.177,-0.531
133,0.002,0.0,-0.009,-0.009,0.007,0.999,0.717,0.202,-0.54
134,0.002,-0.001,-0.009,-0.009,0.008,1.0,0.706,0.193,-0.541
135,0.002,0.0,-0.008,-0.008,0.007,0.999,0.705,0.181,-0.538
136,0.002,0.0,-0.008,-0.006,0.008,0.999,0.72,0.184,-0.535
137,0.002,-0.001,-0.009,-0.004,0.008,0.998,0.706,0.189,-0.523
138,0.001,-0.002,-0.008,-0.006,0.007,0.998,0.706,0.189,-0.523
139,0.002,-0.001,-0.008,-0.008,0.007,0.997,0.694,0.198,-0.538
140,0.001,-0.001,-0.009,-0.005,0.007,0.997,0.709,0.198,-0.555
141,0.001,-0.002,-0.008,-0.005,0.008,0.999,0.711,0.181,-0.532
142,0.002,-0.002,-0.008,-0.006,0.007,0.998,0.705,0.192,-0.517
143,0.002,-0.002,-0.008,-0.005,0.008,0.998,0.712,0.192,-0.546
144,0.002,-0.002,-0.007,-0.005,0.009,0.998,0.72,0.21,-0.532
145,0.002,0.0,-0.008,-0.006,0.01,1.0,0.696,0.195,-0.523
146,0.001,-0.001,-0.008,-0.009,0.009,0.999,0.721,0.187,-0.525
147,0.002,-0.001,-0.007,-0.009,0.009,0.997,0.712,0.192,-0.54
148,0.003,-0.002,-0.007,-0.006,0.007,0.999,0.706,0.216,-0.55
