,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.1,-3.6,1.0,-0.029,-0.031,1.04,0.198,0.036,-0.687
2,-1.1,-3.5,1.1,-0.024,-0.016,1.036,0.205,0.036,-0.694
3,-1.1,-3.5,1.2,-0.033,-0.035,1.038,0.216,0.03,-0.706
4,-1.2,-3.6,0.9,-0.032,-0.025,1.036,0.201,0.033,-0.699
5,-1.1,-3.2,1.1,-0.029,-0.027,1.038,0.196,0.031,-0.699
6,-1.1,-3.7,1.0,-0.03,-0.034,1.04,0.201,0.034,-0.694
7,-1.1,-3.5,0.9,-0.032,-0.023,1.04,0.202,0.033,-0.693
8,-1.1,-3.2,1.1,-0.034,-0.034,1.036,0.19,0.028,-0.693
9,-1.2,-3.5,1.0,-0.027,-0.025,1.037,0.207,0.031,-0.699
10,-1.1,-3.5,0.9,-0.031,-0.029,1.038,0.201,0.028,-0.7
11,-1.1,-3.5,1.0,-0.034,-0.029,1.038,0.193,0.028,-0.694
12,-1.1,-3.5,1.1,-0.03,-0.026,1.037,0.193,0.03,-0.7
13,-1.1,-3.5,1.1,-0.03,-0.032,1.039,0.205,0.025,-0.694
14,-1.2,-3.7,1.0,-0.029,-0.026,1.04,0.198,0.034,-0.696
15,-1.1,-3.7,1.1,-0.035,-0.03,1.038,0.199,0.025,-0.697
16,-1.2,-3.5,0.9,-0.031,-0.029,1.039,0.199,0.036,-0.699
17,-1.1,-3.5,1.0,-0.028,-0.026,1.036,0.204,0.03,-0.696
18,-1.1,-3.4,1.1,-0.031,-0.031,1.036,0.205,0.027,-0.69
19,-1.1,-3.5,1.0,-0.033,-0.026,1.038,0.204,0.037,-0.693
20,-1.1,-3.5,1.0,-0.027,-0.029,1.039,0.193,0.031,-0.697
21,-1.2,-3.5,1.1,-0.03,-0.027,1.036,0.202,0.031,-0.703
22,-1.1,-3.5,1.1,-0.033,-0.028,1.039,0.198,0.033,-0.694
23,-1.1,-3.5,1.0,-0.03,-0.029,1.037,0.201,0.033,-0.697
24,-1.1,-3.2,1.1,-0.027,-0.027,1.036,0.202,0.034,-0.702
25,-1.1,-3.4,1.0,-0.033,-0.03,1.038,0.207,0.031,-0.7
26,-1.2,-3.6,1.0,-0.032,-0.028,1.039,0.196,0.03,-0.699
27,-1.1,-3.5,1.1,-0.028,-0.028,1.039,0.204,0.034,-0.7
28,-1.1,-3.7,1.1,-0.029,-0.029,1.04,0.21,0.033,-0.699
29,-1.1,-3.6,1.0,-0.032,-0.029,1.041,0.198,0.027,-0.699
30,-1.1,-3.5,1.0,-0.031,-0.029,1.038,0.207,0.027,-0.697
31,-1.1,-3.6,1.0,-0.028,-0.028,1.04,0.208,0.025,-0.699
32,-1.1,-3.6,1.1,-0.032,-0.029,1.039,0.201,0.042,-0.69
33,-1.2,-3.4,1.1,-0.031,-0.028,1.038,0.205,0.034,-0.696
34,-1.1,-3.5,1.0,-0.028,-0.029,1.037,0.204,0.028,-0.696
35,-1.1,-3.5,1.0,-0.03,-0.028,1.04,0.208,0.036,-0.699
36,-1.1,-3.5,1.0,-0.035,-0.028,1.04,0.207,0.028,-0.684
37,-1.1,-3.5,0.9,-0.029,-0.029,1.039,0.198,0.036,-0.694
38,-1.1,-3.4,1.0,-0.029,-0.027,1.037,0.211,0.031,-0.694
39,-1.1,-3.5,1.1,-0.033,-0.029,1.038,0.201,0.033,-0.69
40,-1.1,-3.5,0.9,-0.031,-0.027,1.037,0.199,0.033,-0.693
41,-1.1,-3.5,1.1,-0.028,-0.028,1.039,0.202,0.033,-0.69
42,-1.1,-3.5,1.1,-0.032,-0.029,1.039,0.196,0.027,-0.696
43,-1.1,-3.5,1.0,-0.032,-0.027,1.04,0.201,0.039,-0.702
44,-1.1,-3.4,1.0,-0.028,-0.028,1.038,0.199,0.031,-0.696
45,-1.1,-3.7,1.1,-0.029,-0.027,1.04,0.201,0.028,-0.7
46,-1.1,-3.4,0.9,-0.033,-0.029,1.039,0.202,0.037,-0.703
47,-1.1,-3.5,1.0,-0.031,-0.028,1.039,0.199,0.03,-0.7
48,-1.2,-3.7,1.1,-0.029,-0.029,1.039,0.196,0.03,-0.705
49,-1.1,-3.5,0.9,-0.031,-0.029,1.039,0.199,0.036,-0.696
50,-1.1,-3.4,0.9,-0.03,-0.027,1.039,0.202,0.036,-0.694
51,-1.1,-3.5,1.0,-0.031,-0.028,1.039,0.205,0.033,-0.696
52,-1.2,-3.5,1.1,-0.031,-0.028,1.039,0.201,0.036,-0.696
53,-1.1,-3.4,1.0,-0.031,-0.028,1.036,0.199,0.027,-0.702
54,-1.1,-3.2,0.9,-0.027,-0.028,1.038,0.198,0.033,-0.699
55,-1.1,-3.4,0.9,-0.033,-0.029,1.039,0.202,0.028,-0.702
56,-1.1,-3.6,1.0,-0.033,-0.029,1.04,0.199,0.033,-0.699
57,-1.1,-3.5,1.1,-0.029,-0.028,1.037,0.198,0.027,-0.699
58,-1.1,-3.6,1.1,-0.03,-0.029,1.04,0.204,0.027,-0.697
59,-1.1,-3.5,1.0,-0.032,-0.028,1.038,0.204,0.025,-0.7
60,-1.1,-3.5,1.1,-0.03,-0.029,1.039,0.201,0.031,-0.696
61,-1.1,-3.6,1.0,-0.029,-0.028,1.038,0.202,0.025,-0.697
62,-1.1,-3.4,1.0,-0.03,-0.028,1.038,0.201,0.03,-0.696
63,-1.1,-3.5,1.0,-0.032,-0.03,1.039,0.207,0.028,-0.699
64,-1.1,-3.5,1.0,-0.03,-0.026,1.037,0.204,0.028,-0.697
65,-1.1,-3.5,1.1,-0.03,-0.031,1.038,0.193,0.031,-0.694
66,-1.1,-3.5,1.0,-0.033,-0.028,1.037,0.201,0.027,-0.709
67,-1.1,-3.6,0.8,-0.03,-0.03,1.039,0.196,0.022,-0.697
68,-0.9,-4.7,1.0,-0.027,-0.027,1.041,0.207,0.031,-0.702
69,-1.3,-3.5,1.0,-0.031,-0.029,1.032,0.205,0.028,-0.705
70,-1.4,-3.3,1.8,-0.029,-0.025,1.038,0.192,0.034,-0.691
71,-1.2,-3.5,1.3,-0.028,-0.029,1.038,0.199,0.027,-0.69
72,-1.1,-3.5,1.0,-0.03,-0.029,1.036,0.205,0.034,-0.706
73,-1.3,-3.5,1.2,-0.03,-0.027,1.038,0.205,0.027,-0.702
74,-1.4,-3.3,1.4,-0.03,-0.031,1.035,0.21,0.03,-0.697
75,-1.1,-3.5,0.7,-0.029,-0.029,1.037,0.204,0.034,-0.706
76,-1.1,-3.5,1.0,-0.029,-0.026,1.039,0.201,0.028,-0.697
77,-1.1,-3.4,0.7,-0.029,-0.032,1.039,0.201,0.037,-0.697
78,-1.1,-3.4,0.6,-0.027,-0.024,1.04,0.196,0.034,-0.697
79,-1.1,-3.4,1.1,-0.029,-0.029,1.039,0.196,0.033,-0.7
80,-1.2,-3.4,0.9,-0.029,-0.028,1.039,0.199,0.034,-0.694
81,-1.1,-3.5,1.0,-0.028,-0.027,1.038,0.202,0.036,-0.693
82,-1.1,-3.5,1.0,-0.033,-0.033,1.037,0.204,0.031,-0.697
83,-1.1,-3.5,1.1,-0.028,-0.024,1.036,0.202,0.034,-0.688
84,-1.2,-3.5,1.1,-0.028,-0.032,1.039,0.201,0.033,-0.697
85,-1.2,-3.4,1.0,-0.03,-0.027,1.038,0.196,0.025,-0.696
86,-1.2,-3.4,1.1,-0.031,-0.028,1.038,0.207,0.028,-0.696
87,-1.2,-3.5,1.1,-0.028,-0.03,1.037,0.205,0.034,-0.7
