,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.2,-3.2,0.9,-0.027,-0.025,1.035,0.19,0.025,-0.724
2,-1.2,-3.5,1.0,-0.026,-0.032,1.04,0.189,0.027,-0.726
3,-1.2,-3.5,0.9,-0.025,-0.027,1.037,0.192,0.025,-0.727
4,-1.3,-3.2,1.1,-0.026,-0.029,1.037,0.187,0.024,-0.715
5,-1.2,-3.6,1.0,-0.026,-0.03,1.036,0.189,0.025,-0.732
6,-1.2,-3.5,1.0,-0.023,-0.028,1.037,0.195,0.027,-0.724
7,-1.2,-3.3,1.0,-0.028,-0.03,1.035,0.178,0.027,-0.717
8,-1.1,-3.6,1.0,-0.026,-0.027,1.038,0.181,0.024,-0.729
9,-1.2,-3.3,1.1,-0.024,-0.028,1.035,0.178,0.025,-0.717
10,-1.3,-3.4,1.0,-0.025,-0.029,1.035,0.184,0.031,-0.72
11,-1.2,-3.5,0.9,-0.027,-0.029,1.035,0.192,0.031,-0.727
12,-1.2,-3.3,1.0,-0.024,-0.027,1.036,0.181,0.027,-0.726
13,-1.2,-3.5,1.1,-0.024,-0.027,1.035,0.178,0.028,-0.723
14,-1.1,-3.5,0.9,-0.025,-0.029,1.035,0.181,0.034,-0.724
15,-1.3,-3.2,1.0,-0.029,-0.028,1.034,0.187,0.034,-0.724
16,-1.2,-3.5,1.1,-0.025,-0.029,1.036,0.178,0.025,-0.724
17,-1.1,-3.4,1.0,-0.026,-0.029,1.036,0.183,0.028,-0.723
18,-1.1,-3.4,1.1,-0.027,-0.027,1.035,0.183,0.025,-0.711
19,-1.3,-3.4,1.0,-0.025,-0.03,1.036,0.19,0.028,-0.72
20,-1.2,-3.4,1.0,-0.023,-0.026,1.037,0.193,0.025,-0.729
21,-1.2,-3.4,1.0,-0.027,-0.03,1.036,0.18,0.03,-0.72
22,-1.3,-3.3,0.9,-0.025,-0.027,1.036,0.183,0.018,-0.727
23,-1.3,-3.4,1.0,-0.023,-0.029,1.035,0.183,0.036,-0.724
24,-1.4,-3.3,0.9,-0.026,-0.03,1.037,0.181,0.028,-0.72
25,-1.4,-3.4,0.9,-0.027,-0.027,1.036,0.186,0.03,-0.729
26,-1.3,-3.4,1.1,-0.025,-0.028,1.037,0.184,0.025,-0.727
27,-1.2,-3.5,1.4,-0.023,-0.028,1.038,0.181,0.025,-0.726
28,-1.2,-3.4,1.2,-0.027,-0.028,1.039,0.184,0.033,-0.721
29,-1.3,-3.5,1.1,-0.026,-0.03,1.039,0.183,0.037,-0.72
30,-1.3,-3.4,1.0,-0.024,-0.027,1.039,0.183,0.031,-0.72
31,-1.3,-3.4,0.9,-0.024,-0.031,1.04,0.186,0.027,-0.721
32,-1.2,-3.4,1.1,-0.024,-0.027,1.039,0.184,0.027,-0.729
33,-1.2,-3.4,1.0,-0.026,-0.03,1.041,0.178,0.022,-0.727
34,-1.3,-3.5,2.4,-0.029,-0.031,1.04,0.187,0.03,-0.727
35,-1.3,-3.3,1.1,-0.026,-0.03,1.04,0.187,0.027,-0.721
36,-1.1,-3.3,0.9,-0.025,-0.029,1.039,0.192,0.028,-0.726
37,-1.3,-3.4,1.1,-0.025,-0.025,1.039,0.19,0.033,-0.727
38,-1.7,-3.4,3.8,-0.037,-0.051,1.038,0.184,0.034,-0.729
39,-1.4,-3.4,2.0,-0.017,0.004,1.042,0.189,0.028,-0.723
40,-1.2,-3.7,1.8,0.001,-0.055,1.042,0.189,0.024,-0.727
41,-1.6,-3.6,0.7,-0.017,-0.061,1.045,0.183,0.028,-0.739
42,-1.1,-3.3,2.9,-0.038,0.021,1.041,0.192,0.036,-0.736
43,-1.6,-3.4,-1.5,-0.03,-0.042,1.049,0.174,0.018,-0.736
44,-0.4,-4.0,-3.7,-0.039,0.064,1.024,0.177,0.006,-0.753
45,-1.6,-2.7,-1.8,-0.008,-0.047,1.0,0.166,0.009,-0.753
46,0.3,-4.5,0.8,-0.023,0.001,1.034,0.148,0.013,-0.76
47,-1.8,-3.8,1.2,-0.024,0.015,1.069,0.136,0.007,-0.772
48,-3.2,-2.3,0.6,-0.009,0.033,0.996,0.115,0.007,-0.763
49,-2.0,-1.5,3.0,-0.029,0.016,1.033,0.102,-0.006,-0.756
50,-2.2,-2.8,2.1,-0.088,-0.149,1.013,0.079,-0.013,-0.724
51,-0.7,-3.7,0.7,-0.041,-0.097,1.054,0.081,-0.018,-0.703
52,-1.4,-2.8,0.4,-0.044,-0.152,1.032,0.069,-0.013,-0.673
53,-1.2,-3.4,0.7,-0.022,-0.128,1.048,0.061,-0.018,-0.642
54,-1.1,-3.4,1.0,-0.013,-0.09,1.034,0.06,-0.03,-0.637
55,-1.3,-3.2,0.7,-0.026,-0.03,1.036,0.063,-0.027,-0.639
56,-1.2,-3.2,0.6,-0.025,-0.026,1.037,0.055,-0.027,-0.634
57,-1.3,-3.2,1.1,-0.024,-0.029,1.039,0.055,-0.025,-0.643
58,-1.3,-3.2,1.1,-0.024,-0.026,1.039,0.055,-0.031,-0.648
59,-1.3,-3.3,1.1,-0.027,-0.027,1.038,0.058,-0.037,-0.637
60,-1.3,-3.3,1.1,-0.026,-0.029,1.037,0.06,-0.033,-0.639
61,-1.3,-3.3,0.9,-0.024,-0.028,1.037,0.055,-0.03,-0.643
62,-1.3,-3.2,0.9,-0.025,-0.028,1.039,0.057,-0.03,-0.637
63,-1.4,-3.3,1.0,-0.025,-0.027,1.037,0.055,-0.031,-0.634
64,-1.2,-3.3,1.0,-0.025,-0.028,1.038,0.055,-0.03,-0.649
65,-0.9,-3.5,1.0,-0.022,-0.062,1.037,0.051,-0.034,-0.645
66,-1.0,-3.7,0.8,-0.02,-0.12,1.037,0.06,-0.024,-0.649
67,-1.1,-3.2,0.9,-0.031,-0.084,1.039,0.061,-0.031,-0.657
68,-1.0,-3.6,1.1,-0.015,-0.006,1.044,0.049,-0.024,-0.661
69,6.7,-19.6,0.7,-0.047,-0.043,1.052,0.058,-0.016,-0.679
70,-3.1,-1.4,1.4,-0.081,-0.072,1.044,0.067,-0.028,-0.676
71,-2.7,-2.2,1.5,-0.013,-0.083,1.043,0.061,-0.021,-0.685
72,-0.7,-3.8,-0.2,-0.008,-0.108,1.041,0.066,-0.022,-0.703
73,6.3,-14.5,0.0,-0.022,-0.14,1.048,0.063,-0.018,-0.705
74,-0.5,-3.5,3.0,-0.017,-0.004,1.038,0.063,-0.022,-0.711
75,-4.9,1.0,1.1,-0.015,-0.389,1.037,0.072,-0.019,-0.73
76,-1.1,-3.9,0.9,-0.029,0.153,1.048,0.067,-0.004,-0.73
77,-1.1,-4.0,1.0,-0.03,-0.087,1.033,0.069,-0.006,-0.732
78,-1.0,-3.5,0.7,-0.036,0.101,1.046,0.076,-0.009,-0.747
79,-1.9,-3.4,0.4,-0.017,0.16,1.04,0.079,-0.01,-0.757
