,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.0,-3.3,1.0,0.019,-0.029,1.039,-0.238,-0.043,-1.135
2,-1.0,-3.4,1.0,0.017,-0.027,1.04,-0.238,-0.054,-1.134
3,-0.9,-3.4,1.1,0.019,-0.028,1.041,-0.24,-0.043,-1.132
4,-1.0,-3.5,1.0,0.016,-0.03,1.041,-0.238,-0.043,-1.129
5,-0.9,-3.3,0.9,0.024,-0.024,1.042,-0.235,-0.045,-1.122
6,-1.0,-3.3,1.1,0.017,-0.026,1.039,-0.234,-0.043,-1.126
7,-1.0,-3.4,0.9,0.016,-0.032,1.04,-0.235,-0.045,-1.126
8,-1.0,-3.3,1.0,0.023,-0.024,1.043,-0.232,-0.04,-1.129
9,-1.0,-3.4,1.0,0.015,-0.026,1.042,-0.237,-0.042,-1.135
10,-1.1,-3.4,0.9,0.02,-0.033,1.04,-0.237,-0.046,-1.132
11,-0.9,-3.4,0.9,0.023,-0.028,1.04,-0.229,-0.045,-1.137
12,-1.0,-3.3,1.1,0.02,-0.025,1.043,-0.235,-0.045,-1.138
13,-1.0,-3.3,1.1,0.018,-0.03,1.043,-0.24,-0.042,-1.119
14,-1.0,-3.4,1.0,0.016,-0.029,1.04,-0.229,-0.049,-1.138
15,-1.0,-3.4,1.0,0.02,-0.027,1.041,-0.225,-0.04,-1.132
16,-1.0,-3.4,1.0,0.019,-0.029,1.041,-0.241,-0.043,-1.132
17,-0.9,-3.4,0.9,0.015,-0.027,1.039,-0.232,-0.043,-1.123
18,-0.9,-3.4,0.9,0.023,-0.027,1.042,-0.244,-0.042,-1.125
19,-1.0,-3.4,1.1,0.022,-0.031,1.039,-0.229,-0.045,-1.126
20,-0.9,-3.4,1.0,0.016,-0.028,1.042,-0.241,-0.043,-1.132
21,-0.9,-3.4,1.0,0.022,-0.023,1.042,-0.223,-0.046,-1.128
22,-1.0,-3.3,0.9,0.019,-0.029,1.041,-0.238,-0.048,-1.122
23,-0.9,-3.4,0.9,0.02,-0.03,1.041,-0.24,-0.049,-1.128
24,-0.9,-3.5,1.0,0.02,-0.024,1.041,-0.241,-0.052,-1.132
25,-0.9,-3.5,1.1,0.022,-0.031,1.043,-0.232,-0.039,-1.126
26,-1.0,-3.4,0.9,0.015,-0.026,1.041,-0.234,-0.048,-1.129
27,-1.0,-3.5,1.0,0.02,-0.026,1.043,-0.238,-0.043,-1.122
28,-1.0,-3.3,1.0,0.028,-0.032,1.039,-0.235,-0.042,-1.135
29,-1.0,-3.3,1.1,0.013,-0.025,1.041,-0.243,-0.04,-1.125
30,-1.0,-3.4,1.0,0.021,-0.029,1.041,-0.235,-0.043,-1.125
31,-1.0,-3.3,1.1,0.023,-0.027,1.041,-0.222,-0.043,-1.129
32,-1.0,-3.3,1.0,0.013,-0.026,1.042,-0.237,-0.046,-1.123
33,-1.1,-3.4,1.0,0.018,-0.029,1.039,-0.235,-0.042,-1.132
34,-0.9,-3.3,1.0,0.025,-0.025,1.04,-0.234,-0.04,-1.126
35,-0.9,-3.4,1.0,0.016,-0.027,1.041,-0.231,-0.046,-1.131
36,-1.0,-3.3,0.9,0.021,-0.028,1.041,-0.25,-0.048,-1.122
37,-0.9,-3.4,1.1,0.02,-0.025,1.043,-0.234,-0.037,-1.137
38,-1.1,-3.3,0.9,0.019,-0.031,1.041,-0.229,-0.045,-1.132
39,-1.0,-3.4,1.0,0.02,-0.025,1.042,-0.219,-0.043,-1.132
40,-1.0,-3.3,1.0,0.021,-0.027,1.041,-0.238,-0.049,-1.132
41,-1.0,-3.4,1.0,0.018,-0.03,1.041,-0.235,-0.042,-1.132
42,-0.9,-3.4,1.0,0.02,-0.025,1.042,-0.234,-0.037,-1.132
43,-1.0,-3.3,1.0,0.02,-0.028,1.042,-0.226,-0.042,-1.125
44,-1.1,-3.4,0.9,0.019,-0.026,1.042,-0.235,-0.042,-1.117
45,-1.0,-3.2,1.1,0.02,-0.028,1.042,-0.232,-0.052,-1.12
46,-0.9,-3.3,0.9,0.016,-0.03,1.042,-0.231,-0.042,-1.128
47,-0.9,-3.2,1.0,0.02,-0.026,1.041,-0.238,-0.051,-1.134
48,-1.1,-3.3,-1.1,0.02,-0.03,1.041,-0.238,-0.046,-1.126
49,-0.9,-3.0,0.9,0.017,-0.029,1.043,-0.24,-0.036,-1.126
50,-1.0,-3.2,1.2,0.022,-0.026,1.042,-0.232,-0.036,-1.129
51,-1.0,-2.9,1.2,0.017,-0.028,1.041,-0.223,-0.045,-1.131
52,-0.9,-3.2,1.1,0.02,-0.026,1.043,-0.238,-0.048,-1.128
53,-0.9,-3.2,1.1,0.019,-0.028,1.042,-0.229,-0.04,-1.126
54,-1.2,-3.2,3.2,0.013,-0.024,1.044,-0.24,-0.043,-1.128
55,-0.8,-3.1,1.1,0.019,-0.027,1.041,-0.234,-0.048,-1.131
56,-0.9,-3.2,1.3,0.021,-0.027,1.041,-0.235,-0.04,-1.125
57,-1.1,-3.3,0.9,0.017,-0.027,1.042,-0.232,-0.042,-1.123
58,-1.0,-3.2,1.0,0.017,-0.028,1.042,-0.234,-0.051,-1.131
59,-1.0,-3.2,1.2,0.018,-0.024,1.042,-0.237,-0.048,-1.117
60,-1.1,-3.3,2.0,0.021,-0.029,1.039,-0.234,-0.051,-1.126
61,-1.3,-3.2,2.0,0.017,-0.028,1.041,-0.232,-0.04,-1.14
62,-0.8,-3.3,1.4,0.02,-0.027,1.044,-0.231,-0.043,-1.122
63,-0.8,-3.4,6.7,0.019,-0.026,1.043,-0.232,-0.046,-1.126
64,-0.7,-3.6,9.6,0.013,-0.06,1.038,-0.234,-0.051,-1.129
65,-0.5,-3.3,1.7,0.02,-0.03,1.042,-0.231,-0.042,-1.117
66,-0.9,-2.9,1.1,0.021,-0.027,1.044,-0.225,-0.045,-1.126
67,-0.9,-3.0,0.9,0.015,-0.028,1.043,-0.237,-0.054,-1.134
68,-0.9,-3.2,0.9,0.02,-0.028,1.041,-0.235,-0.055,-1.135
69,-0.8,-2.7,1.1,0.021,-0.027,1.042,-0.247,-0.04,-1.131
70,-0.5,-3.0,0.0,0.015,-0.028,1.045,-0.244,-0.052,-1.131
71,0.3,-3.5,0.2,0.018,-0.028,1.044,-0.225,-0.04,-1.126
72,-0.5,-2.1,1.4,0.022,-0.026,1.043,-0.234,-0.049,-1.131
73,0.2,-1.8,0.4,0.016,-0.023,1.044,-0.237,-0.058,-1.129
74,3.7,-4.5,0.9,0.018,-0.023,1.042,-0.235,-0.051,-1.12
75,0.3,-3.9,0.1,0.019,-0.017,1.045,-0.235,-0.052,-1.128
76,-0.7,-4.0,0.9,0.023,-0.016,1.042,-0.238,-0.052,-1.122
77,-0.2,-4.8,0.8,0.021,-0.017,1.044,-0.232,-0.051,-1.128
78,-0.3,-4.6,1.5,0.024,-0.015,1.042,-0.241,-0.049,-1.126
79,-0.7,-3.5,2.3,0.026,-0.016,1.042,-0.232,-0.051,-1.122
80,-1.3,-3.4,1.7,0.023,-0.016,1.044,-0.228,-0.058,-1.129
81,-0.9,-3.6,1.5,0.025,-0.017,1.043,-0.24,-0.054,-1.125
82,-0.7,-3.9,1.5,0.025,-0.014,1.042,-0.238,-0.048,-1.131
83,-0.7,-3.5,2.3,0.024,-0.017,1.043,-0.244,-0.052,-1.117
84,-0.9,-3.2,1.9,0.029,-0.017,1.043,-0.241,-0.052,-1.116
85,-1.1,-3.0,3.5,0.029,-0.012,1.051,-0.234,-0.052,-1.135
86,-19.1,-26.6,8.9,0.073,0.032,0.978,-0.249,-0.064,-1.125
87,-26.4,23.9,7.0,0.055,0.052,1.022,-0.235,-0.058,-1.143
88,2.5,21.4,17.6,0.063,0.069,0.969,-0.228,-0.061,-1.132
89,12.8,12.7,8.1,0.006,0.102,1.075,-0.225,-0.043,-1.135
90,3.1,8.4,-3.9,-0.008,0.112,0.972,-0.228,-0.04,-1.129
91,9.1,-21.4,11.6,0.008,-0.003,0.962,-0.231,-0.04,-1.125
92,21.8,-21.0,6.3,-0.011,0.12,1.118,-0.237,-0.039,-1.12
93,16.1,-1.4,-17.5,-0.02,0.038,0.83,-0.229,-0.045,-1.114
94,3.0,-25.9,-6.4,0.008,0.059,0.733,-0.234,-0.042,-1.114
95,6.2,-13.3,-3.8,0.025,-0.006,0.821,-0.241,-0.033,-1.119
96,6.9,-17.8,-9.5,0.012,-0.007,0.665,-0.243,-0.031,-1.125
97,-11.0,-50.9,-5.6,-0.132,0.034,0.922,-0.244,-0.031,-1.122
98,-26.1,-43.1,-0.2,0.031,-0.06,0.621,-0.244,-0.045,-1.107
99,3.9,11.4,-1.5,0.107,-0.004,1.077,-0.228,-0.043,-1.111
100,8.8,2.1,0.0,0.074,0.111,0.996,-0.232,-0.043,-1.12
101,12.6,-2.3,-0.6,0.108,0.08,1.058,-0.231,-0.039,-1.113
102,16.3,-3.7,-4.4,0.048,0.101,1.037,-0.238,-0.034,-1.108
103,16.7,6.3,-4.3,0.076,0.089,0.996,-0.243,-0.037,-1.102
104,44.2,4.0,1.7,0.017,-0.018,1.009,-0.234,-0.028,-1.09
105,31.0,-0.8,11.8,0.104,0.011,1.159,-0.259,-0.03,-1.098
106,-12.3,-14.2,2.1,0.093,0.009,0.896,-0.256,-0.036,-1.099
107,2.2,-4.6,2.9,0.085,-0.053,0.931,-0.265,-0.034,-1.104
108,-9.6,20.9,9.5,0.055,-0.052,0.969,-0.252,-0.027,-1.104
109,-13.3,22.4,4.6,0.047,0.086,0.709,-0.264,-0.024,-1.114
110,-13.3,-15.6,-2.8,0.03,-0.104,0.532,-0.253,-0.03,-1.113
111,-18.1,-7.5,-0.6,-0.004,-0.185,0.919,-0.247,-0.024,-1.113
112,-24.5,-3.2,12.4,-0.012,0.061,0.911,-0.235,-0.028,-1.125
113,-39.6,-8.6,-2.5,0.012,-0.179,1.002,-0.234,-0.037,-1.125
114,-1.4,-3.5,1.1,0.017,-0.03,1.033,-0.216,-0.037,-1.125
115,-1.1,-3.2,0.9,0.018,-0.026,1.041,-0.211,-0.039,-1.135
116,-1.4,-3.3,0.9,0.015,-0.018,1.04,-0.223,-0.034,-1.131
117,-0.7,-3.2,0.9,0.018,-0.022,1.038,-0.223,-0.036,-1.132
118,-1.1,-3.4,1.0,0.018,-0.024,1.04,-0.217,-0.031,-1.131
119,-1.1,-3.6,1.1,0.015,-0.025,1.035,-0.211,-0.037,-1.128
120,-0.9,-3.3,0.9,0.018,-0.02,1.039,-0.214,-0.042,-1.129
121,-0.8,-3.2,0.7,0.014,-0.027,1.041,-0.22,-0.036,-1.132
122,-0.7,-3.1,0.8,0.016,-0.02,1.041,-0.213,-0.033,-1.128
123,-1.5,-3.6,0.5,0.015,-0.025,1.041,-0.214,-0.033,-1.134
124,-0.9,-3.4,0.5,0.015,-0.024,1.04,-0.222,-0.028,-1.125
125,-0.9,-3.4,0.2,0.023,-0.03,1.04,-0.214,-0.042,-1.122
126,-0.9,-2.8,-14.5,0.04,-0.03,1.041,-0.213,-0.031,-1.125
127,-0.7,-3.1,0.9,0.013,-0.009,1.037,-0.217,-0.031,-1.117
128,-1.0,-3.2,1.1,0.024,-0.028,1.042,-0.219,-0.037,-1.123
129,-1.1,-3.2,1.1,0.015,-0.029,1.041,-0.208,-0.033,-1.125
130,-1.0,-3.2,1.1,0.017,-0.017,1.04,-0.22,-0.028,-1.126
131,-1.1,-3.2,1.4,0.018,-0.027,1.039,-0.222,-0.033,-1.128
132,-1.0,-3.1,1.1,0.015,-0.024,1.039,-0.222,-0.031,-1.122
133,-0.9,-3.1,1.2,0.017,-0.019,1.038,-0.223,-0.028,-1.126
134,-1.0,-3.2,1.2,0.019,-0.025,1.041,-0.21,-0.036,-1.129
135,-1.1,-3.2,1.1,0.012,-0.021,1.037,-0.211,-0.033,-1.123
136,-1.2,-3.4,1.1,0.019,-0.029,1.039,-0.213,-0.033,-1.137
137,-0.8,-3.0,1.1,0.018,-0.018,1.035,-0.222,-0.027,-1.12
138,-1.0,-3.2,1.2,0.006,-0.025,1.034,-0.213,-0.033,-1.126
139,-1.0,-3.3,0.9,0.021,-0.029,1.036,-0.219,-0.031,-1.131
140,-1.4,-3.4,0.7,0.013,-0.016,1.03,-0.216,-0.037,-1.129
141,-1.1,-3.3,1.0,0.015,-0.03,1.034,-0.216,-0.033,-1.12
142,-1.1,-3.2,0.9,0.019,-0.025,1.036,-0.211,-0.034,-1.128
143,-0.9,-3.2,1.0,0.013,-0.018,1.034,-0.217,-0.039,-1.138
144,-1.1,-3.4,1.1,0.017,-0.028,1.037,-0.22,-0.025,-1.128
145,-0.9,-3.2,1.0,0.014,-0.023,1.035,-0.213,-0.036,-1.126
146,-1.0,-3.4,0.9,0.015,-0.023,1.038,-0.217,-0.028,-1.129
147,-1.0,-3.2,1.1,0.017,-0.026,1.04,-0.213,-0.031,-1.134
148,-0.9,-3.2,1.1,0.012,-0.023,1.039,-0.211,-0.034,-1.125
149,-1.0,-3.3,0.9,0.013,-0.026,1.039,-0.21,-0.028,-1.137
150,-1.0,-3.3,1.0,0.021,-0.02,1.037,-0.219,-0.027,-1.132
151,-1.0,-3.2,1.2,0.015,-0.025,1.039,-0.214,-0.027,-1.129
152,-1.1,-3.3,1.0,0.012,-0.029,1.04,-0.213,-0.033,-1.126
153,-0.9,-3.3,0.9,0.022,-0.022,1.039,-0.222,-0.028,-1.14
154,-0.9,-3.2,1.1,0.013,-0.025,1.037,-0.207,-0.033,-1.141
155,-1.0,-3.3,1.0,0.017,-0.023,1.04,-0.225,-0.034,-1.135
156,-0.9,-3.3,0.9,0.019,-0.025,1.041,-0.211,-0.031,-1.125
157,-1.0,-3.4,0.9,0.012,-0.024,1.039,-0.211,-0.027,-1.129
158,-0.9,-3.4,0.9,0.018,-0.024,1.039,-0.21,-0.025,-1.131
159,-0.9,-3.4,1.0,0.016,-0.025,1.039,-0.22,-0.034,-1.135
