,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.331,0.03,-0.615
1,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
2,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
3,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
4,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
5,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
6,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
7,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
8,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
9,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
10,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
11,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
12,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
13,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
14,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
15,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
16,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
17,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
18,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
19,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
20,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
21,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
22,0.002,0.0,-0.009,-0.006,-0.04,0.998,0.327,0.022,-0.619
