,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
1,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
2,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
3,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
4,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
5,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
6,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
7,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
8,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
9,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
10,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
11,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
12,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
13,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
14,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
15,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
16,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
17,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
18,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
19,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
20,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
21,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
22,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
23,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
24,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
25,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
26,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
27,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
28,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
29,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
30,-0.006,0.0,-0.002,0.089,-0.973,0.12,0.37,-0.172,-0.138
31,0.008,-0.013,-0.009,0.066,-0.98,0.052,0.655,-0.18,-0.384
32,0.008,-0.011,-0.007,0.063,-0.979,0.05,0.685,-0.178,-0.399
33,0.007,-0.011,-0.007,0.066,-0.98,0.053,0.67,-0.189,-0.409
34,0.007,-0.011,-0.007,0.07,-0.979,0.055,0.67,-0.189,-0.409
35,0.004,-0.005,-0.009,0.071,-0.979,0.055,0.682,-0.168,-0.39
36,0.003,0.001,-0.01,0.07,-0.98,0.057,0.679,-0.157,-0.387
37,0.003,0.002,-0.01,0.072,-0.978,0.057,0.666,-0.15,-0.382
38,0.002,-0.002,-0.009,0.076,-0.975,0.054,0.67,-0.183,-0.378
39,0.0,-0.007,-0.008,0.074,-0.979,0.054,0.679,-0.162,-0.378
40,-0.001,-0.007,-0.007,0.073,-0.983,0.056,0.679,-0.162,-0.378
