,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.011,-0.011,-0.007,0.143,-0.983,-0.001,0.595,-0.196,-0.447
1,-0.011,-0.011,-0.007,0.143,-0.983,-0.001,0.595,-0.196,-0.447
2,-0.011,-0.011,-0.007,0.143,-0.983,-0.001,0.595,-0.196,-0.447
3,-0.011,-0.011,-0.007,0.143,-0.983,-0.001,0.595,-0.196,-0.447
4,-0.006,-0.005,-0.009,0.142,-0.975,-0.01,0.595,-0.196,-0.447
5,-0.007,-0.002,-0.009,0.141,-0.975,-0.01,0.568,-0.195,-0.438
6,-0.006,-0.001,-0.009,0.136,-0.977,-0.009,0.58,-0.211,-0.439
7,-0.005,-0.004,-0.007,0.132,-0.972,-0.008,0.582,-0.201,-0.445
8,-0.006,-0.005,-0.007,0.134,-0.972,-0.007,0.574,-0.205,-0.451
9,-0.007,-0.007,-0.007,0.136,-0.974,-0.005,0.586,-0.202,-0.45
10,-0.008,-0.008,-0.005,0.135,-0.978,-0.005,0.597,-0.204,-0.453
11,-0.011,-0.01,-0.007,0.132,-0.98,-0.008,0.571,-0.186,-0.435
12,-0.012,-0.011,-0.009,0.132,-0.979,-0.007,0.576,-0.195,-0.454
13,-0.014,-0.018,-0.009,0.132,-0.974,-0.007,0.573,-0.216,-0.447
14,-0.014,-0.022,-0.009,0.131,-0.97,-0.011,0.573,-0.201,-0.438
15,-0.014,-0.022,-0.009,0.129,-0.972,-0.013,0.574,-0.19,-0.444
16,-0.01,-0.02,-0.007,0.133,-0.974,-0.011,0.582,-0.193,-0.456
17,-0.006,-0.013,-0.007,0.138,-0.975,-0.006,0.58,-0.199,-0.427
18,-0.005,-0.011,-0.005,0.141,-0.974,-0.004,0.58,-0.199,-0.427
19,-0.006,-0.015,-0.004,0.144,-0.972,-0.004,0.556,-0.21,-0.436
20,-0.008,-0.016,-0.004,0.145,-0.972,-0.006,0.589,-0.183,-0.435
21,-0.008,-0.014,-0.004,0.141,-0.974,-0.008,0.57,-0.21,-0.442
22,-0.008,-0.01,-0.004,0.138,-0.976,-0.005,0.58,-0.193,-0.459
23,-0.011,-0.011,-0.004,0.135,-0.976,-0.004,0.573,-0.198,-0.439
24,-0.014,-0.015,-0.007,0.132,-0.975,-0.005,0.601,-0.204,-0.456
25,-0.018,-0.02,-0.008,0.134,-0.976,-0.004,0.601,-0.204,-0.456
26,-0.019,-0.019,-0.009,0.135,-0.982,-0.002,0.58,-0.204,-0.424
27,-0.018,-0.019,-0.009,0.135,-0.986,0.0,0.577,-0.204,-0.441
28,-0.016,-0.021,-0.007,0.135,-0.985,0.0,0.57,-0.219,-0.459
29,-0.014,-0.023,-0.007,0.136,-0.982,-0.001,0.586,-0.211,-0.466
30,-0.011,-0.024,-0.006,0.136,-0.982,-0.001,0.582,-0.187,-0.436
31,-0.011,-0.025,-0.005,0.141,-0.978,-0.001,0.562,-0.189,-0.444
32,-0.013,-0.023,-0.004,0.145,-0.976,-0.002,0.562,-0.189,-0.444
33,-0.016,-0.024,-0.003,0.147,-0.974,-0.002,0.577,-0.207,-0.435
34,-0.016,-0.024,-0.002,0.149,-0.971,-0.002,0.58,-0.199,-0.433
35,-0.016,-0.024,-0.002,0.148,-0.969,-0.001,0.583,-0.192,-0.436
36,-0.015,-0.019,-0.002,0.147,-0.974,0.002,0.589,-0.19,-0.451
37,-0.012,-0.014,-0.004,0.143,-0.976,0.004,0.589,-0.199,-0.45
38,-0.014,-0.018,-0.004,0.141,-0.975,0.003,0.597,-0.196,-0.447
39,-0.018,-0.007,-0.007,0.143,-0.973,0.0,0.597,-0.196,-0.447
40,-0.018,-0.015,-0.007,0.143,-0.973,-0.002,0.583,-0.202,-0.457
41,-0.018,-0.013,-0.009,0.144,-0.973,0.0,0.579,-0.202,-0.447
42,-0.017,-0.003,-0.009,0.145,-0.971,0.002,0.588,-0.205,-0.444
43,-0.015,0.0,-0.009,0.147,-0.97,0.004,0.565,-0.201,-0.459
