,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.003,-0.001,-0.006,-0.013,0.015,0.999,0.0,0.006,-0.558
1,0.003,-0.001,-0.006,-0.013,0.015,0.999,0.33,0.006,-0.558
2,0.002,-0.002,-0.005,-0.01,0.014,0.999,0.768,0.238,-0.537
3,0.002,-0.002,-0.005,-0.01,0.014,0.999,0.768,0.238,-0.537
4,0.002,-0.002,-0.005,-0.01,0.014,0.999,0.768,0.238,-0.537
5,0.002,-0.002,-0.005,-0.01,0.014,0.999,0.768,0.238,-0.537
6,0.002,-0.002,-0.006,-0.01,0.016,0.998,0.768,0.238,-0.537
7,0.002,-0.001,-0.006,-0.01,0.013,0.997,0.771,0.235,-0.541
8,0.002,-0.001,-0.006,-0.01,0.012,0.998,0.787,0.235,-0.553
9,0.003,-0.002,-0.006,-0.012,0.011,0.999,0.781,0.258,-0.54
10,0.003,-0.002,-0.006,-0.01,0.01,1.001,0.774,0.243,-0.549
11,0.002,-0.002,-0.006,-0.007,0.012,1.0,0.781,0.24,-0.552
12,0.002,-0.002,-0.006,-0.01,0.014,0.999,0.796,0.259,-0.537
13,0.002,-0.003,-0.005,-0.012,0.013,0.998,0.766,0.235,-0.549
14,0.002,-0.004,-0.006,-0.011,0.015,0.997,0.781,0.261,-0.544
15,0.002,-0.002,-0.007,-0.009,0.017,0.996,0.768,0.252,-0.544
16,0.003,-0.002,-0.006,-0.009,0.016,0.996,0.79,0.249,-0.538
17,0.003,0.0,-0.006,-0.009,0.015,0.997,0.766,0.234,-0.553
18,0.003,0.0,-0.006,-0.012,0.016,0.999,0.768,0.237,-0.534
19,0.003,-0.002,-0.005,-0.011,0.016,1.0,0.789,0.243,-0.58
20,0.003,0.0,-0.006,-0.009,0.015,0.999,0.789,0.243,-0.58
21,0.002,0.0,-0.007,-0.011,0.013,0.999,0.762,0.24,-0.532
22,0.002,-0.001,-0.005,-0.011,0.011,0.998,0.762,0.24,-0.532
23,0.002,0.0,-0.006,-0.01,0.011,0.994,0.777,0.259,-0.546
24,0.003,0.0,-0.005,-0.01,0.014,0.997,0.78,0.249,-0.549
25,0.002,-0.003,-0.005,-0.011,0.015,0.998,0.772,0.241,-0.555
26,0.002,-0.001,-0.007,-0.011,0.014,0.997,0.772,0.241,-0.555
27,0.002,-0.001,-0.006,-0.01,0.015,1.0,0.774,0.235,-0.541
28,0.001,-0.008,-0.004,-0.008,0.014,0.999,0.786,0.265,-0.553
29,0.001,-0.004,-0.004,-0.007,0.013,1.0,0.762,0.246,-0.544
30,0.003,0.0,-0.006,-0.009,0.013,1.001,0.783,0.238,-0.546
31,0.003,0.0,-0.006,-0.011,0.013,0.999,0.772,0.226,-0.547
32,0.003,-0.001,-0.006,-0.011,0.014,0.996,0.784,0.235,-0.547
33,0.002,-0.002,-0.005,-0.011,0.014,0.996,0.784,0.235,-0.547
34,0.002,-0.002,-0.007,-0.011,0.015,0.998,0.781,0.234,-0.559
35,0.003,0.001,-0.007,-0.008,0.013,1.0,0.745,0.249,-0.538
36,0.002,-0.002,-0.005,-0.009,0.012,0.998,0.789,0.246,-0.55
37,0.002,-0.003,-0.005,-0.01,0.014,0.997,0.769,0.232,-0.549
38,0.002,-0.003,-0.005,-0.01,0.015,0.998,0.784,0.246,-0.538
39,0.003,0.0,-0.006,-0.009,0.014,1.0,0.786,0.237,-0.556
40,0.004,0.0,-0.007,-0.008,0.012,0.999,0.786,0.237,-0.556
41,0.003,-0.001,-0.007,-0.01,0.011,0.998,0.786,0.25,-0.561
42,0.002,0.0,-0.006,-0.011,0.013,0.999,0.76,0.252,-0.55
43,0.002,0.0,-0.006,-0.011,0.014,1.0,0.76,0.252,-0.55
44,0.002,-0.002,-0.006,-0.01,0.014,0.998,0.777,0.249,-0.558
45,0.002,-0.002,-0.005,-0.008,0.014,0.999,0.775,0.252,-0.534
46,0.002,-0.002,-0.006,-0.009,0.015,0.998,0.781,0.244,-0.561
47,0.002,-0.002,-0.004,-0.011,0.014,0.997,0.781,0.244,-0.561
48,0.003,-0.002,-0.005,-0.011,0.011,0.999,0.795,0.249,-0.538
49,0.002,-0.004,-0.006,-0.01,0.012,1.001,0.765,0.252,-0.535
50,0.002,-0.002,-0.006,-0.011,0.013,1.0,0.783,0.235,-0.556
51,0.002,0.0,-0.005,-0.011,0.013,0.998,0.786,0.234,-0.546
52,0.003,-0.001,-0.006,-0.011,0.013,0.998,0.783,0.223,-0.541
53,0.002,-0.002,-0.005,-0.011,0.013,0.999,0.783,0.223,-0.541
54,0.003,-0.001,-0.005,-0.009,0.012,1.001,0.795,0.253,-0.555
55,0.003,0.0,-0.006,-0.007,0.012,1.001,0.78,0.222,-0.549
56,0.004,-0.002,-0.006,-0.008,0.015,1.001,0.76,0.229,-0.529
57,0.004,-0.002,-0.006,-0.01,0.015,0.999,0.76,0.229,-0.529
58,0.003,-0.001,-0.007,-0.011,0.015,0.998,0.792,0.249,-0.567
59,0.003,-0.001,-0.007,-0.011,0.014,0.999,0.757,0.258,-0.558
60,0.002,-0.001,-0.005,-0.01,0.012,1.001,0.757,0.258,-0.558
61,0.002,-0.002,-0.005,-0.01,0.012,1.0,0.765,0.244,-0.54
62,0.002,-0.002,-0.006,-0.012,0.013,1.001,0.783,0.25,-0.549
63,0.0,-0.017,-0.003,-0.011,0.014,1.0,0.775,0.238,-0.526
64,0.002,-0.007,-0.005,-0.011,0.015,0.999,0.79,0.244,-0.543
65,0.001,-0.002,-0.007,-0.011,0.014,0.999,0.774,0.25,-0.529
66,0.002,-0.002,-0.007,-0.01,0.014,0.999,0.762,0.237,-0.558
67,0.002,-0.003,-0.006,-0.009,0.015,0.999,0.762,0.237,-0.558
68,0.002,-0.003,-0.006,-0.009,0.014,1.0,0.784,0.232,-0.559
69,0.002,-0.001,-0.005,-0.01,0.012,1.0,0.778,0.237,-0.538
70,0.002,0.01,-0.007,-0.01,0.013,1.0,0.778,0.244,-0.535
71,0.001,0.002,-0.006,-0.01,0.015,0.999,0.778,0.244,-0.535
72,0.002,-0.002,-0.006,-0.01,0.015,0.999,0.769,0.243,-0.561
73,0.003,-0.002,-0.006,-0.01,0.014,0.998,0.772,0.231,-0.552
74,0.002,-0.002,-0.005,-0.012,0.013,0.998,0.772,0.231,-0.552
75,0.003,0.0,-0.006,-0.01,0.014,0.998,0.793,0.247,-0.537
76,0.003,-0.002,-0.007,-0.007,0.015,0.998,0.772,0.24,-0.541
77,0.003,-0.002,-0.007,-0.008,0.014,0.998,0.769,0.249,-0.544
78,0.004,-0.002,-0.007,-0.01,0.012,0.998,0.771,0.249,-0.543
79,0.002,-0.002,-0.006,-0.01,0.013,0.999,0.766,0.247,-0.544
80,0.002,-0.002,-0.006,-0.01,0.016,0.999,0.777,0.24,-0.544
81,0.002,-0.002,-0.006,-0.009,0.015,0.998,0.777,0.24,-0.544
82,0.003,0.0,-0.006,-0.01,0.014,0.998,0.777,0.241,-0.549
83,0.002,0.0,-0.006,-0.01,0.013,0.998,0.756,0.223,-0.55
84,0.003,-0.006,-0.005,-0.009,0.014,0.998,0.763,0.252,-0.544
85,0.003,-0.004,-0.005,-0.009,0.015,0.999,0.775,0.249,-0.535
86,0.003,0.0,-0.005,-0.008,0.012,1.0,0.772,0.25,-0.544
87,0.003,0.0,-0.006,-0.01,0.012,0.998,0.777,0.237,-0.546
88,0.002,0.0,-0.006,-0.012,0.013,0.998,0.777,0.237,-0.546
89,0.002,-0.002,-0.006,-0.01,0.012,0.998,0.774,0.255,-0.567
90,0.002,-0.002,-0.006,-0.009,0.014,0.998,0.783,0.246,-0.534
91,0.002,0.002,-0.006,-0.011,0.013,0.998,0.763,0.252,-0.556
92,0.003,0.001,-0.007,-0.011,0.013,0.998,0.772,0.261,-0.522
93,0.003,0.0,-0.007,-0.01,0.011,0.998,0.774,0.241,-0.556
94,0.002,0.0,-0.007,-0.01,0.011,0.999,0.792,0.229,-0.528
95,0.003,-0.003,-0.006,-0.012,0.014,0.999,0.792,0.229,-0.528
96,0.003,-0.004,-0.006,-0.011,0.015,1.0,0.783,0.253,-0.549
97,0.003,-0.004,-0.006,-0.009,0.016,1.001,0.778,0.244,-0.543
98,0.002,-0.001,-0.006,-0.01,0.015,0.999,0.763,0.246,-0.514
99,0.002,-0.001,-0.006,-0.012,0.012,0.998,0.775,0.258,-0.549
100,0.002,-0.001,-0.006,-0.012,0.013,0.998,0.787,0.246,-0.553
101,0.002,-0.002,-0.006,-0.011,0.014,0.999,0.765,0.265,-0.543
102,0.002,-0.003,-0.007,-0.011,0.015,0.998,0.765,0.265,-0.543
103,0.002,-0.002,-0.007,-0.011,0.014,0.999,0.798,0.252,-0.552
104,0.002,0.0,-0.005,-0.011,0.013,1.001,0.774,0.241,-0.532
105,0.004,0.002,-0.006,-0.011,0.011,1.0,0.775,0.24,-0.541
106,0.003,0.0,-0.007,-0.009,0.011,0.999,0.786,0.246,-0.537
