,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.0,-3.5,1.0,0.022,-0.027,1.041,-0.235,-0.052,-1.125
2,-0.9,-3.5,0.9,0.022,-0.027,1.043,-0.235,-0.051,-1.116
3,-1.0,-3.5,1.0,0.022,-0.027,1.042,-0.235,-0.049,-1.119
4,-1.0,-3.5,1.0,0.023,-0.027,1.043,-0.238,-0.052,-1.123
5,-1.0,-3.5,1.0,0.022,-0.027,1.043,-0.225,-0.049,-1.116
6,-1.0,-3.5,1.0,0.023,-0.026,1.042,-0.228,-0.048,-1.122
7,-1.1,-3.5,1.0,0.021,-0.027,1.042,-0.225,-0.052,-1.123
8,-0.9,-3.5,1.0,0.022,-0.026,1.042,-0.232,-0.042,-1.125
9,-1.0,-3.5,1.0,0.022,-0.027,1.04,-0.231,-0.048,-1.125
10,-1.0,-3.5,1.0,0.021,-0.027,1.041,-0.241,-0.046,-1.123
11,-1.0,-3.5,1.0,0.022,-0.026,1.041,-0.228,-0.055,-1.126
12,-1.0,-3.5,1.0,0.023,-0.026,1.041,-0.232,-0.051,-1.137
13,-1.0,-3.5,1.0,0.021,-0.027,1.041,-0.237,-0.052,-1.137
14,-1.0,-3.5,1.0,0.023,-0.027,1.039,-0.235,-0.049,-1.129
15,-1.0,-3.4,1.0,0.022,-0.026,1.038,-0.225,-0.051,-1.129
16,-1.0,-3.5,1.0,0.021,-0.027,1.039,-0.229,-0.046,-1.123
17,-0.9,-3.5,0.9,0.022,-0.027,1.04,-0.237,-0.052,-1.123
18,-1.0,-3.5,1.0,0.022,-0.027,1.041,-0.235,-0.057,-1.119
19,-1.0,-3.4,1.0,0.022,-0.028,1.039,-0.231,-0.048,-1.122
20,-1.0,-3.4,0.9,0.023,-0.027,1.039,-0.226,-0.049,-1.117
21,-1.0,-3.5,1.0,0.021,-0.028,1.041,-0.234,-0.054,-1.125
22,-0.9,-3.5,1.0,0.024,-0.028,1.041,-0.24,-0.048,-1.123
23,-0.9,-3.4,1.0,0.022,-0.027,1.04,-0.234,-0.046,-1.126
24,-0.9,-3.5,1.0,0.02,-0.028,1.041,-0.234,-0.045,-1.125
25,-0.9,-3.5,1.0,0.023,-0.027,1.041,-0.228,-0.052,-1.126
26,-1.0,-3.5,1.0,0.023,-0.027,1.041,-0.235,-0.054,-1.125
27,-1.0,-3.5,1.0,0.021,-0.027,1.042,-0.235,-0.049,-1.122
28,-1.0,-3.5,0.9,0.024,-0.028,1.04,-0.238,-0.063,-1.117
29,-0.9,-3.5,1.0,0.021,-0.026,1.041,-0.237,-0.045,-1.134
30,-2.3,-4.4,9.8,-0.069,-0.042,1.079,-0.24,-0.055,-1.125
31,-0.7,-3.2,1.2,0.022,-0.033,1.043,-0.229,-0.057,-1.116
32,-0.4,-3.5,0.2,0.022,-0.026,1.042,-0.229,-0.048,-1.125
33,6.3,-4.1,-5.7,-0.008,-0.054,1.041,-0.237,-0.06,-1.12
34,4.6,-8.8,-1.1,0.031,-0.014,1.039,-0.24,-0.049,-1.117
35,8.1,4.6,-2.0,0.026,-0.006,1.038,-0.234,-0.046,-1.11
36,-0.1,-1.6,0.4,0.028,-0.002,1.044,-0.246,-0.054,-1.116
37,0.3,-1.1,-0.8,0.028,0.0,1.04,-0.246,-0.057,-1.116
38,4.2,5.8,-0.6,0.033,0.008,1.031,-0.243,-0.043,-1.119
39,0.9,-1.6,0.2,0.009,0.01,1.043,-0.249,-0.048,-1.114
40,0.6,-1.6,0.9,0.006,0.007,1.042,-0.241,-0.04,-1.122
41,0.9,2.5,1.4,0.005,0.012,1.044,-0.258,-0.036,-1.119
42,-1.5,-3.9,0.5,0.005,0.01,1.043,-0.249,-0.045,-1.117
43,-0.8,-3.5,0.9,0.004,0.009,1.044,-0.256,-0.045,-1.123
44,-1.4,-5.1,0.3,0.006,0.011,1.043,-0.253,-0.045,-1.119
45,-2.1,-3.3,1.6,0.009,0.011,1.042,-0.252,-0.037,-1.128
46,-1.1,-2.5,3.6,0.005,0.035,1.043,-0.253,-0.043,-1.116
47,-1.0,0.2,1.9,0.048,0.346,0.961,-0.247,-0.039,-1.114
48,-1.0,-2.2,-0.6,0.144,0.441,0.694,-0.244,-0.04,-1.119
49,3.1,-14.4,2.8,0.06,0.334,0.548,-0.246,-0.042,-1.114
50,-5.9,-8.9,1.5,0.047,0.099,0.764,-0.25,-0.036,-1.107
51,17.6,-17.5,0.7,0.118,-0.035,0.403,-0.243,-0.04,-1.11
52,16.5,-25.9,-4.4,0.196,-0.185,0.042,-0.247,-0.024,-1.117
53,7.2,-19.5,-2.5,0.045,0.37,0.03,-0.238,-0.025,-1.117
54,-0.4,-5.8,2.5,0.147,0.048,0.277,-0.247,-0.022,-1.111
55,-10.9,-1.1,-2.1,0.054,-0.141,0.509,-0.234,-0.019,-1.116
56,-0.4,5.2,4.1,0.04,-0.121,0.181,-0.237,-0.018,-1.119
57,-13.3,15.6,15.5,0.039,0.12,0.451,-0.231,-0.022,-1.116
58,-2.8,5.2,4.1,0.057,-0.14,0.406,-0.229,-0.027,-1.12
59,-2.3,-3.6,4.1,0.07,0.015,0.341,-0.232,-0.034,-1.117
60,-2.1,-3.2,4.4,0.049,0.016,0.579,-0.228,-0.034,-1.122
61,-6.3,7.9,2.7,0.058,-0.102,0.779,-0.229,-0.036,-1.12
62,-1.9,-3.5,-3.1,0.031,-0.035,1.024,-0.223,-0.042,-1.123
63,2.8,-2.1,4.9,0.032,-0.141,1.067,-0.217,-0.033,-1.11
